word,machine_translation,human_translation,machine_translation_updated
captivated,captivated,fa ifẹ,fa ifẹ
care,itọju,NA,itọju
carefree,aibikita,NA,aibikita
careful,ṣọra,NA,ṣọra
carefully,fara,pẹlẹpẹlẹ,pẹlẹpẹlẹ
cares,bikita,NA,bikita
celebrate,ayeye,ṣe ayẹyẹ,ṣe ayẹyẹ
celebrated,ṣe ayẹyẹ,NA,ṣe ayẹyẹ
celebrates,ṣe ayẹyẹ,NA,ṣe ayẹyẹ
celebrating,ayẹyẹ,n ṣe ayẹyẹ,n ṣe ayẹyẹ
certain,daju,NA,daju
chance,anfani,NA,anfani
chances,Iseese,NA,Iseese
charm,ifaya,NA,ifaya
charming,pele,ni ifaiya,ni ifaiya
cheer,idunnu,NA,idunnu
cheered,yọ,NA,yọ
cheerful,idunnu,NA,idunnu
cheering,níṣìírí,NA,níṣìírí
cheers,idunnu,NA,idunnu
cheery,idunnu,NA,idunnu
cherish,nifẹẹ,kẹ,kẹ
cherished,nifẹẹ,kẹ,kẹ
cherishes,fẹràn,kẹ,kẹ
cherishing,cherishing,n kẹ,n kẹ
chic,yara,dara,dara
clarifies,clarifies,sọdi mimọ,sọdi mimọ
clarity,wípé,kedere,kedere
classy,didara,NA,didara
clean,mimọ,NA,mimọ
cleaner,regede,mọ si,mọ si
clear,ko o,NA,ko o
cleared,nso,ko,ko
clearly,kedere,NA,kedere
clears,nso,ko,ko
clever,onilàkaye,gbọn,gbọn
comedy,awada,NA,awada
comfort,itunu,NA,itunu
comfortable,itura,nitunu,nitunu
comforting,itunu,NA,itunu
comforts,awọn itunu,NA,awọn itunu
commend,gbóríyìn,NA,gbóríyìn
commended,gbóríyìn fún,NA,gbóríyìn fún
commit,dá,NA,dá
commitment,ifaramo,NA,ifaramo
commits,dá,NA,dá
committed,ṣe,NA,ṣe
committing,dá,n dá,n dá
compassionate,aanu,niyọnu,niyọnu
compelled,fi agbara mu,NA,fi agbara mu
competent,tóótun,tó,tó
competitive,ifigagbaga,NA,ifigagbaga
comprehensive,okeerẹ,ẹkunrẹrẹ,ẹkunrẹrẹ
conciliate,laja,NA,laja
conciliated,gbìyànjú,laja,laja
conciliates,conciliates,laja,laja
conciliating,gbìyànjú,n laja,n laja
confidence,igbekele,NA,igbekele
confident,igboya,didaju,didaju
congrats,oriire,NA,oriire
congratulate,ku oriire,NA,ku oriire
congratulation,oriire,NA,oriire
congratulations,oriire,NA,oriire
consent,igbanilaaye,ijẹwọ,ijẹwọ
consents,awọn ipinnu,awọn ijẹwọ,awọn ijẹwọ
consolable,itunu,se tuninu,se tuninu
convince,parowa,yi lọkan pada,yi lọkan pada
convinced,ni idaniloju,NA,ni idaniloju
convinces,idaniloju,yi lọkan pada,yi lọkan pada
convivial,convivial,ajumọ jẹyo,ajumọ jẹyo
cool,itura,tutu,tutu
cool stuff,NA,jẹ itẹwọgba,jẹ itẹwọgba
courage,igboya,NA,igboya
courageous,onígboyà,NA,onígboyà
courteous,oninuure,NA,oninuure
courtesy,iteriba,ibuyin fun,ibuyin fun
coziness,ifọkanbalẹ,NA,ifọkanbalẹ
creative,àtinúdá,NA,àtinúdá
curious,iyanilenu,NA,iyanilenu
cute,wuyi,NA,wuyi
daredevil,daredevil,alainibẹru,alainibẹru
daring,igboya,nigboya,nigboya
dauntless,dauntless,laifoiya,laifoiya
dear,ọwọn,NA,ọwọn
dearly,ololufe,NA,ololufe
debonair,debonair,niyin,niyin
decisive,ipinnu,nipinnu,nipinnu
dedicated,ifiṣootọ,NA,ifiṣootọ
defender,olugbeja,NA,olugbeja
defenders,defenders,awọn olugbeja,awọn olugbeja
delight,igbadun,Inudidun,Inudidun
delighted,Inudidun,NA,Inudidun
delighting,igbadun,Inudidun,Inudidun
delights,dùn,Inudidun,Inudidun
desirable,wuni,NA,wuni
desire,ifẹ,NA,ifẹ
desired,fẹ,NA,fẹ
desirous,ifẹ,nifẹ,nifẹ
determined,pinnu,NA,pinnu
devoted,ti yasọtọ,NA,ti yasọtọ
diamond,okuta iyebiye,NA,okuta iyebiye
dream,ala,NA,ala
dreams,awọn ala,NA,awọn ala
eager,ni itara,NA,ni itara
earnest,tọkàntọkàn,nigbona,nigbona
ease,irorun,NA,irorun
easy,rọrun,NA,rọrun
ecstatic,inu didun,NA,inu didun
effective,doko,lagbara,lagbara
effectively,fe ni,pelu agbara,pelu agbara
elated,yọ,NA,yọ
elation,elation,ayọ,ayọ
elegant,yangan,dara,dara
elegantly,ẹwa,pẹlu iyi,pẹlu iyi
embrace,gbá mọ́ra,NA,gbá mọ́ra
empathetic,oníyọ̀ọ́nú,NA,oníyọ̀ọ́nú
enchanted,enchanted,ṣe ifaiya si,ṣe ifaiya si
encourage,iwuri fun,gba niyanju,gba niyanju
encouraged,iwuri,gba niyanju,gba niyanju
encouragement,iwuri,iyanju,iyanju
encourages,iwuri,gba niyanju,gba niyanju
endorse,fọwọsi,NA,fọwọsi
endorsed,ti fọwọsi,NA,ti fọwọsi
endorsement,ifọwọsi,NA,ifọwọsi
endorses,atilẹyin,fọwọsi,fọwọsi
energetic,funnilokun,NA,funnilokun
engage,olukoni,gba-niṣẹ,gba-niṣẹ
engages,olukoni,gba-niṣẹ,gba-niṣẹ
engrossed,engrossed,gba gbogbo,gba gbogbo
enjoy,gbadun,NA,gbadun
enjoying,igbadun,n gbadun,n gbadun
enjoys,gbadun,NA,gbadun
enlighten,tan imọlẹ,NA,tan imọlẹ
enlightened,tan imọlẹ,NA,tan imọlẹ
enlightening,nmọlẹ,NA,nmọlẹ
enlightens,nmọlẹ,tan imọlẹ,tan imọlẹ
enrapture,ìyapa,fi ayọ kun,fi ayọ kun
ensure,rii daju,NA,rii daju
ensuring,aridaju,n daniloju,n daniloju
enterprising,iṣẹ -ṣiṣe,NA,iṣẹ -ṣiṣe
entertaining,idanilaraya,NA,idanilaraya
enthral,iwunilori,wunilori,wunilori
enthusiastic,lakitiyan,nitara,nitara
entitled,ẹtọ,fi orukọ fun,fi orukọ fun
entrusted,le,fi le lọwọ,fi le lọwọ
esteemed,kasi,NA,kasi
ethical,iwa,to jẹ itewọgba,to jẹ itewọgba
euphoria,euphoria,ayọ nla,ayọ nla
euphoric,euphoric,layọ nla,layọ nla
exasperated,binu,mu binu,mu binu
excellence,iperegede,NA,iperegede
excellent,o tayọ,NA,o tayọ
excite,ṣojulọyin,ru soke,ru soke
excited,yiya,ru soke,ru soke
excitement,simi,irusoke,irusoke
exciting,moriwu,n runisoke,n runisoke
exclusive,iyasoto,NA,iyasoto
exhilarated,igbadun,NA,igbadun
exhilarates,exhilarates,igbadun,igbadun
exhilarating,igbadun,NA,igbadun
exonerate,dá ẹjọ́,mu ẹbi kuro,mu ẹbi kuro
exonerated,alailẹṣẹ,NA,alailẹṣẹ
exonerates,exonerates,mu ẹbi kuro,mu ẹbi kuro
exonerating,imukuro,NA,imukuro
expand,faagun,NA,faagun
expands,gbooro sii,NA,gbooro sii
exploration,iwakiri,NA,iwakiri
explorations,explorations,awọ́n iwakiri,awọ́n iwakiri
extend,faagun,NA,faagun
extends,gbooro sii,NA,gbooro sii
exuberant,alayọ,NA,alayọ
exultant,ayọ,NA,ayọ
exultantly,pẹlu ayọ,NA,pẹlu ayọ
fabulous,gbayi,NA,gbayi
fair,itẹ,lẹwa,lẹwa
faith,igbagbọ,NA,igbagbọ
faithful,olóòótọ,NA,olóòótọ
fame,loruko,NA,loruko
fan,ololufẹ,NA,ololufẹ
fantastic,ikọja,NA,ikọja
fascinate,fanimọra,NA,fanimọra
fascinated,fanimọra,NA,fanimọra
fascinates,fascinates,fanimọra,fanimọra
fascinating,fanimọra,n fanimọra,n fanimọra
favor,ojurere,NA,ojurere
favored,ojurere,NA,ojurere
favorite,ayanfẹ,NA,ayanfẹ
favorited,ayanfẹ,NA,ayanfẹ
favorites,awọn ayanfẹ,NA,awọn ayanfẹ
favors,ojurere,NA,ojurere
fearless,laifoya,NA,laifoya
feeling,rilara,imọlara,imọlara
fervent,tọkàntọkàn,NA,tọkàntọkàn
fervid,alagidi,igbona,igbona
festive,ajọdun,NA,ajọdun
fine,itanran,NA,itanran
fit,dada,NA,dada
fitness,amọdaju,titọ,titọ
flagship,asia,NA,asia
focused,lojutu,ni ilepa,ni ilepa
fond,iferan,NA,iferan
fondness,ifẹkufẹ,ikẹ,ikẹ
forgive,dariji,NA,dariji
forgiving,idariji,dariji,dariji
fortunate,orire,NA,orire
free,ofe,NA,ofe
freedom,ominira,NA,ominira
fresh,alabapade,NA,alabapade
friendly,ore,NA,ore
frisky,frisky,olufẹ ere,olufẹ ere
fulfill,mu ṣẹ,NA,mu ṣẹ
fulfilled,ṣẹ,NA,ṣẹ
fulfills,ṣẹ,mu ṣẹ,mu ṣẹ
fun,fun,ire,ire
funnier,awada,panilerin,panilerin
funny,awada,panilerin,panilerin
futile,asan,NA,asan
gain,jèrè,NA,jèrè
gained,jèrè,NA,jèrè
gaining,nini,NA,nini
gains,awọn ere,NA,awọn ere
gallant,gallant,nigboiya,nigboiya
gallantly,gallantly,pẹlu igboiya,pẹlu igboiya
gallantry,gallantry,igboiya,igboiya
generous,oninurere,NA,oninurere
genial,genial,ni ọyaya,ni ọyaya
gift,ebun,NA,ebun
glad,dun,Inudidun,Inudidun
glamorous,didan,NA,didan
glamourous,ẹwa,NA,ẹwa
glee,ayo,NA,ayo
gleeful,igbadun,ayọ,ayọ
glorious,ologo,NA,ologo
glory,ogo,NA,ogo
god,ọlọrun,NA,ọlọrun
godsend,oriṣa,lati ọdọ olorun,lati ọdọ olorun
good,o dara,NA,o dara
goodness,ire,NA,ire
grace,oore,ore -ọfẹ,ore -ọfẹ
gracious,oore -ofe,olore-ọfẹ,olore-ọfẹ
grand,nla,NA,nla
grant,fifunni,NA,fifunni
granted,funni,NA,funni
granting,fifunni,n funni,n funni
grants,igbeowosile,NA,igbeowosile
grateful,dupe,NA,dupe
gratification,itelorun,NA,itelorun
great,nla,NA,nla
greater,tobi,NA,tobi
greatest,ti o tobi julọ,NA,ti o tobi julọ
greet,kí,NA,kí
greeted,kí,NA,kí
greeting,ikini,NA,ikini
greetings,ikini,NA,ikini
greets,kí,NA,kí
growing,dagba,NA,dagba
growth,Idagba,NA,Idagba
guarantee,lopolopo,onigbọwọ,onigbọwọ
hail,yinyin,NA,yinyin
hailed,hailed,yin,yin
happiness,idunu,NA,idunu
happy,dun,dunnu,dunnu
hardier,lile,NA,lile
hardy,lile,NA,lile
healthy,ni ilera,NA,ni ilera
heartfelt,tọkàntọkàn,NA,tọkàntọkàn
heaven,orun,NA,orun
heavenly,ọrun,ti ọrun,ti ọrun
help,Egba Mi O,ranlọwọ,ranlọwọ
helpful,wulo,NA,wulo
helping,ran,n para,n para
helps,iranlọwọ,NA,iranlọwọ
hero,akoni,NA,akoni
heroes,akọni,NA,akọni
heroic,akọni,NA,akọni
highlight,saami,NA,saami
hilarious,panilerin,NA,panilerin
honest,ooto,o looto,o looto
honor,ọlá,NA,ọlá
honored,lola,fọla fun,fọla fun
honoring,ọlá,n fọla fun,n fọla fun
honour,ọlá,NA,ọlá
honoured,lola,fọla fun,fọla fun
honouring,ọlá,n fọla fun,n fọla fun
hope,ireti,NA,ireti
hopeful,ireti,nireti,nireti
hopefully,nireti,NA,nireti
hopes,ireti,reti,reti
hoping,nireti,NA,nireti
hug,famọra,NA,famọra
huge,tobi,NA,tobi
hugs,famọra,NA,famọra
humerous,humerous,arin takiti,arin takiti
humor,arin takiti,NA,arin takiti
humorous,awada,NA,awada
humour,arin takiti,NA,arin takiti
hurrah,hurray,NA,hurray
immortal,aiku,NA,aiku
immune,ajesara,NA,ajesara
importance,pataki,NA,pataki
important,pataki,se pataki,se pataki
impress,iwunilori,wunilori,wunilori
impressed,iwunilori,wunilori,wunilori
impresses,iwunilori,wunilori,wunilori
impressive,ìkan,to wunilori,to wunilori
improve,mu dara,NA,mu dara
improved,dara si,NA,dara si
improvement,ilọsiwaju,NA,ilọsiwaju
improves,awọn ilọsiwaju,NA,awọn ilọsiwaju
improving,imudarasi,NA,imudarasi
increase,alekun,NA,alekun
increased,pọ si,NA,pọ si
indestructible,aidibajẹ,NA,aidibajẹ
infatuated,ìfẹ́kúfẹ̀ẹ́,ni ìfẹ́kúfẹ̀ẹ́,ni ìfẹ́kúfẹ̀ẹ́
infatuation,ìfẹ́kúfẹ̀ẹ́,NA,ìfẹ́kúfẹ̀ẹ́
influential,gbajugbaja,NA,gbajugbaja
innovate,imotuntun,sẹda ohun titun,sẹda ohun titun
innovation,àtinúdá,NA,àtinúdá
innovative,aseyori,ohun titun,ohun titun
inquisitive,awadi,NA,awadi
inspiration,awokose,imisi,imisi
inspirational,lokun,imisi,imisi
inspire,imisi,mi si,mi si
inspired,imisi,mi si,mi si
inspires,iwuri,wu ni lori,wu ni lori
inspiring,imoriya,wu ni lori,wu ni lori
intact,mule,nipipe,nipipe
integrity,iyege,otitọ inu,otitọ inu
intelligent,ọlọgbọn,NA,ọlọgbọn
intense,kikankikan,NA,kikankikan
interest,anfani,nife si,nife si
interested,nife,nife si,nife si
interesting,awon,dara,dara
interests,nifesi,NA,nifesi
intricate,intricate,diju,diju
intrigues,intrigues,rikisi,rikisi
invincible,aidibajẹ,airi,airi
invite,pe,NA,pe
inviting,pípe,NA,pípe
invulnerable,alailagbara,NA,alailagbara
irresistible,alailagbara,alailedojukọ,alailedojukọ
irresponsible,alaigbọran,NA,alaigbọran
jaunty,oore,NA,oore
jesus,jesu,NA,jesu
jewel,ohun iyebiye,NA,ohun iyebiye
jewels,ohun iyebiye,NA,ohun iyebiye
jocular,jocular,ipanilẹrin,ipanilẹrin
join,darapo,NA,darapo
joke,awada,NA,awada
jokes,awada,se awada,se awada
jolly,jolly,ni inudidun,ni inudidun
jovial,jovial,layọ,layọ
joy,ayo,NA,ayo
joyful,ayo,NA,ayo
joyfully,pelu ayo,NA,pelu ayo
joyous,ayo,NA,ayo
jubilant,jubilant,yọ,yọ
justice,idajọ,NA,idajọ
justifiably,lare,NA,lare
justified,lare,da lare,da lare
keen,itara,NA,itara
kind,oninuure,NA,oninuure
kinder,oninuure,NA,oninuure
kiss,fẹnuko,NA,fẹnuko
kudos,kudos,kare,kare
landmark,enikeji,ala,ala
laugh,rerin,NA,rerin
laughed,rerin,NA,rerin
laughing,nrerin,n rẹrin,n rẹrin
laughs,rẹrin,NA,rẹrin
laughing,nrerin,NA,nrerin
launched,se igbekale,NA,se igbekale
law,ofin,NA,ofin
legal,ofin,NA,ofin
legally,labẹ ofin,NA,labẹ ofin
lenient,alaanu,NA,alaanu
lifesaver,igbala,NA,igbala
lighthearted,oninuure,NA,oninuure
like,fẹran,NA,fẹran
liked,feran,NA,feran
likes,fẹran,NA,fẹran
lively,iwunlere,dara ya,dara ya
lmao,mo,Imao,Imao
lmfao,lmfao,Imfao,Imfao
lol,lol,lol,lol
lovable,ololufẹ,Ie fẹran,Ie fẹran
love,ife,NA,ife
loved,feran,NA,feran
lovelies,awọn ololufẹ,NA,awọn ololufẹ
lovely,ẹlẹwà,NA,ẹlẹwà
loving,ife,nifẹ,nifẹ
loyal,adúróṣinṣin,NA,adúróṣinṣin
loyalty,iṣootọ,NA,iṣootọ
luck,orire,NA,orire
luckily,Oriire,NA,Oriire
lucky,orire,NA,orire
marvel,iyanu,NA,iyanu
marvelous,iyanu,NA,iyanu
marvels,awọn iyanu,NA,awọn iyanu
masterpiece,aṣetan,NA,aṣetan
masterpieces,aṣetan,NA,aṣetan
matter,ọrọ,NA,ọrọ
matters,awọn nkan,NA,awọn nkan
mature,ogbo,NA,ogbo
meaningful,ti o nilari,NA,ti o nilari
medal,medal,ohun-ami iyin,ohun-ami iyin
meditative,iṣaroye,NA,iṣaroye
mercy,aanu,NA,aanu
merry,ariya,NA,ariya
methodical,ọna,NA,ọna
miracle,iyanu,NA,iyanu
mirth,ayọ,NA,ayọ
mirthful,alarinrin,NA,alarinrin
mirthfully,pelu idunnu,NA,pelu idunnu
motivate,ru,NA,ru
motivated,qkan,ru soke,ru soke
motivating,iwuri,NA,iwuri
motivation,iwuri,NA,iwuri
natural,adayeba,NA,adayeba
nice,o dara,NA,o dara
nifty,nifty,dara,dara
noble,ọlọla,NA,ọlọla
novel,aramada,NA,aramada
obsessed,ifẹ afẹju,NA,ifẹ afẹju
ominous,buburu,NA,buburu
once-in-a-lifetime,lẹẹkan-ni-igbesi aye,NA,lẹẹkan-ni-igbesi aye
opportunities,awọn anfani,NA,awọn anfani
opportunity,anfani,NA,anfani
optimism,ireti,NA,ireti
optimistic,ireti,nireti,nireti
outreach,ijade,NA,ijade
outstanding,dayato,NA,dayato
overjoyed,ayọ pupọ,NA,ayọ pupọ
paradise,paradise,orun,orun
pardon,idariji,NA,idariji
pardoned,dariji,NA,dariji
pardoning,idariji,n dariji,n dariji
pardons,idariji,NA,idariji
passionate,kepe,ṣonu,ṣonu
peace,alafia,NA,alafia
peaceful,alaafia,NA,alaafia
peacefully,ni alaafia,NA,ni alaafia
perfect,pipe,NA,pipe
perfected,pé,NA,pé
perfectly,daradara,NA,daradara
perfects,pipe,NA,pipe
picturesque,alaworan,NA,alaworan
playful,elere,NA,elere
pleasant,dídùn,NA,dídùn
please,Jowo,NA,Jowo
pleased,dùn,dùn mọ,dùn mọ
pleasure,igbadun,NA,igbadun
popular,gbajumo,NA,gbajumo
positive,rere,NA,rere
positively,daadaa,NA,daadaa
powerful,alagbara,NA,alagbara
praise,iyin,NA,iyin
praised,iyin,yin,yin
praises,iyin,NA,iyin
praising,iyin,yin,yin
pray,gbadura,NA,gbadura
praying,gbigbadura,NA,gbigbadura
prays,gbadura,NA,gbadura
prepared,gbaradi,NA,gbaradi
pretty,lẹwa,NA,lẹwa
privileged,anfaani,NA,anfaani
proactive,ṣakoso,NA,ṣakoso
progress,itesiwaju,NA,itesiwaju
prominent,oguna,NA,oguna
promise,ileri,NA,ileri
promised,ileri,se ileri,se ileri
promises,awọn ileri,NA,awọn ileri
promote,se igbelaruge,NA,se igbelaruge
promoted,igbega,gbega,gbega
promotes,nse igbelaruge,NA,nse igbelaruge
promoting,igbega,gbega,gbega
prospect,afojusọna,NA,afojusọna
prospects,asesewa,afojusọna,afojusọna
prosperous,aisiki,NA,aisiki
protect,dáàbò bò,NA,dáàbò bò
protected,ni idaabobo,NA,ni idaabobo
protects,ndaabobo,NA,ndaabobo
proud,igberaga,gberaga,gberaga
proudly,igberaga,ayọ nla,ayọ nla
rapture,igbasoke,NA,igbasoke
raptured,raptured,gbasoke,gbasoke
raptures,igbasoke,NA,igbasoke
rapturous,rapturous,ayọ nla,ayọ nla
ratified,ti fọwọsi,NA,ti fọwọsi
reach,de ọdọ,NA,de ọdọ
reached,de ọdọ,NA,de ọdọ
reaches,de ọdọ,NA,de ọdọ
reaching,nínàgà,NA,nínàgà
reassure,idaniloju,NA,idaniloju
reassured,ni idaniloju,NA,ni idaniloju
reassures,awọn idaniloju,NA,awọn idaniloju
reassuring,idaniloju,n daniloju,n daniloju
recommend,so,NA,so
recommended,niyanju,NA,niyanju
recommends,ṣe iṣeduro,NA,ṣe iṣeduro
redeemed,irapada,NA,irapada
rejoice,yọ,NA,yọ
rejoiced,yọ,NA,yọ
rejoices,yọ,NA,yọ
rejoicing,yọ,n yọ,n yọ
relaxed,ni ihuwasi,simi,simi
reliant,ti o gbẹkẹle,NA,ti o gbẹkẹle
relieve,ran lọwọ,NA,ran lọwọ
relieved,tu,NA,tu
relieves,relieves,tu,tu
relieving,iderun,n tu,n tu
relishing,inu didun,NA,inu didun
remarkable,o lapẹẹrẹ,NA,o lapẹẹrẹ
rescue,igbala,gbala,gbala
rescued,gbà,NA,gbà
rescues,awọn igbala,NA,awọn igbala
resolute,ipinnu,NA,ipinnu
resolve,yanju,NA,yanju
resolved,yanju,NA,yanju
resolves,pinnu,NA,pinnu
resolving,ipinnu,n pinnu,n pinnu
respected,bọwọ fun,NA,bọwọ fun
responsible,lodidi,didalohun,didalohun
responsive,idahun,NA,idahun
restful,simi,NA,simi
restore,mu pada,NA,mu pada
restored,pada,NA,pada
restores,restores,mu pada,mu pada
restoring,mimu -pada sipo,NA,mimu -pada sipo
revered,kasi,NA,kasi
revive,sọji,NA,sọji
revives,sọji,NA,sọji
reward,ère,NA,ère
rewarded,san nyi,NA,san nyi
rewarding,funlebun,NA,funlebun
rewards,awọn ere,NA,awọn ere
rich,ọlọrọ,NA,ọlọrọ
right direction,itọsọna ọtun,NA,itọsọna ọtun
rigorous,lile,NA,lile
rigorously,lile,NA,lile
robust,logan,li agbara,li agbara
romance,fifehan,NA,fifehan
safe,lailewu,NA,lailewu
safely,lailewu,NA,lailewu
safety,ailewu,NA,ailewu
salient,salient,pataki,pataki
satisfied,itelorun,tẹlọrun,tẹlọrun
save,fipamọ,NA,fipamọ
saved,ti o ti fipamọ,NA,ti o ti fipamọ
scoop,ofofo,NA,ofofo
secure,ni aabo,NA,ni aabo
secured,ni ifipamo,NA,ni ifipamo
secures,ni aabo,NA,ni aabo
self-confident,igbẹkẹle ara ẹni,NA,igbẹkẹle ara ẹni
serene,alaafia,NA,alaafia
sexy,ni gbese,dun wo,dun wo
share,pin,NA,pin
shared,pín,NA,pín
shares,mọlẹbi,pin,pin
significance,lami,NA,lami
significant,pataki,NA,pataki
sincere,lododo,NA,lododo
sincerely,tọkàntọkàn,NA,tọkàntọkàn
sincerest,tọkàntọkàn,NA,tọkàntọkàn
sincerity,ododo,NA,ododo
slick,ologbon,NA,ologbon
slicker,alagidi,NA,alagidi
slickest,ege julọ,ologbon,ologbon
smart,ọlọgbọn,NA,ọlọgbọn
smarter,ijafafa,lọgbọn ju,lọgbọn ju
smartest,ọlọgbọn julọ,NA,ọlọgbọn julọ
smile,rẹrin musẹ,NA,rẹrin musẹ
smiled,rẹrin musẹ,NA,rẹrin musẹ
smiles,rẹrin musẹ,NA,rẹrin musẹ
smiling,rerin musẹ,n rerin musẹ,n rerin musẹ
sobering,sobering,airekọja,airekọja
