translatedText,text
awada,comedy
itunu,comfort
itura,comfortable
itunu,comforting
awọn itunu,comforts
gbóríyìn,commend
gbóríyìn fún,commended
dá,commit
ifaramo,commitment
dá,commits
ṣe,committed
dá,committing
aanu,compassionate
fi agbara mu,compelled
tóótun,competent
ifigagbaga,competitive
okeerẹ,comprehensive
laja,conciliate
gbìyànjú,conciliated
conciliates,conciliates
gbìyànjú,conciliating
igbekele,confidence
igboya,confident
oriire,congrats
ku oriire,congratulate
oriire,congratulation
oriire,congratulations
igbanilaaye,consent
awọn ipinnu,consents
itunu,consolable
parowa,convince
ni idaniloju,convinced
idaniloju,convinces
convivial,convivial
itura,cool
itura nkan na,cool stuff
igboya,courage
onígboyà,courageous
oninuure,courteous
iteriba,courtesy
ifọkanbalẹ,coziness
àtinúdá,creative
iyanilenu,curious
wuyi,cute
daredevil,daredevil
igboya,daring
dauntless,dauntless
ọwọn,dear
ololufe,dearly
debonair,debonair
ipinnu,decisive
ifiṣootọ,dedicated
olugbeja,defender
defenders,defenders
igbadun,delight
Inudidun,delighted
igbadun,delighting
dùn,delights
wuni,desirable
ifẹ,desire
fẹ,desired
ifẹ,desirous
pinnu,determined
ti yasọtọ,devoted
okuta iyebiye,diamond
ala,dream
awọn ala,dreams
ni itara,eager
tọkàntọkàn,earnest
irorun,ease
rọrun,easy
inu didun,ecstatic
doko,effective
fe ni,effectively
yọ,elated
elation,elation
yangan,elegant
ẹwa,elegantly
gbá mọ́ra,embrace
oníyọ̀ọ́nú,empathetic
enchanted,enchanted
iwuri fun,encourage
iwuri,encouraged
iwuri,encouragement
iwuri,encourages
fọwọsi,endorse
ti fọwọsi,endorsed
ifọwọsi,endorsement
atilẹyin,endorses
funnilokun,energetic
olukoni,engage
olukoni,engages
engrossed,engrossed
gbadun,enjoy
igbadun,enjoying
gbadun,enjoys
tan imọlẹ,enlighten
tan imọlẹ,enlightened
nmọlẹ,enlightening
nmọlẹ,enlightens
ìyapa,enrapture
rii daju,ensure
aridaju,ensuring
iṣẹ -ṣiṣe,enterprising
idanilaraya,entertaining
iwunilori,enthral
lakitiyan,enthusiastic
ẹtọ,entitled
le,entrusted
kasi,esteemed
iwa,ethical
euphoria,euphoria
euphoric,euphoric
binu,exasperated
iperegede,excellence
o tayọ,excellent
ṣojulọyin,excite
yiya,excited
simi,excitement
moriwu,exciting
iyasoto,exclusive
igbadun,exhilarated
exhilarates,exhilarates
igbadun,exhilarating
dá ẹjọ́,exonerate
alailẹṣẹ,exonerated
exonerates,exonerates
imukuro,exonerating
faagun,expand
gbooro sii,expands
iwakiri,exploration
explorations,explorations
faagun,extend
gbooro sii,extends
alayọ,exuberant
ayọ,exultant
pẹlu ayọ,exultantly
gbayi,fabulous
itẹ,fair
igbagbọ,faith
olóòótọ,faithful
loruko,fame
ololufẹ,fan
ikọja,fantastic
fanimọra,fascinate
fanimọra,fascinated
fascinates,fascinates
fanimọra,fascinating
ojurere,favor
ojurere,favored
ayanfẹ,favorite
ayanfẹ,favorited
awọn ayanfẹ,favorites
ojurere,favors
laifoya,fearless
rilara,feeling
tọkàntọkàn,fervent
alagidi,fervid
ajọdun,festive
itanran,fine
dada,fit
amọdaju,fitness
asia,flagship
lojutu,focused
iferan,fond
ifẹkufẹ,fondness
dariji,forgive
idariji,forgiving
orire,fortunate
ofe,free
ominira,freedom
alabapade,fresh
ore,friendly
frisky,frisky
ftw,ftw
mu ṣẹ,fulfill
ṣẹ,fulfilled
ṣẹ,fulfills
fun,fun
funky,funky
awada,funnier
awada,funny
asan,futile
jèrè,gain
jèrè,gained
nini,gaining
awọn ere,gains
gallant,gallant
gallantly,gallantly
gallantry,gallantry
oninurere,generous
genial,genial
ebun,gift
dun,glad
didan,glamorous
ẹwa,glamourous
ayo,glee
igbadun,gleeful
ologo,glorious
ogo,glory
ọlọrun,god
oriṣa,godsend
o dara,good
ire,goodness
oore,grace
oore -ofe,gracious
nla,grand
fifunni,grant
funni,granted
fifunni,granting
igbeowosile,grants
dupe,grateful
itelorun,gratification
nla,great
tobi,greater
ti o tobi julọ,greatest
kí,greet
kí,greeted
ikini,greeting
ikini,greetings
kí,greets
dagba,growing
Idagba,growth
lopolopo,guarantee
ha,ha
haha,haha
hahaha,hahaha
hahahah,hahahah
yinyin,hail
hailed,hailed
idunu,happiness
dun,happy
lile,hardier
lile,hardy
haunting,haunting
ni ilera,healthy
tọkàntọkàn,heartfelt
orun,heaven
ọrun,heavenly
Egba Mi O,help
wulo,helpful
ran,helping
iranlọwọ,helps
akoni,hero
akọni,heroes
akọni,heroic
saami,highlight
panilerin,hilarious
ooto,honest
ọlá,honor
lola,honored
ọlá,honoring
ọlá,honour
lola,honoured
ọlá,honouring
ireti,hope
ireti,hopeful
nireti,hopefully
ireti,hopes
nireti,hoping
famọra,hug
tobi,huge
famọra,hugs
humerous,humerous
arin takiti,humor
awada,humorous
arin takiti,humour
humourous,humourous
hurray,hurrah
aiku,immortal
ajesara,immune
pataki,importance
pataki,important
iwunilori,impress
iwunilori,impressed
iwunilori,impresses
ìkan,impressive
mu dara,improve
dara si,improved
ilọsiwaju,improvement
awọn ilọsiwaju,improves
imudarasi,improving
alekun,increase
pọ si,increased
aidibajẹ,indestructible
ìfẹ́kúfẹ̀ẹ́,infatuated
ìfẹ́kúfẹ̀ẹ́,infatuation
gbajugbaja,influential
imotuntun,innovate
innovates,innovates
àtinúdá,innovation
aseyori,innovative
awadi,inquisitive
awokose,inspiration
lokun,inspirational
imisi,inspire
imisi,inspired
iwuri,inspires
imoriya,inspiring
mule,intact
iyege,integrity
ọlọgbọn,intelligent
kikankikan,intense
anfani,interest
nife,interested
awon,interesting
nifesi,interests
intricate,intricate
intrigues,intrigues
aidibajẹ,invincible
pe,invite
pípe,inviting
alailagbara,invulnerable
alailagbara,irresistible
alaigbọran,irresponsible
oore,jaunty
jesu,jesus
ohun iyebiye,jewel
ohun iyebiye,jewels
jocular,jocular
darapo,join
awada,joke
awada,jokes
jolly,jolly
jovial,jovial
ayo,joy
ayo,joyful
pelu ayo,joyfully
ayo,joyous
jubilant,jubilant
idajọ,justice
lare,justifiably
lare,justified
itara,keen
oninuure,kind
oninuure,kinder
fẹnuko,kiss
kudos,kudos
enikeji,landmark
rerin,laugh
rerin,laughed
nrerin,laughing
rẹrin,laughs
nrerin,laughting
se igbekale,launched
ofin,lawl
ofin,legal
labẹ ofin,legally
alaanu,lenient
igbala,lifesaver
oninuure,lighthearted
fẹran,like
feran,liked
fẹran,likes
iwunlere,lively
mo,lmao
lmfao,lmfao
lol,lol
ololufẹ,lovable
ife,love
feran,loved
awọn ololufẹ,lovelies
ẹlẹwà,lovely
ife,loving
adúróṣinṣin,loyal
iṣootọ,loyalty
orire,luck
Oriire,luckily
orire,lucky
iyanu,marvel
iyanu,marvelous
awọn iyanu,marvels
aṣetan,masterpiece
aṣetan,masterpieces
ọrọ,matter
awọn nkan,matters
ogbo,mature
ti o nilari,meaningful
medal,medal
iṣaroye,meditative
aanu,mercy
ariya,merry
ọna,methodical
iyanu,miracle
ayọ,mirth
alarinrin,mirthful
pelu idunnu,mirthfully
ru,motivate
qkan,motivated
iwuri,motivating
iwuri,motivation
adayeba,natural
o dara,nice
nifty,nifty
ọlọla,noble
aramada,novel
ifẹ afẹju,obsessed
oks,oks
buburu,ominous
lẹẹkan-ni-igbesi aye,once-in-a-lifetime
awọn anfani,opportunities
anfani,opportunity
ireti,optimism
ireti,optimistic
ijade,outreach
dayato,outstanding
ayọ pupọ,overjoyed
paradise,paradise
idariji,pardon
dariji,pardoned
idariji,pardoning
idariji,pardons
kepe,passionate
alafia,peace
alaafia,peaceful
ni alaafia,peacefully
pipe,perfect
pé,perfected
daradara,perfectly
pipe,perfects
alaworan,picturesque
elere,playful
dídùn,pleasant
Jowo,please
dùn,pleased
igbadun,pleasure
gbajumo,popular
rere,positive
daadaa,positively
alagbara,powerful
iyin,praise
iyin,praised
iyin,praises
iyin,praising
gbadura,pray
gbigbadura,praying
gbadura,prays
gbaradi,prepared
lẹwa,pretty
anfaani,privileged
ṣakoso,proactive
itesiwaju,progress
oguna,prominent
ileri,promise
ileri,promised
awọn ileri,promises
se igbelaruge,promote
igbega,promoted
nse igbelaruge,promotes
igbega,promoting
afojusọna,prospect
asesewa,prospects
aisiki,prosperous
dáàbò bò,protect
ni idaabobo,protected
ndaabobo,protects
igberaga,proud
igberaga,proudly
igbasoke,rapture
raptured,raptured
igbasoke,raptures
rapturous,rapturous
ti fọwọsi,ratified
de ọdọ,reach
de ọdọ,reached
de ọdọ,reaches
nínàgà,reaching
idaniloju,reassure
ni idaniloju,reassured
awọn idaniloju,reassures
idaniloju,reassuring
so,recommend
niyanju,recommended
ṣe iṣeduro,recommends
irapada,redeemed
yọ,rejoice
yọ,rejoiced
yọ,rejoices
yọ,rejoicing
ni ihuwasi,relaxed
ti o gbẹkẹle,reliant
ran lọwọ,relieve
tu,relieved
relieves,relieves
iderun,relieving
inu didun,relishing
o lapẹẹrẹ,remarkable
igbala,rescue
gbà,rescued
awọn igbala,rescues
ipinnu,resolute
yanju,resolve
yanju,resolved
pinnu,resolves
ipinnu,resolving
bọwọ fun,respected
lodidi,responsible
idahun,responsive
simi,restful
mu pada,restore
pada,restored
restores,restores
mimu -pada sipo,restoring
kasi,revered
sọji,revive
sọji,revives
ère,reward
san nyi,rewarded
funlebun,rewarding
awọn ere,rewards
ọlọrọ,rich
itọsọna ọtun,right direction
lile,rigorous
lile,rigorously
logan,robust
rofl,rofl
roflcopter,roflcopter
roflmao,roflmao
fifehan,romance
rotfl,rotfl
rotflmfao,rotflmfao
rotflol,rotflol
lailewu,safe
lailewu,safely
ailewu,safety
salient,salient
itelorun,satisfied
fipamọ,save
ti o ti fipamọ,saved
ofofo,scoop
ni aabo,secure
ni ifipamo,secured
ni aabo,secures
igbẹkẹle ara ẹni,self-confident
alaafia,serene
ni gbese,sexy
pin,share
pín,shared
mọlẹbi,shares
lami,significance
pataki,significant
lododo,sincere
tọkàntọkàn,sincerely
tọkàntọkàn,sincerest
ododo,sincerity
ologbon,slick
alagidi,slicker
ege julọ,slickest
ọlọgbọn,smart
ijafafa,smarter
ọlọgbọn julọ,smartest
rẹrin musẹ,smile
rẹrin musẹ,smiled
rẹrin musẹ,smiles
rerin musẹ,smiling
sobering,sobering
ri to,solid
iṣọkan,solidarity
ojutu,solution
solusan,solutions
yanju,solve
yanju,solved
yanju,solves
lohun,solving
tù,soothe
farabale,soothed
itutu,soothing
fafa,sophisticated
sipaki,spark
danu,sparkle
tàn,sparkles
danmeremere,sparkling
emi,spirit
ẹmi,spirited
ẹlẹwa,splendid
daradara,sprightly
idurosinsin,stable
ìfaradà,stamina
ṣinṣin,steadfast
lowo,stimulate
ji,stimulated
stimulates,stimulates
safikun,stimulating
alagbara,stout
Taara,straight
agbara,strength
teramo,strengthen
lókun,strengthened
okun,strengthening
arawa,strengthens
lagbara,strong
ni okun sii,stronger
alagbara julọ,strongest
yanilenu,stunning
suave,suave
idaran,substantial
ni pataki,substantially
aseyori,success
aseyori,successful
oorun,sunshine
nla,super
to dara julọ,superb
ti o ga julọ,superior
atilẹyin,support
atilẹyin,supported
alatilẹyin,supporter
alatilẹyin,supporters
atilẹyin,supporting
atilẹyin,supportive
atilẹyin,supports
ye,survived
yè,surviving
iyokù,survivor
dun,sweet
yiyara,swift
yiyara,swiftly
alaanu,sympathetic
aanu,sympathy
tutu,tender
lasan,terrific
dúpẹ lọwọ,thank
ọpẹ,thankful
o ṣeun,thanks
laniiyan,thoughtful
yiya,thrilled
ifarada,tolerant
oke,top
gbepokini,tops
idakẹjẹ,tranquil
ìṣúra,treasure
ìṣúra,treasures
isegun,triumph
olubori,triumphant
otitọ,true
gbekele,trust
gbẹkẹle,trusted
aigbesehin,unbiased
aiṣedeede,unequaled
iṣọkan,unified
isokan,united
alailẹgbẹ,unmatched
unstoppable,unstoppable
untarnished,untarnished
wulo,useful
iwulo,usefulness
fọwọsi,validate
fọwọsi,validated
validates,validates
afọwọsi,validating
ti gba,vested
larinrin,vibrant
ṣọra,vigilant
idalare,vindicate
idalare,vindicated
awọn idalare,vindicates
idalare,vindicating
oniwa rere,virtuous
iran,vision
iranran,visionary
riran,visioning
ìran,visions
agbara,vitality
Vitamin,vitamin
vivacious,vivacious
fẹ,want
loworo,warm
iferan,warmth
oro,wealth
ọlọrọ,wealthy
kaabo,welcome
tewogba,welcomed
kaabọ,welcomes
ifẹkufẹ,whimsical
ìmúratán,willingness
ṣẹgun,win
olubori,winner
gba,winning
bori,wins
winwin,winwin
fẹ,wish
lopo lopo,wishes
edun okan,wishing
gba,won
iyanu,wonderful
woo,woo
woohoo,woohoo
wooo,wooo
woo,woow
jọ́sìn,worshiped
tọ,worth
yẹ,worthy
Iro ohun,wow
wowow,wowow
wowww,wowww
bẹẹni,yeah
ifẹkufẹ,yearning
bẹẹni,yeees
bẹẹni,yes
ọdọ,youthful
oloyinmọmọ,yummy
onítara,zealous
pọ,abound
pọ,abounds
opo,abundance
lọpọlọpọ,abundant
wiwọle,accessable
wiwọle,accessible
iyin,acclaim
iyin,acclaimed
iyin,acclamation
iyin,accolade
iyin,accolades
ibugbe,accommodative
ibugbe,accomodative
aṣepari,accomplishment
awọn aṣeyọri,accomplishments
deede,accurate
deede,accurately
aseyori,achievement
awọn aṣeyọri,achievements
iyọrisi,achievible
itara,acumen
adaptable,adaptable
aṣamubadọgba,adaptive
adijositabulu,adjustable
admirable,admirable
admirably,admirably
iwunilori,admiration
olufẹ,admirer
ẹwà,admiringly
olufẹ,adorer
adoring,adoring
adoringly,adoringly
adroit,adroit
adroitly,adroitly
adulate,adulate
ibukun,adulation
adulatory,adulatory
anfani,advantageous
advantageously,advantageously
ìrìn,adventuresome
alagbawi,advocate
agbejoro,advocated
alagbawi,advocates
igbẹkẹle,affability
affable,affable
affably,affably
ipa,affectation
ijora,affinity
jẹrisi,affirm
ìmúdájú,affirmation
affirmative,affirmative
ọlọrọ,affluence
ọlọrọ,affluent
irewesi,afford
ifarada,affordable
ni ifarada,affordably
afordable,afordable
agile,agile
agilely,agilely
agility,agility
itẹwọgba,agreeableness
ni ibamu,agreeably
gbogbo-ayika,all-around
ifamọra,alluring
elere,alluringly
altruistic,altruistic
altruistically,altruistically
iyalẹnu,amazement
iyalẹnu,amazingly
ambitiously,ambitiously
ṣe atunṣe,ameliorate
amulo,amenable
ohun elo,amenity
ifarada,amiability
amiabily,amiabily
alaanu,amiable
alaafia,amicability
alaafia,amicable
alaafia,amicably
amity,amity
iwonba,ample
pupọ,amply
amóríyá,amusing
amusingly,amusingly
angeli,angel
angeli,angelic
apotheosis,apotheosis
afilọ,appeal
afilọ,appealing
mọrírì,appreciable
mọrírì,appreciative
mọrírì,appreciatively
yẹ,appropriate
fi ọwọ si,approve
ardently,ardently
ardor,ardor
sọ asọye,articulate
ifẹkufẹ,aspiration
awọn ireti,aspirations
lepa,aspire
idaniloju,assurance
awọn idaniloju,assurances
idaniloju,assure
nit assuredtọ,assuredly
idaniloju,assuring
iyalẹnu,astonish
iyalẹnu,astonishing
iyalẹnu,astonishingly
iyalẹnu,astonishment
lasan,astutely
fetísílẹ,attentive
wuni,attractive
fifamọra,attractively
attune,attune
ngbohun,audible
gbohungbohun,audibly
rere,auspicious
ojulowo,authentic
alaṣẹ,authoritative
adase,autonomous
wa,available
aver,aver
ni itara,avidly
iyalẹnu,awe
iyalẹnu,awed
awesomely,awesomely
iyalẹnu,awesomeness
iyalẹnu,awestruck
awsome,awsome
egungun,backbone
iwontunwonsi,balanced
ẹlẹwa,beauteous
ẹwa,beautifullly
ẹwa,beauty
beckon,beckon
beckoned,beckoned
beckoning,beckoning
beckons,beckons
gbagbọ,believable
gbagbọ,believeable
oloore,benefactor
alaanu,beneficent
anfani,beneficial
anfaani,beneficially
alanfani,beneficiary
oninuure,benevolence
oninuure,benevolent
awọn anfani,benifits
ti o mọ julọ,best-known
ti o dara julọ,best-performing
tita to dara julọ,best-selling
dara-mọ,better-known
dara julọ ju ti a ti ṣe yẹ lọ,better-than-expected
beutifully,beutifully
alailẹgan,blameless
ni idunnu,blissfully
gbin,bloom
tanná,blossom
ṣe atilẹyin,bolster
egungun,bonny
ajeseku,bonus
awọn ajeseku,bonuses
ariwo,boom
ariwo,booming
ailopin,boundless
lọpọlọpọ,bountiful
ologbon,brainiest
ọpọlọ,brainy
ẹya tuntun,brand-new
akọni,bravery
bravo,bravo
awaridii,breakthroughs
ìmí mímí,breathlessness
yanilenu,breathtakingly
afẹfẹ,breeze
tan imọlẹ,brighten
tan imọlẹ,brighter
didan,brilliance
brilliances,brilliances
o wu,brilliantly
arakunrin,brotherly
akọmalu,bullish
cajole,cajole
idakẹjẹ,calmness
agbara,capability
ni agbara,capably
ṣe ifamọra,captivate
captivating,captivating
owo sisan pada,cashback
awọn owo sisan,cashbacks
mimu,catchy
ajoyo,celebration
ayẹyẹ,celebratory
aṣaju,champ
asiwaju,champion
charisma,charisma
charismatic,charismatic
alanu,charitable
pele,charmingly
mimọ,chaste
din owo,cheaper
lawin,cheapest
kerubu,cherub
chivalrous,chivalrous
chivalry,chivalry
ọlaju,civility
ọlaju,civilize
Ayebaye,classic
mimọ julọ,cleanest
mimọ,cleanliness
mimo,cleanly
ko o-ge,clear-cut
clearer,clearer
ogbon,cleverly
isopọ,cohere
isokan,coherence
isokan,coherent
iṣọkan,cohesive
lo ri,colorful
ẹlẹwa,comely
ni itunu,comfortably
itura,comfy
gbóríyìn fún,commendable
gboriyin fun,commendably
eru,commodious
iwapọ,compact
iwapọ,compactly
aanu,compassion
ibaramu,compatible
iranlowo,complement
tobaramu,complementary
gbelese,complemented
awọn afikun,complements
ifaramọ,compliant
iyin,compliment
ikini,complimentary
olufaragba,conciliatory
ṣoki,concise
congenial,congenial
oriire,congratulatory
tọkàntọkàn,conscientious
agbatẹniro,considerate
dédé,consistent
àìyẹsẹ,consistently
onitumọ,constructive
pari,consummate
ìtẹ́lọ́rùn,contentment
ilosiwaju,continuity
ilodi si,contrasty
ilowosi,contribution
wewewe,convenience
rọrun,convenient
ni irọrun,conveniently
ifaramọ,convience
ifaramọ,convienient
ifaramọ,convient
ni idaniloju,convincing
ni idaniloju,convincingly
tutu julọ,coolest
ajumose,cooperative
ifowosowopo,cooperatively
okuta igun ile,cornerstone
atunse,correct
bi o ti tọ,correctly
iye owo to munadoko,cost-effective
fifipamọ iye owo,cost-saving
counter-kolu,counter-attack
counter-ku,counter-attacks
igboya,courageously
igboya,courageousness
adajo,courtly
majẹmu,covenant
farabale,cozy
igbẹkẹle,credence
gbagbọ,credible
agaran,crisp
agaran,crisper
imularada,cure
imularada-gbogbo,cure-all
cushy,cushy
didara julọ,cuteness
danke,danke
danken,danken
laya,daringly
olufẹ,darling
dashing,dashing
owurọ,dawn
dazzle,dazzle
dazzled,dazzled
yanilenu,dazzling
olowo-poku,dead-cheap
ti ku,dead-on
ọmọluwabi,decency
bojumu,decent
ipinnu,decisiveness
ijatil,defeat
ṣẹgun,defeated
ṣẹgun,defeating
awọn ijatil,defeats
iteriba,deference
deft,deft
ti bajẹ,deginified
alafẹfẹ,delectable
delicacy,delicacy
elege,delicate
adun,delicious
igbadun,delightful
inudidun,delightfully
igbadun,delightfulness
gbẹkẹle,dependable
ti o gbẹkẹle,dependably
yẹ,deservedly
yẹ,deserving
ifẹkufẹ,desiring
ayanmọ,destiny
yiya sọtọ,detachable
olùfọkànsìn,devout
alaigbọran,dexterous
alaigbọran,dexterously
dextrous,dextrous
olola,dignified
ọlá,dignify
iyì,dignity
aisimi,diligence
alãpọn,diligent
tokantokan,diligently
oselu,diplomatic
dọti-olowo poku,dirt-cheap
iyatọ,distinction
iyasọtọ,distinctive
yato si,distinguished
orisirisi,diversified
Ibawi,divine
atorunwa,divinely
jọba,dominate
ti jẹ gaba lori,dominated
jọba,dominates
dote,dote
dotingly,dotingly
aniani,doubtless
ilẹ ala,dreamland
dumbfounded,dumbfounded
dumbfounding,dumbfounding
idinwon-ẹri,dummy-proof
ti o tọ,durable
ìmúdàgba,dynamic
ni itara,eagerly
itara,eagerness
tọkàntọkàn,earnestly
itara,earnestness
rọrùn,eased
irọrun,eases
o rorun gan,easier
rọrun julọ,easiest
irọrun,easiness
irọrun,easing
rọrun-si-lilo,easy-to-use
lo jeje,easygoing
ebullience,ebullience
ebullient,ebullient
ebulliently,ebulliently
ecenomical,ecenomical
ti ọrọ -aje,economical
awọn igbadun,ecstasies
igbadun,ecstasy
ecstatically,ecstatically
ṣatunṣe,edify
kọ ẹkọ,educated
ndin,effectiveness
ipa,effectual
doko,efficacious
daradara,efficient
daradara,efficiently
akitiyan,effortless
akitiyan,effortlessly
idasilẹ,effusion
agbara,effusive
daradara,effusively
imudarasi,effusiveness
elan,elan
yọ,elate
inu didun,elatedly
itanna,electrify
didara,elegance
gbe soke,elevate
olutayo,elite
ijafafa,eloquence
ologbon,eloquent
daadaa,eloquently
ìgboyà,embolden
olokiki,eminence
olokiki,eminent
ni aanu,empathize
ìyọ́nú,empathy
agbara,empower
ifiagbara,empowerment
enchant,enchant
enchanting,enchanting
enchantingly,enchantingly
iwuri,encouraging
iwuri,encouragingly
olufẹ,endear
iferan,endearing
ifọwọsi,endorsing
agbara,energize
agbara-daradara,energy-efficient
fifipamọ agbara,energy-saving
lowosi,engaging
engrossing,engrossing
mu dara,enhance
imudara,enhanced
imudara,enhancement
awọn ilọsiwaju,enhances
igbaladun,enjoyable
igbadun,enjoyably
gbadun,enjoyed
igbadun,enjoyment
ìlàlóye,enlightenment
gbe laaye,enliven
ennoble,ennoble
to,enough
enrapt,enrapt
enraptured,enraptured
bùkún,enrich
idarato,enrichment
ṣe ere idaraya,entertain
awon alarinrin,entertains
iwunilori,enthrall
yin ojlofọndotenamẹ,enthralled
moriwu,enthuse
itara,enthusiasm
olutayo,enthusiast
ni itara,enthusiastically
tàn,entice
tàn,enticed
tàn,enticing
enticingly,enticingly
entranced,entranced
entrancing,entrancing
gbekele,entrust
ilara,enviable
ilara,enviably
ilara,envious
ilara,enviously
ilara,enviousness
ilara,envy
deede,equitable
ergonomical,ergonomical
ti ko ni aṣiṣe,err-free
erudite,erudite
eulogize,eulogize
euphorically,euphorically
igbelewọn,evaluative
boṣeyẹ,evenly
iṣẹlẹ,eventful
ayeraye,everlasting
evocative,evocative
gbega,exalt
igbega,exaltation
gbega,exalted
ga,exaltedly
gbega,exalting
gbega,exaltingly
oluyẹwo,examplar
ayẹwo,examplary
iyalẹnu,excallent
kọja,exceed
ti kọja,exceeded
pupọju,exceeding
pupọju,exceedingly
koja,exceeds
tayo,excel
ti jade,exceled
alakikanju,excelent
olutayo,excellant
tayọ,excelled
olaju,excellency
o tayọ,excellently
tayọ,excels
alailẹgbẹ,exceptional
Iyatọ,exceptionally
inu didun,excitedly
igbadun,excitedness
excites,excites
moriwu,excitingly
ologbon,exellent
apẹẹrẹ,exemplar
apẹẹrẹ,exemplary
igbadun,exhilarate
igbadun,exhilaratingly
igbadun,exhilaration
gbooro,expansive
ni kiakia,expeditiously
amoye,expertly
olorinrin,exquisite
olorinrin,exquisitely
gbega,extol
gbega,extoll
Iyatọ,extraordinarily
alailẹgbẹ,extraordinary
idunnu,exuberance
pelu idunnu,exuberantly
yọyọ,exult
ayọ,exultation
inu didun,exultingly
gba oju,eye-catch
oju-mimu,eye-catching
eyecatch,eyecatch
ipenpeju,eyecatching
gbayi,fabulously
dẹrọ,facilitate
ni deede,fairly
ododo,fairness
tọkàntọkàn,faithfully
ìdúróṣinṣin,faithfulness
olokiki,famed
olokiki,famous
olokiki,famously
olufẹ,fancier
fancinating,fancinating
fanimọra,fancy
iferan,fanfare
egeb,fans
ikọja,fantastically
fanimọra,fascinatingly
ifanimora,fascination
asiko,fashionable
asa,fashionably
sare,fast
yiyara dagba,fast-growing
yiyara,fast-paced
Yara ju,faster
yiyara,fastest
yiyara-dagba,fastest-growing
ailabawọn,faultless
fav,fav
fave,fave
ọjo,favorable
ojurere,favour
laibẹru,fearlessly
ṣee ṣe,feasible
ṣee ṣe,feasibly
feat,feat
ẹya-ara-ọlọrọ,feature-rich
fecilitous,fecilitous
feisty,feisty
ṣe inudidun,felicitate
aladun,felicitous
idunnu,felicity
ìbímọ,fertile
tọkàntọkàn,fervently
tọkàntọkàn,fervidly
itara,fervor
iṣootọ,fidelity
amubina,fiery
itanran-nwa,fine-looking
finely,finely
finer,finer
