word,translatedText
engages,tsunduma
engrossed,shagala
enjoy,ji dadin
enjoying,jin dadin
enjoys,ji daɗi
enlighten,fadakarwa
enlightened,haskaka
enlightening,fadakarwa
enlightens,fadakarwa
enrapture,zane
ensure,tabbatar
ensuring,tabbatarwa
enterprising,shagala
entertaining,nishadi
enthral,mai ban sha'awa
enthusiastic,mai himma
entitled,mai suna
entrusted,danƙa
esteemed,daraja
ethical,da'a
euphoria,murna
euphoric,euphoric
exasperated,exasperated
excellence,kyau
excellent,kwarai da gaske
excite,ta da hankali
excited,m
excitement,tashin hankali
exciting,m
exclusive,keɓance
exhilarated,exhilarated
exhilarates,exhilarates
exhilarating,mai kayatarwa
exonerate,kurantawa
exonerated,zargewa
exonerates,exonerates
exonerating,onearfafawa
expand,fadada
expands,fadada
exploration,bincike
explorations,bincike
extend,miƙa
extends,kara
exuberant,mai farin ciki
exultant,yi murna
exultantly,farin ciki
fabulous,shahararre
fair,gaskiya
faith,bangaskiya
faithful,aminci
fame,daraja
fan,fan
fantastic,dama
fascinate,sha'awa
fascinated,burgewa
fascinates,yana burgewa
fascinating,m
favor,ni'ima
favored,falala a kansu
favorite,fi so
favorited,fi so
favorites,fi so
favors,ni'ima
fearless,mara tsoro
feeling,ji
fervent,mai ƙarfi
fervid,m
festive,biki
fine,lafiya
fit,dace
fitness,dacewa
flagship,taken
focused,mai da hankali
fond,m
fondness,so
forgive,gafarta
forgiving,gafartawa
fortunate,sa'a
free,kyauta
freedom,'yanci
fresh,sabo ne
friendly,abokantaka
frisky,frisky
ftw,ftw
fulfill,cika
fulfilled,cika
fulfills,cika
fun,fun
funky,funky
funnier,dariya
funny,mai ban dariya
futile,aikin banza
gain,samu
gained,tsiwirwirinsu
gaining,samun
gains,samu
gallant,gallant
gallantly,cikin annashuwa
gallantry,gallantry
generous,karimci
genial,genial
gift,kyauta
glad,murna
glamorous,kyakyawa
glamourous,kyakyawa
glee,murna
gleeful,m
glorious,daukaka
glory,daukaka
god,allah
godsend,baiwar allah
good,mai kyau
goodness,alheri
grace,alheri
gracious,mai alheri
grand,babba
grant,ba da kyauta
granted,ba
granting,bayarwa
grants,tallafi
grateful,godiya
gratification,gamsuwa
great,babba
greater,mafi girma
greatest,mafi girma
greet,gaishe
greeted,gaishe
greeting,gaisuwa
greetings,gaisuwa
greets,gaishe
growing,girma
growth,girma
guarantee,garanti
ha,ha
haha,haha
hahaha,hahaha
hahahah,hahahah
hail,ƙanƙara
hailed,yaba
happiness,farin ciki
happy,farin ciki
hardier,mawuyacin hali
hardy,Hardy
haunting,farauta
healthy,lafiya
heartfelt,azuciya
heaven,sama
heavenly,na sama
help,taimaka
helpful,taimako
helping,taimaka
helps,taimaka
hero,gwarzo
heroes,jarumai
heroic,jarumi
highlight,nuna alama
hilarious,mai ban dariya
honest,mai gaskiya
honor,girmamawa
honored,girmama
honoring,girmamawa
honour,girmamawa
honoured,girmama
honouring,girmamawa
hope,bege
hopeful,m
hopefully,da fatan
hopes,fatan
hoping,fatan
hug,runguma
huge,babba
hugs,runguma
humerous,mai raɗaɗi
humor,abun dariya
humorous,m
humour,abun dariya
humourous,m
hurrah,yi sauri
immortal,mara mutuwa
immune,rigakafi
importance,muhimmanci
important,muhimmanci
impress,burge
impressed,burge
impresses,burge
impressive,ban sha'awa
improve,inganta
improved,inganta
improvement,kyautatawa
improves,inganta
improving,inganta
increase,karuwa
increased,ya karu
indestructible,mara lalacewa
infatuated,soyayya
infatuation,soyayya
influential,tasiri
innovate,kirkire-kirkire
innovates,bidi'a
innovation,bidi'a
innovative,bidi'a
inquisitive,mai bincike
inspiration,wahayi
inspirational,wahayi
inspire,wahayi
inspired,wahayi
inspires,wahayi
inspiring,yin ishãra
intact,m
integrity,mutunci
intelligent,mai hankali
intense,mai tsanani
interest,sha'awa
interested,mai sha'awa
interesting,mai ban sha'awa
interests,bukatun
intricate,rikitarwa
intrigues,makirci
invincible,wanda ba a iya cin nasara
invite,gayyata
inviting,kira
invulnerable,mara lalacewa
irresistible,wanda ba a iya hana shi
irresponsible,rashin kulawa
jaunty,jaunty
jesus,yesu
jewel,jauhari
jewels,jauhari
jocular,jocular
join,shiga
joke,wargi
jokes,barkwanci
jolly,wauta
jovial,jovial
joy,farin ciki
joyful,m
joyfully,cikin farin ciki
joyous,farin ciki
jubilant,murna
justice,adalci
justifiably,barata
justified,barata
keen,son
kind,irin
kinder,mafi alheri
kiss,sumbace
kudos,kudos
landmark,alamar ƙasa
laugh,dariya
laughed,dariya
laughing,dariya
laughs,dariya
laughting,dariya
launched,ƙaddamar
lawl,lawl
legal,na shari'a
legally,bisa doka
lenient,mai sassauci
lifesaver,ceton rai
lighthearted,mai sauƙin zuciya
like,kamar
liked,so
likes,kwatankwacinku
lively,m
lmao,Lamao
lmfao,lmfao
lol,lol
lovable,abin kauna
love,soyayya
loved,ƙaunatacce
lovelies,soyayya
lovely,kyakkyawa
loving,mai kauna
loyal,m
loyalty,biyayya
luck,sa'a
luckily,anyi sa'a
lucky,sa'a
marvel,yi mamaki
marvelous,ban mamaki
marvels,abubuwan al'ajabi
masterpiece,fitacciyar
masterpieces,manyan abubuwa
matter,al'amari
matters,al'amura
mature,balagagge
meaningful,ma'ana
medal,lambar yabo
meditative,zuzzurfan tunani
mercy,rahama
merry,murnar
methodical,Hanyar
miracle,mu'ujiza
mirth,murna
mirthful,mai farin ciki
mirthfully,mirthfully
motivate,izawa
motivated,m
motivating,motsawa
motivation,dalili
natural,na halitta
nice,yayi kyau
nifty,nifty
noble,mai martaba
novel,labari
obsessed,damu
oks,oks
ominous,mai ban tsoro
once-in-a-lifetime,sau daya-a-rayuwa
opportunities,dama
opportunity,dama
optimism,fata
optimistic,kaffa-kaffa
outreach,kai bishara
outstanding,fice
overjoyed,murna da yawa
paradise,aljanna
pardon,afuwa
pardoned,afuwa
pardoning,yafiya
pardons,afuwa
passionate,m
peace,zaman lafiya
peaceful,zaman lafiya
peacefully,cikin aminci
perfect,cikakke
perfected,kammala
perfectly,daidai
perfects,cikakke
picturesque,mai ban sha'awa
playful,mai wasa
pleasant,dadi
please,Don Allah
pleased,yarda
pleasure,yardar rai
popular,mashahuri
positive,tabbatacce
positively,gaskiya ma
powerful,mai iko
praise,yabo
praised,yabo
praises,yabo
praising,yabon
pray,yi addu'a
praying,addu'a
prays,yana addu'a
prepared,shirya
pretty,kyakkyawa
privileged,gata
proactive,proactive
progress,ci gaba
prominent,shahararre
promise,alƙawari
promised,wa'adi
promises,alkawura
promote,inganta
promoted,ciyar
promotes,inganta
promoting,inganta
prospect,fata
prospects,masu yiwuwa
prosperous,wadata
protect,kare
protected,kariya
protects,karewa
proud,girman kai
proudly,alfahari
rapture,fyaucewa
raptured,fyaucewa
raptures,fyaucewa
rapturous,fyaucewa
ratified,ƙulla
reach,isa
reached,isa
reaches,ya kai
reaching,kai
reassure,sake tabbatarwa
reassured,sake tabbata
reassures,tabbatarwa
reassuring,Sanarwa
recommend,bada shawara
recommended,shawarar
recommends,bada shawarar
redeemed,fanshe
rejoice,yi murna
rejoiced,yi murna
rejoices,murna
rejoicing,murna
relaxed,annashuwa
reliant,dogara
relieve,taimaka
relieved,sami sauki
relieves,saukakawa
relieving,sauƙaƙewa
relishing,relishing
remarkable,na ƙwarai
rescue,ceto
rescued,ceto
rescues,ceto
resolute,yanke shawara
resolve,warware
resolved,warware
resolves,warware
resolving,warware
respected,girmamawa
responsible,alhakin
responsive,m
restful,m
restore,mayar
restored,mayar
restores,mayar
restoring,tanadi
revered,girmamawa
revive,rayar
revives,yana rayarwa
reward,sakamako
rewarded,lada
rewarding,lada
rewards,lada
rich,mai arziki
right direction,madaidaiciyar alkibla
rigorous,tsaurarawa
rigorously,da tsaurarawa
robust,robust
rofl,rofl
roflcopter,sarfaraz
roflmao,roflmao
romance,soyayya
rotfl,rufin
rotflmfao,rotflmfao
rotflol,rufin
safe,lafiya
safely,a amince
safety,aminci
salient,mai haske
satisfied,gamsu
save,ajiye
saved,sami ceto
scoop,diba
secure,amintattu
secured,kulla
secures,kullawa
self-confident,yarda da kai
serene,mai nutsuwa
sexy,sexy
share,raba
shared,raba
shares,hannun jari
significance,muhimmanci
significant,muhimmanci
sincere,mai gaskiya
sincerely,da gaske
sincerest,rashin kwanciyar hankali
sincerity,ikhlasi
slick,slick
slicker,slicker
slickest,slickest
smart,wayo
smarter,wayo
smartest,mafi wayo
smile,murmushi
smiled,yayi murmushi
smiles,murmushi
smiling,murmushi
sobering,mai da hankali
solid,m
solidarity,hadin kai
solution,bayani
solutions,mafita
solve,warware
solved,warware
solves,warware
solving,warwarewa
soothe,kwantar da hankali
soothed,kwantar da hankali
soothing,kwantar da hankali
sophisticated,na zamani
spark,walƙiya
sparkle,walƙiya
sparkles,walƙiya
sparkling,kyalkyali
spirit,ruhu
spirited,ruhi
splendid,m
sprightly,a fili
stable,barga
stamina,ƙarfin hali
steadfast,masu haƙuri
stimulate,kara kuzari
stimulated,kara kuzari
stimulates,kara kuzari
stimulating,kara kuzari
stout,mai ƙarfi
straight,madaidaiciya
strength,ƙarfi
strengthen,ƙarfafa
strengthened,ƙarfafa
strengthening,karfafawa
strengthens,ƙarfafa
strong,karfi
stronger,karfi
strongest,karfi
stunning,mai ban mamaki
suave,suave
substantial,gwaji
substantially,sosai
success,nasara
successful,nasara
sunshine,hasken rana
super,super
superb,kwarai
superior,m
support,tallafi
supported,tallafi
supporter,mai tallafi
supporters,masu goyon baya
supporting,tallafawa
supportive,tallafi
supports,goyon bayan
survived,tsira
surviving,tsira
survivor,mai tsira
sweet,mai dadi
swift,sauri
swiftly,da sauri
sympathetic,mai tausayi
sympathy,juyayi
tender,m
terrific,m
thank,na gode
thankful,godiya
thanks,godiya
thoughtful,mai tunani
thrilled,farin ciki
tolerant,mai haƙuri
top,saman
tops,fi
tranquil,kwanciyar hankali
treasure,taska
treasures,taskoki
triumph,nasara
triumphant,cin nasara
true,gaskiya
trust,amince
trusted,amintacce
unbiased,rashin nuna son kai
unequaled,kwatankwacinsa
unified,hadaka
united,gama kai
unmatched,wanda bai dace ba
unstoppable,wanda ba a iya hana shi
untarnished,wanda bai lalace ba
useful,amfani
usefulness,amfani
validate,inganta
validated,inganta
validates,inganta
validating,ingantawa
vested,takamaiman
vibrant,Tsayayyar
vigilant,yi hattara
vindicate,amintattu
vindicated,barata
vindicates,nuna
vindicating,nuna
virtuous,na kirki
vision,hangen nesa
visionary,mai hangen nesa
visioning,hangen nesa
visions,wahayi
vitality,mahimmanci
vitamin,bitamin
vivacious,mai motsi
want,so
warm,dumi
warmth,dumi
wealth,dukiya
wealthy,masu arziki
welcome,barka da zuwa
welcomed,barka da zuwa
welcomes,barka da zuwa
whimsical,son rai
willingness,shirye
win,lashe
winner,nasara
winning,cin nasara
wins,lashe
winwin,winwin
wish,fata
wishes,buri
wishing,fata
won,lashe
wonderful,ban mamaki
woo,woo
woohoo,woohoo
wooo,wooo
woow,woow
worshiped,bauta
worth,daraja
worthy,cancanta
wow,wow
wowow,wowow
wowww,wowww
yeah,yeah
yearning,marmarin
yeees,santa
yes,eh
youthful,saurayi
yummy,yummy
zealous,himma
abound,yawaita
abounds,yawaita
abundance,yawa
abundant,mai yawa
accessable,m
accessible,m
acclaim,yabo
acclaimed,yabo
acclamation,sanarwa
accolade,yabo
accolades,yabo
accommodative,kwantar da hankali
accomodative,masauki
accomplishment,yi
accomplishments,nasarorin
accurate,daidai
accurately,daidai
achievement,nasara
achievements,nasarori
achievible,cimma nasara
acumen,acumen
adaptable,wanda aka daidaita
adaptive,Na'urar daidaitawa
adjustable,daidaitacce
admirable,abin yabawa
admirably,abin sha'awa
admiration,sha'awa
admirer,mai son
admiringly,admiringly
adorer,kauna
adoring,yin sujada
adoringly,yin sujada
adroit,adroit
adroitly,adroitly
adulate,ulateauna
adulation,adauna
adulatory,yin adula
advantageous,amfani
advantageously,amfani
adventuresome,kasada
advocate,gabatarwa
advocated,bada shawarwari
advocates,masu ba da shawara
affability,amintacce
affable,mai yiwuwa
affably,amintacce
affectation,shafi
affinity,dangantaka
affirm,tabbatar
affirmation,tabbatarwa
affirmative,m
affluence,wadata
affluent,wadata
afford,iya
affordable,araha
affordably,iya iyawa
afordable,abin iyawa
agile,agile
agilely,agilely
agility,tashin hankali
agreeableness,yarda
agreeably,yarda
all-around,kewaye-kewaye
alluring,alluring
alluringly,alluringly
altruistic,mai girman kai
altruistically,yawanci
amazement,mamaki
amazingly,abin mamaki
ambitiously,burin
ameliorate,ameliorate
amenable,amintacce
amenity,abubuwan amfani
amiability,amiability
amiabily,aminabily
amiable,amin
amicability,amicability
amicable,sasantawa
amicably,cikin nutsuwa
amity,amity
ample,wadatacce
amply,amply
amusing,m
amusingly,ban dariya
angel,mala'ika
angelic,mala'iku
apotheosis,apotheosis
appeal,daukaka kara
appealing,roko
appreciable,abin godiya
appreciative,godiya
appreciatively,godiya
appropriate,dace
approve,yarda
ardently,tsawaitawa
ardor,son kai
articulate,bayyana
aspiration,buri
aspirations,buri
aspire,burin
assurance,tabbaci
assurances,tabbaci
assure,tabbatar
assuredly,tabbas
assuring,tabbatar
astonish,mamaki
astonishing,abin mamaki
astonishingly,mamaki
astonishment,mamaki
astutely,a hankali
attentive,m
attractive,m
attractively,na jan hankali
attune,attune
audible,ji
audibly,ji
auspicious,mai nasara
authentic,na kwarai
authoritative,iko
autonomous,m
available,akwai
aver,aver
avidly,avidly
awe,tsoro
awed,yi mamaki
awesomely,ban mamaki
awesomeness,al'ajabin
awestruck,mamaki
awsome,awsome
backbone,kashin baya
balanced,daidaita
beauteous,kyakkyawa
beautifullly,kawata
beauty,kyau
beckon,beckon
beckoned,duba
beckoning,waswasi
beckons,beckons
believable,abin yarda
believeable,mai imani
benefactor,mai taimako
beneficent,mai amfani
beneficial,amfani
beneficially,mai amfani
beneficiary,mai cin gajiyarta
benevolence,kyautatawa
benevolent,mai kyautatawa
benifits,benifits
best-known,sananne
best-performing,mafi kyawun aiki
best-selling,sayarwa mafi kyau
better-known,mafi sani
better-than-expected,mafi kyau-fiye da tsammani
beutifully,beutifully
blameless,mara laifi
blissfully,cikin ni'ima
bloom,fure
blossom,fure
bolster,ƙarfafa
bonny,bonny
bonus,kari
bonuses,kari
boom,albarku
booming,booming
boundless,m
bountiful,falala
brainiest,mafi jaruntaka
brainy,mai hankali
brand-new,sabo-sabo
bravery,jaruntaka
bravo,bravo
breakthroughs,nasarori
breathlessness,rashin numfashi
breathtakingly,mai daukar hankali
breeze,iska
brighten,haskaka
brighter,haske
brilliance,haske
brilliances,brilliances
brilliantly,brilliantly
brotherly,dan uwa
bullish,bullish
cajole,cajole
calmness,kwanciyar hankali
capability,iyawa
capably,iyawa
captivate,kamewa
captivating,jan hankali
cashback,cashback
cashbacks,kudade
catchy,mai kamawa
celebration,bikin
celebratory,bikin
champ,zakara
champion,zakara
charisma,kwarjini
charismatic,mai kwarjini
charitable,sadaka
charmingly,da fara'a
chaste,tsattsarka
cheaper,mai rahusa
cheapest,mafi arha
cherub,kerub
chivalrous,chivalrous
chivalry,chivalry
civility,wayewa
civilize,wayewa
classic,na gargajiya
cleanest,mafi tsabta
cleanliness,tsafta
cleanly,a tsabtace
clear-cut,bayyananniya
clearer,bayarda
cleverly,da wayo
cohere,cohere
coherence,daidaituwa
coherent,m
cohesive,haɗin kai
colorful,m
comely,kyakkyawa
comfortably,cikin kwanciyar hankali
comfy,comfy
commendable,abin yabo
commendably,abin yabawa
commodious,kayayyaki
compact,karami
compactly,karami
compassion,tausayi
compatible,jituwa
complement,kari
complementary,karin
complemented,cika
complements,cikawa
compliant,mai yarda
compliment,yabo
complimentary,kyauta
conciliatory,sulhu
concise,dunkule
congenial,na haihuwa
congratulatory,barka da warhaka
conscientious,mai hankali
considerate,m
consistent,daidaito
consistently,akai-akai
constructive,mai amfani
consummate,cika
contentment,wadatar zuci
continuity,ci gaba
contrasty,saba
contribution,taimako
convenience,saukakawa
convenient,dace
conveniently,dace
convience,yarda
convienient,mai dacewa
convient,yarda
convincing,gamsarwa
convincingly,gamsarwa
coolest,mafi kyau
cooperative,aiki tare
cooperatively,aiki tare
cornerstone,dutsen gini
correct,daidai
correctly,daidai
cost-effective,mai tsada
cost-saving,tsadar kuɗi
counter-attack,kai hari
counter-attacks,kai hare-hare
courageously,gaba gaɗi
courageousness,ƙarfin zuciya
courtly,ladabi
covenant,alkawari
cozy,jin dadi
credence,amintacce
credible,abin yarda
crisp,kintsattse
crisper,m
cure,magani
cure-all,warkewa-duka
cushy,cushy
cuteness,yankewa
danke,danke
danken,danken
daringly,cikin tsoro
darling,masoyi
dashing,faduwa
dawn,wayewar gari
dazzle,rudani
dazzled,mamaki
dazzling,dazzling
dead-cheap,mutu-arha
dead-on,mutu-kan
decency,ladabi
decent,mai kyau
decisiveness,yanke hukunci
defeat,shan kashi
defeated,ci
defeating,cin nasara
defeats,shan kashi
deference,girmamawa
deft,deft
deginified,rabewa
delectable,delectable
delicacy,abinci
delicate,m
delicious,dadi
delightful,dadi
delightfully,da farin ciki
delightfulness,ni'ima
dependable,abin dogaro
dependably,abin dogaro
deservedly,cancanci
deserving,cancanta
desiring,marmarin
destiny,makoma
detachable,m
devout,ibada
dexterous,mai rikitarwa
dexterously,deraminci
dextrous,dextrous
dignified,mai martaba
dignify,girmama
dignity,mutunci
diligence,himma
diligent,mai ƙwazo
diligently,himma
diplomatic,diflomasiyya
dirt-cheap,datti-mai rahusa
distinction,bambanci
distinctive,rarrabe
distinguished,bambanta
diversified,daban-daban
divine,allahntaka
divinely,allahntaka
dominate,mamaye
dominated,mamaye
dominates,mamaye
dote,dote
dotingly,dimately
doubtless,babu shakka
dreamland,ƙasar mafarki
dumbfounded,ya dimauce
dumbfounding,rubewa
dummy-proof,cikakken-hujja
durable,m
dynamic,tsauri
eagerly,cikin ɗoki
eagerness,himma
earnestly,da ƙwazo
earnestness,himma
eased,saukake
eases,saukake
easier,mai sauki
easiest,mafi sauki
easiness,sauƙaƙewa
easing,sassautawa
easy-to-use,mai sauƙin amfani
easygoing,mai saukin kai
ebullience,cikawar
ebullient,ma'ana
ebulliently,akullum
ecenomical,ecenomical
economical,tattali
ecstasies,farin ciki
ecstasy,farin ciki
ecstatically,cike da annashuwa
edify,ingantawa
educated,mai ilimi
effectiveness,tasiri
effectual,tasiri
efficacious,mai amfani
efficient,ingantaccen
efficiently,nagarta sosai
effortless,effortless
effortlessly,effortlessly
effusion,zubar ruwa
effusive,mai kuzari
effusively,cikakke
effusiveness,kuzari
elan,elan
elate,bayyana
elatedly,cikin farin ciki
electrify,lantarki
elegance,ladabi
elevate,daukaka
elite,fitattu
eloquence,balaga
eloquent,kaifin magana
eloquently,iya magana
embolden,karfafawa
eminence,fitarwa
eminent,mashahuri
empathize,tausaya wa
empathy,tausayawa
empower,karfafawa
empowerment,karfafawa
enchant,sihiri
enchanting,sihiri
enchantingly,cikin sihiri
encouraging,ƙarfafawa
encouragingly,karfafa gwiwa
endear,kauna
endearing,masoya
endorsing,yarda
energize,kuzari
energy-efficient,makamashi-ingantaccen
energy-saving,tanadin kuzari
engaging,shiga
engrossing,cikawa
enhance,inganta
enhanced,inganta
enhancement,kayan haɓakawa
enhances,kara habaka
enjoyable,m
enjoyably,more
enjoyed,naji dadin
enjoyment,morewa
enlightenment,fadakarwa
enliven,rayayyu
ennoble,rashin iyawa
enough,isa
enrapt,zana
enraptured,enraptured
enrich,wadãtar
enrichment,wadatarwa
entertain,nishadantar
entertains,nishadantarwa
enthrall,mai ban sha'awa
enthralled,mai ban sha'awa
enthuse,sha'awa
enthusiasm,babbar sha'awa
enthusiast,mai himma
enthusiastically,da farin ciki
entice,yaudare
enticed,yaudara
enticing,jawo hankali
enticingly,cikin hankali
entranced,entranced
entrancing,entrancing
entrust,amana
enviable,kishi
enviably,hasada
envious,hassada
enviously,hassada
enviousness,hassada
envy,hassada
equitable,daidaito
ergonomical,ergonomical
err-free,Kuskure
erudite,jahilci
eulogize,rairayi
euphorically,euphorically
evaluative,kimantawa
evenly,daidai
eventful,m
everlasting,har abada
evocative,m
exalt,daukaka
exaltation,daukaka
exalted,daukaka
exaltedly,ɗaukaka
exalting,daukaka
exaltingly,samawan
examplar,mai dubawa
examplary,abin koyi
excallent,na kwarai
exceed,wuce
exceeded,wucewa
exceeding,wucewa
exceedingly,da yawa
exceeds,ya wuce
excel,fice
exceled,ware
excelent,banda
excellant,ficewa
excelled,tayi fice
excellency,daukaka
excellently,kwarai da gaske
excels,ya fi kyau
exceptional,na kwarai
exceptionally,banda haka
excitedly,cikin farin ciki
excitedness,farin ciki
excites,zumudi
excitingly,cikin farin ciki
exellent,madalla
exemplar,misali
exemplary,abin misali
exhilarate,exhilarate
exhilaratingly,exhilaratingly
exhilaration,farin ciki
expansive,fadada
expeditiously,hanzarta
expertly,gwaninta
exquisite,dadi
exquisitely,mafi kyau
extol,daukaka
extoll,daukaka
extraordinarily,ƙari
extraordinary,na ban mamaki
exuberance,farin ciki
exuberantly,cike da murna
exult,yi murna
exultation,murna
exultingly,da murna
eye-catch,ido-kama
eye-catching,daukar ido
eyecatch,sa idanun ido
eyecatching,sa idanun ido
fabulously,shahararre
facilitate,sauƙaƙe
fairly,adalci
fairness,adalci
faithfully,aminci
faithfulness,aminci
famed,sananne
famous,shahara
famously,shahararre
fancier,fancier
fancinating,fancinating
fancy,zato
fanfare,fansa
fans,magoya baya
fantastically,abin mamaki
fascinatingly,mai ban sha'awa
fascination,sha'awa
fashionable,gaye
fashionably,gaye
fast,azumi
fast-growing,sauri-girma
fast-paced,da sauri-sauri
faster,sauri
fastest,fi sauri
fastest-growing,mafi sauri-girma
faultless,mara aibi
fav,fav
fave,fave
favorable,m
favour,ni'ima
fearlessly,rashin tsoro
feasible,m
feasibly,mai yiwuwa
feat,feat
feature-rich,fasali-mai arziki
fecilitous,mai ladabi
feisty,rawanin
felicitate,yi nasara
felicitous,maras kyau
felicity,cin nasara
fertile,m
fervently,da ƙwazo
fervidly,a hankali
fervor,himma
fidelity,aminci
fiery,na wuta
fine-looking,kyau-kyan gani
finely,finely
finer,finer
finest,mafi kyau
firmer,firmer
first-class,aji na farko
first-in-class,farko-a-aji
first-rate,na farko-kudi
flashy,mai walƙiya
flatter,flatter
flattering,fadanci
flatteringly,daita
flawless,mara aibi
flawlessly,flawlessly
flexibility,sassauci
flexible,m
flourish,yabanya
flourishing,mai bunƙasa
fluent,m
flutter,gurnani
fondly,so
foolproof,wawa
foremost,farkon
foresight,hangen nesa
formidable,karaya
fortitude,karfin gwiwa
fortuitous,mai yawan amfani
fortuitously,akai-akai
fortunately,akayi sa'a
fortune,arziki
fragrant,mai kamshi
freed,yantu
freedoms,yanci
fresher,sabo ne
freshest,sabo ne
friendliness,abota
frolic,frolic
frugal,mai da hankali
fruitful,hayayyafa
fulfillment,cikawa
futurestic,dan gaba
futuristic,na gaba
