translatedText,text
enweghị nkwanye ùgwù,disrespected
nkwụsị,disruption
nkwụsị,disruptions
na -akpaghasị,disruptive
enweghị afọ ojuju,dissatisfied
igbanwe,distort
agbagọ,distorted
na -agbagọ,distorting
agbagọ,distorts
dọpụ uche,distract
na -adọpụ uche,distracted
ndọpụ uche,distraction
na -adọpụ uche,distracts
nsogbu,distress
obi erughị ala,distressed
nsogbu,distresses
na -enye nsogbu,distressing
enweghị ntụkwasị obi,distrust
enweghị ntụkwasị obi,distrustful
ichegbu,disturb
nsogbu n'obi,disturbed
na -agbagha,disturbing
na -akpaghasị,disturbs
na -agba ọsọ,dithering
anya ntughari,dizzy
dodging,dodging
nzuzu,dodgy
anaghị arụ ọrụ,does not work
dị nsọ,dolorous
amasịghị,dont like
mbibi,doom
idikwe,doomed
obi abụọ,doubt
obi abụọ,doubted
obi abuo,doubtful
inwe obi abụọ,doubting
obi abụọ,doubts
douche,douche
douchebag,douchebag
iweda onwe ya ala,downcast
dara mbà n'obi,downhearted
ihu ala,downside
dọrọ,drag
dọkpụrụ,dragged
adọkpụ,drags
drained,drained
egwu,dread
egwu,dreaded
dị egwu,dreadful
na -atụ egwu,dreading
egwu,dreary
kemmiri,droopy
dobe,drop
rie,drown
riri mmiri,drowned
mmiri rie,drowns
mmanya na -egbu,drunk
na -enyo enyo,dubious
dud,dud
nzuzu,dull
ogbi,dumb
ogbi,dumbass
kpofuo,dump
tụfuru,dumped
ntụpọ,dumps
dupe,dupe
duped,duped
arụ ọrụ,dysfunction
dị egwu,eerie
eery,eery
ihere,embarrass
ihere,embarrassed
ihere,embarrasses
ihe ihere,embarrassing
ihere,embarrassment
na -ewe iwe,embittered
ihe mberede,emergency
ihe efu,emptiness
efu,empty
ndị iro,enemies
onye iro,enemy
ennui,ennui
iwe,enrage
were oke iwe,enraged
na -ewe iwe,enrages
na -ewe iwe,enraging
ohu,enslave
ohu,enslaved
ndị ohu,enslaves
anyaụfụ,envies
anyaụfụ,envious
anyaụfụ,envy
anyaụfụ,envying
na -ezighi ezi,erroneous
mperi,error
mmejọ,errors
gbapụ,escape
gbapụ,escapes
na -agbapụ,escaping
nchụpụ,eviction
ihe ọjọọ,evil
imebiga ihe ókè,exaggerate
imebiga ihe ókè,exaggerated
na -ekwubiga okwu ókè,exaggerates
na -ekwubiga okwu ókè,exaggerating
ewepu,exclude
ewepu,excluded
mwepu,exclusion
mgbaghara,excuse
ewepu,exempt
ike gwụchara,exhausted
chụpụ,expel
chụpụrụ,expelled
ịchụpụ,expelling
chụpụ,expels
erigbu,exploit
erigbu,exploited
na -erigbu,exploiting
ịkpa ike,exploits
ikpughe,expose
kpughere,exposed
na -ekpughe,exposes
na -ekpughe,exposing
fad,fad
fag,fag
fagot,faggot
fagot,faggots
ida,fail
okpu,failed
odida,failing
ada ada,fails
odida,failure
ọdịda,failures
obi mgbawa,fainthearted
adịgboroja,fake
adịgboroja,fakes
adịgboroja,faking
dara,fallen
na -ada,falling
ghaara ugha,falsified
ghagha ụgha,falsify
egwu,farce
onye fasizim,fascist
ndị fasizim,fascists
ọnwụ,fatalities
onwu,fatality
ike ọgwụgwụ,fatigue
ike gwụrụ,fatigued
ike ọgwụgwụ,fatigues
na -agwụ ike,fatiguing
egwu,fear
egwu,fearful
na -atụ egwu,fearing
egwu,fearsome
o JULA m,fed up
esighi ike,feeble
mpụ,felonies
mpụ,felony
fiasco,fiasco
na -akwụ ọtọ,fidgety
lụọ ọgụ,fight
oku,fire
chụọ n'ọrụ,fired
na -agbapụ,firing
efehe,flees
flop,flop
flops,flops
flu,flu
gbagọrọ agbagọ,flustered
onye nzuzu,fool
nzuzu,foolish
ndị nzuzu,fools
amanye,forced
mkpochapụ,foreclosure
mgbachi anya,foreclosures
chefuo,forget
na -echefu,forgetful
echefuru,forgotten
na -atụ ụjọ,frantic
wayo,fraud
wayo,frauds
wayo,fraudster
ndị wayo,fraudsters
wayo,fraudulence
wayo,fraudulent
ime ara,frenzy
egwu,fright
egwu,frightened
egwu,frightening
frikin,frikin
iwe iwe,frowning
nkụda mmụọ,frustrate
nkụda mmụọ,frustrated
na -akụda mmụọ,frustrates
na -akụda mmụọ,frustrating
nkụda mmụọ,frustration
Chei,fuck
iberibe,fucked
Onye iberibe,fucker
ndị isi,fuckers
afụ,fuckface
isi isi,fuckhead
iberibe,fucking
fucktard,fucktard
mfe,fud
fuck,fuked
iberibe,fuking
na -agba ume,fuming
olili ozu,funeral
olili ozu,funerals
na -ewe oke iwe,furious
gag,gag
gagged,gagged
mmuo,ghost
gbamgbam,giddy
itiri,gloom
gbara ọchịchịrị,gloomy
mgbada,glum
chukwu,goddamn
ili,grave
isi awọ,gray
anyaukwu,greed
onye anyaukwu,greedy
asacha akwụkwọ ndụ akwụkwọ ndụ,green wash
ịsacha akwụkwọ ndụ akwụkwọ ndụ,green washing
ịchacha ahịhịa,greenwash
onye na -asacha ahịhịa,greenwasher
ndị na -asacha ahịhịa,greenwashers
ịchacha ahịhịa,greenwashing
isi awọ,grey
iru uju,grief
na -eru uju,grieved
jọrọ njọ,gross
ikpe ọmụma,guilt
onye ikpe mara,guilty
ikwere ihe,gullibility
nghogbu,gullible
egbe,gun
hacked,hacked
enweghi obi uto,hapless
enweghi obi uto,haplessness
ike,hard
ihe isi ike,hardship
mmerụ ahụ,harm
merụrụ ahụ,harmed
na -emerụ ahụ,harmful
na -emerụ ahụ,harming
emerụ,harms
harried,harried
siri ike,harsh
dị ike,harsher
nke kacha sie ike,harshest
ịkpọasị,hate
asị,hated
ndị kpọrọ asị,haters
kpọrọ asị,hates
ịkpọ asị,hating
nsogbu,haunt
anọgidewokwa na -anyụ,haunted
na -achụpụ,haunts
mbibi,havoc
obi mgbawa,heartbreaking
obi mgbawa,heartbroken
obi ọjọọ,heavyhearted
hell,hell
enweghi enyemaka,helpless
na -ala azụ,hesitant
alala azụ,hesitate
zoro,hid
zoo,hide
na -ezo,hides
na -ezo,hiding
ihe mgbochi,hindrance
ụgha,hoax
agụụ ụlọ,homesick
hooligan,hooligan
ịkpọasị,hooliganism
hooligans,hooligans
enweghị olileanya,hopeless
enweghị olileanya,hopelessness
jọgburu onwe ya,horrendous
jọgburu onwe ya,horrible
egwu,horrific
egwu,horrified
onye iro,hostile
onye egwu,huckster
ihere,humiliated
mmechuihu,humiliation
agụụ,hunger
merụọ ahụ,hurt
na -afụ ụfụ,hurting
na -afụ ụfụ,hurts
ihu abụọ,hypocritical
nsị,hysteria
egwu,hysterical
ihe omimi,hysterics
onye iberibe,idiot
onye nzuzu,idiotic
amaghi ihe,ignorance
amaghi ihe,ignorant
leghara anya,ignore
eleghara anya,ignored
na -eleghara,ignores
na -arịa ọrịa,ill
iwu akwadoghị,illegal
amaghi akwukwo,illiteracy
ọrịa,illness
ọrịa,illnesses
imbecile,imbecile
agaghi agaghari,immobilized
enweghi ndidi,impatient
ezughị okè,imperfect
weta,impose
amanye,imposed
na -amanye,imposes
na -amanye,imposing
adịghị ike,impotent
mkporo,imprisoned
enweghi ike,inability
emeghị ihe,inaction
ezughi oke,inadequate
enweghi ike,incapable
enweghi ike,incapacitated
iwe,incensed
enweghi ike,incompetence
adighi ike,incompetent
enweghị uche,inconsiderate
mgbaka,inconvenience
adighi ike,inconvenient
obi abụọ,indecisive
enweghị mmasị,indifference
enweghị mmasị,indifferent
were iwe,indignant
iwe,indignation
ozizi,indoctrinate
indoctrinated,indoctrinated
indoctrinates,indoctrinates
ịkụzi ihe,indoctrinating
adighi ike,ineffective
adighi ike,ineffectively
nwere ọrịa,infected
dị ala,inferior
bubara oku,inflamed
ịda iwu,infringement
iwe iwe,infuriate
were iwe,infuriated
na -ewe iwe,infuriates
na -akpasu iwe,infuriating
gbochie,inhibit
merụrụ ahụ,injured
mmerụ ahụ,injury
ikpe na -ezighị ezi,injustice
ase,inquisition
ara,insane
ara,insanity
ejighi n'aka,insecure
enweghi uche,insensitive
enweghi uche,insensitivity
ihe efu,insignificant
enweghị isi,insipid
mkparị,insult
mkparị,insulted
mkparị,insulting
mkparị,insults
gbara ajụjụ ọnụ,interrogated
kwusi,interrupt
etre,interrupted
nkwụsịtụ,interrupting
nkwụsị,interruption
nkwụsị,interrupts
menyeujo,intimidate
egwu,intimidated
na -emenye ụjọ,intimidates
na -emenye ụjọ,intimidating
mmaja,intimidation
iwe,irate
egwu,ironic
asiri,irony
enweghị uche,irrational
edozighi,irresolute
enweghị ike ịgbanwe agbanwe,irreversible
kpasuo iwe,irritate
mgbakasị,irritated
na -akpasu iwe,irritating
dịpụrụ adịpụ,isolated
okoro,itchy
nkịta ọhịa,jackass
nkịta ọhịa,jackasses
mkporo,jailed
ekworo,jealous
ihe egwu,jeopardy
egwu,jerk
enweghị ọ joyụ,joyless
na -amali elu,jumpy
gbuo,kill
gburu,killed
na -egbu,killing
na -egbu,kills
enweghị,lack
enweghị isi,lackadaisical
lag,lag
adigide,lagged
na -egbu oge,lagging
lags,lags
ngwụrọ,lame
ikpe,lawsuit
ikpe,lawsuits
umengwụ,lazy
ihihi,leak
leaked,leaked
pụọ,leave
ike ọgwụgwụ,lethargic
ike ọgwụgwụ,lethargy
onye ugha,liar
Ndị ụgha,liars
obi ojoo,libelous
ghaara ugha,lied
mmachi,limitation
oke,limited
oke,limits
ịgba akwụkwọ,litigation
onye ịgba akwụkwọ,litigious
livid,livid
na -asọ oyi,loathe
kpọrọ asị,loathed
asị,loathes
na -asọ oyi,loathing
n'ọnụ ụlọ ogologo,lobby
na -eme mkpọtụ,lobbying
owu na -ama,lonely
owu na -ama,lonesome
na -agụ agụụ,longing
ekwe,loom
loomed,loomed
na -eru nso,looming
looms,looms
rụrụ arụ,loose
na -atọghe,looses
onye mfu,loser
na -efu,losing
ọnwụ,loss
furu efu,lost
nke kachasi ala,lowest
dị egwu,lugubrious
onye ara,lunatic
ndị ara,lunatics
zoo,lurk
na -ezo,lurking
na -ezo,lurks
ara,mad
na -agba ara,maddening
mebere,made-up
ara,madly
ara,madness
amanyere bụ iwu,mandatory
aghụghọ,manipulated
aghụghọ,manipulating
aghụghọ,manipulation
enweghi isi,meaningless
mediocrity,mediocrity
melancholy,melancholy
ihe egwu,menace
menaced,menaced
ọgbaghara,mess
ọgbaghara,messed
na -emejọ,messing up
enweghi uche,mindless
akparamagwa,misbehave
akparamagwa,misbehaved
omume ọjọọ,misbehaves
na -akpa agwa ọjọọ,misbehaving
ihe ojoo,mischief
ihe ojoo,mischiefs
nhụsianya,miserable
nhụsianya,misery
na -agbaghara,misgiving
ihe na -ezighi ezi,misinformation
kọwahie nke ọma,misinformed
a sụgharịrị ya nke ọma,misinterpreted
na -eduhie,misleading
agụghị agụ,misread
akụkọ na -ezighi ezi,misreporting
ịkọwa ihe,misrepresentation
uche,miss
agbaghara,missed
efu,missing
ndudue,mistake
hiere ụzọ,mistaken
mmejọ,mistakes
hiere ụzọ,mistaking
ghọtahie,misunderstand
nghọtahie,misunderstanding
na -aghọtahie,misunderstands
a ghọtahiere,misunderstood
ịkwa ákwá,moan
kwaa akwa,moaned
ịkwa akwa,moaning
na -asụ ude,moans
akwa emo,mock
akwa emo,mocked
ịkwa emo,mocking
mocks,mocks
mongering,mongering
monopolize,monopolize
monopolized,monopolized
monopolizes,monopolizes
monopolizing,monopolizing
obi mgbawa,moody
mope,mope
moping,moping
moron,moron
nne nne,motherfucker
ikwa nne,motherfucking
iru uju,mourn
na -eru uju,mourned
na -eru uju,mournful
iru uju,mourning
na -eru uju,mourns
mumpish,mumpish
igbu ọchụ,murder
ogbu mmadu,murderer
igbu ọchụ,murdering
na -egbu ọchụ,murderous
ogbugbu,murders
akụkọ ifo,myth
n00b,n00b
onye nzuzu,naive
mkpari,nasty
naïve,naïve
ndị nọ ná mkpa,needy
adịghị mma,negative
negativity,negativity
nleghara anya,neglect
eleghara anya,neglected
na -eleghara anya,neglecting
na -eleghara anya,neglects
irighiri akwara,nerves
ụjọ,nervous
ụjọ ji,nervously
niggas,niggas
nigger,nigger
mba,no
enweghị anụrị,no fun
mkpọtụ,noisy
nzuzu,nonsense
noob,noob
imi,nosey
adịghị mma,not good
anaghị arụ ọrụ,not working
ama ama,notorious
ujo,numb
akụ,nuts
kpochapụ,obliterate
kpochapụrụ,obliterated
na -asọ oyi,obnoxious
okwu rụrụ arụ,obscene
nke ochie,obsolete
ihe mgbochi,obstacle
ihe mgbochi,obstacles
isi ike,obstinate
iberibe,odd
mejọọ,offend
mejọrọ,offended
onye mejọrọ,offender
na -akpasu iwe,offending
mmejọ,offends
na -anọghị n'ịntanetị,offline
emegbu,oppressed
mmegbu,oppressive
enweghị nhọrọ,optionless
mkpu ákwá,outcry
karịrị akarị,outmaneuvered
iwe,outrage
were oke iwe,outraged
bufee,overload
elefuru anya,overlooked
iwe ọkụ,overreact
gabigara ókè,overreacted
imebiga ihe ókè,overreaction
imebiga ihe ókè,overreacts
overell,oversell
imebiga ihe ókè,overselling
na -ere ahịa,oversells
imebiga ihe ókè,oversimplification
karịrị akarị,oversimplified
karịrị akarị,oversimplifies
karịrị akarị,oversimplify
ikwubiga okwu ókè,overstatement
ikwubiga okwu ókè,overstatements
ibu ibu,overweight
oxymoron,oxymoron
mgbu,pain
mgbu,pained
ụjọ,panic
ejula,panicked
ụjọ,panics
ihe mgbagwoju anya,paradox
parley,parley
ngafe,passive
ngafe,passively
ọmịiko,pathetic
kwụọ ụgwọ,pay
ntaramahụhụ,penalty
pensive,pensive
ihe egwu,peril
ịgba akaebe ụgha,perjury
onye na -eme ihe,perpetrator
ndị omekome,perpetrators
gbagwojuru anya,perplexed
na -akpagbu,persecute
akpagbu,persecuted
na -akpagbu,persecutes
na -akpagbu,persecuting
na -agbagha,perturbed
dị egwu,pesky
enweghị nchekwube,pessimism
enweghị nchekwube,pessimistic
na -atụ ụjọ,petrified
egwu,phobic
ikpo,pileup
pique,pique
akwuru,piqued
iwe,piss
were iwe,pissed
na -akpasu iwe,pissing
dị egwu,piteous
ọmịiko,pitied
ọmịiko,pity
dị njikere,poised
nsi,poison
nsi,poisoned
nsi,poisons
mmetọ,pollute
emerụrụ emerụ,polluted
onye na -emetọ mmadụ,polluter
ndị na -emetọ mmadụ,polluters
na -emetọ,pollutes
ogbenye,poor
daa ogbenye,poorer
onye dara ogbenye,poorest
nwere,possessive
yigharia,postpone
yigharịrị,postponed
yigharịrị,postpones
na -eyigharị,postponing
ịda ogbenye,poverty
enweghi ike,powerless
prblm,prblm
prblms,prblms
nrụgide,pressure
nrụgide,pressured
megharịa,pretend
na -eme aghụghọ,pretending
na -eme,pretends
gbochie,prevent
gbochiri,prevented
igbochi,preventing
na -egbochi,prevents
prick,prick
mkporo,prison
onye nga,prisoner
ndị mkpọrọ,prisoners
nsogbu,problem
nsogbu,problems
onye uru,profiteer
okwu nduhie,propaganda
kpee ikpe,prosecute
gbara akwụkwọ,prosecuted
kpee ikpe,prosecutes
ikpe,prosecution
ngagharị iwe,protest
ndị ngagharị iwe,protesters
na -eme ngagharị iwe,protesting
ngagharị iwe,protests
kpasuo iwe,provoke
kpasuru iwe,provoked
na -akpalite,provokes
na -akpali akpali,provoking
pseudoscience,pseudoscience
taa ahuhu,punish
tara ahụhụ,punished
na -ata ahụhụ,punishes
ntaramahụhụ,punitive
na -akwali,pushy
gbagwojuru anya,puzzled
na -ama jijiji,quaking
ajuju,questionable
ajuju,questioned
ịjụ ajụjụ,questioning
ịkpa ókè agbụrụ,racism
ịkpa ókè agbụrụ,racist
ndị na -akpa ókè agbụrụ,racists
ọnụma,rage
na -ewe oke iwe,rageful
mmiri ozuzo,rainy
mkpu,rant
onye na -azụ anụ,ranter
ndị na -eri anụ,ranters
mkparị,rants
ndina n'ike,rape
ndina n'ike,rapist
ọkụ ọkụ,rash
nnupu isi,rebellion
nlaazu,recession
akpachapụghị anya,reckless
jụ,refuse
jụrụ,refused
ịjụ,refusing
kwaa ụta,regret
na -akwa ụta,regretful
akwa mmakwaara,regrets
kwara ụta,regretted
na -akwa ụta,regretting
iju,reject
jụrụ,rejected
na -ajụ,rejecting
jụrụ,rejects
adighi ike,relentless
nwute,remorse
ichughari,repulse
na -asọ oyi,repulsed
na -ewe iwe,resentful
gbara arụkwaghịm,resign
gbara arụkwaghịm,resigned
na -agba arụkwaghịm,resigning
gbara arụkwaghịm,resigns
zuru ike,restless
machibido,restrict
amachibidoro,restricted
na -egbochi,restricting
mgbochi,restriction
na -egbochi,restricts
ejigidere,retained
laa azụ,retard
ala azụ,retarded
ichighaazu,retreat
imegwara,revenge
na -abọ ọbọ,revengeful
mkpari,ridiculous
rig,rig
rigged,rigged
ọgba aghara,riot
ọgba aghara,riots
ihe egwu,risk
ihe egwu,risks
izu ohi,rob
onye ohi,robber
yi uwe,robed
na -ezu ohi,robing
ohi,robs
mbibi,ruin
mebiri emebi,ruined
na -emebi,ruining
