word,machine_translation,human_translation,machine_translation_updated
annoying,m,mai fushi,mai fushi
annoys,damuwa,yana fushi,yana fushi
antagonistic,antagonistic,abokin hamayya,abokin hamayya
anti,anti,akasin,akasin
anxiety,damuwa,NA,damuwa
anxious,damuwa,mai damuwa,mai damuwa
apathetic,rashin kulawa,NA,rashin kulawa
apathy,rashin kulawa,NA,rashin kulawa
apeshit,apeshit,mahaukacin fushi,mahaukacin fushi
apocalyptic,afuwa,NA,afuwa
apologise,yi hakuri,yi afuwa,yi afuwa
apologised,yi hakuri,yi afuwa,yi afuwa
apologises,yi hakuri,yana afuwa,yana afuwa
apologising,neman afuwa,yin afuwa,yin afuwa
apologize,yi hakuri,yi afuwa,yi afuwa
apologized,yi hakuri,yi afuwa,yi afuwa
apologizes,yi hakuri,yana afuwa,yana afuwa
apologizing,neman afuwa,yin afuwa,yin afuwa
apology,afuwa,NA,afuwa
appalled,firgita,NA,firgita
appalling,m,firgita,firgita
apprehensive,fargaba,NA,fargaba
arrest,kama,kamawa,kamawa
arrested,kama,NA,kama
arrests,kama,yana  Kama,yana  Kama
arrogant,girman kai,NA,girman kai
ashame,ashame,kunya,kunya
ashamed,kunya,NA,kunya
ass,jaki,duwawu,duwawu
assassination,kisan kai,NA,kisan kai
assassinations,kashe-kashe,NA,kashe-kashe
assfucking,danshi,cin dubura,cin dubura
asshole,dubura,NA,dubura
attack,kai hari,NA,kai hari
attacked,kai hari,NA,kai hari
attacking,kai hari,yin hari,yin hari
attacks,hare-hare,NA,hare-hare
avert,kau da kai,NA,kau da kai
averted,kauda kai,NA,kauda kai
averts,kau da kai,yana kau da kai,yana kau da kai
avoid,kauce,NA,kauce
avoided,kauce masa,kauce,kauce
avoids,kauce,yana kaucewa,yana kaucewa
await,jira,NA,jira
awaited,ana jira,jira,jira
awaits,yana jira,yana jira,yana jira
awful,mummunan,NA,mummunan
awkward,m,mai wuyar sha'ani,mai wuyar sha'ani
axe,gatari,NA,gatari
axed,axa,sare,sare
bad,mara kyau,NA,mara kyau
badass,mara kyau,banza,banza
badly,da kyau,NA,da kyau
bailout,bailout,tallafin jari,tallafin jari
bamboozle,bamboozle,damfara,damfara
bamboozled,bambooza,damfara,damfara
bamboozles,bamboozles,yana ko damfara,yana ko damfara
ban,hana,NA,hana
banish,kore,NA,kore
bankrupt,fatarar kuɗi,NA,fatarar kuɗi
bankster,banki,NA,banki
banned,dakatar,NA,dakatar
barrier,shinge,NA,shinge
bastard,dan iska,NA,dan iska
bastards,'yan iska,NA,'yan iska
battle,yaƙi,NA,yaƙi
battles,fadace-fadace,yake-yake,yake-yake
beaten,doke,NA,doke
beating,duka,NA,duka
belittle,raini,NA,raini
belittled,kaskantar da kai,kaskantar,kaskantar
bereave,yi baƙin ciki,NA,yi baƙin ciki
bereaved,rashi,NA,rashi
bereaves,makoki,NA,makoki
bereaving,makoki,NA,makoki
betray,cin amana,NA,cin amana
betrayal,cin amana,NA,cin amana
betrayed,cin amana,NA,cin amana
betraying,cin amana,NA,cin amana
betrays,mayaudara,yana cin amana,yana cin amana
bias,son zuciya,NA,son zuciya
biased,son zuciya,NA,son zuciya
bitch,karyar,karya,karya
bitches,bitches,karuwai,karuwai
bitter,m,daci,daci
bitterly,da ɗaci,mai daci,mai daci
bizarre,mai ban mamaki,NA,mai ban mamaki
blame,zargi,NA,zargi
blamed,zargi,NA,zargi
blames,zargi,yana zargi,yana zargi
blaming,zargi,yin zargi,yin zargi
blind,makaho,NA,makaho
block,toshewa,NA,toshewa
blocked,an katange,NA,an katange
blocking,tarewa,NA,tarewa
blocks,tubalan,NA,tubalan
bloody,na jini,mai jini,mai jini
blurry,blurry,dusu-dusu,dusu-dusu
boastful,mai alfahari,NA,mai alfahari
bomb,bam,NA,bam
bore,haifa,NA,haifa
bored,gundura,NA,gundura
boring,m,mai gundura,mai gundura
bother,damu,NA,damu
bothered,dame,NA,dame
bothers,damuwa,yana  damuwa,yana  damuwa
bothersome,damuwa,NA,damuwa
boycott,kauracewa gasar,kauracewa,kauracewa
boycotted,kauracewa,kaurace,kaurace
boycotting,kauracewa,NA,kauracewa
boycotts,kauracewa,yana kauracewa,yana kauracewa
brainwashing,wankin kwakwalwa,NA,wankin kwakwalwa
bribe,cin hanci,NA,cin hanci
broke,ya karye,NA,ya karye
broken,karye,karyayye,karyayye
brooding,dawani,NA,dawani
bullied,tursasawa,tsokana,tsokana
bullshit,kara,shime,shime
bully,zalunci,tsokana,tsokana
bullying,zalunci,yin tsokana,yin tsokana
bummer,bummer,kwafaswa,kwafaswa
burden,nauyi,NA,nauyi
burdened,nauyi,NA,nauyi
burdening,nauyi,NA,nauyi
burdens,nauyi,NA,nauyi
can't stand,ba zai iya tsayawa ba,NA,ba zai iya tsayawa ba
cancel,soke,sokewa,sokewa
cancelled,sokewa,soke,soke
cancelling,sakewa,NA,sakewa
cancels,sokewa,yana sokewa,yana sokewa
cancer,ciwon daji,NA,ciwon daji
careless,sakaci,NA,sakaci
cashing in,cashing a ciki,sanya kudi,sanya kudi
casualty,wanda ya jikkata,NA,wanda ya jikkata
catastrophe,masifa,NA,masifa
catastrophic,masifa,mai masifa,mai masifa
cautious,hankali,NA,hankali
censor,tacewa,tace,tace
censored,tacewa,NA,tacewa
censors,takunkumi,NA,takunkumi
chagrin,ɓacin rai,NA,ɓacin rai
chagrined,baƙin ciki,NA,baƙin ciki
challenge,kalubale,NA,kalubale
chaos,hargitsi,NA,hargitsi
chaotic,m,hargitsatstse,hargitsatstse
charged,caje,NA,caje
charges,caji,yana caja,yana caja
charmless,mara laya,NA,mara laya
chastise,azaba,NA,azaba
chastised,azabtar,NA,azabtar
chastises,azabtarwa,yana azabtarwa,yana azabtarwa
chastising,azabtarwa,NA,azabtarwa
cheat,yaudara,NA,yaudara
cheated,yaudara,NA,yaudara
cheater,mayaudari,NA,mayaudari
cheaters,masu yaudara,mayaudara,mayaudara
cheats,mai cuta,yana  yaudara,yana  yaudara
cheerless,mara gaisuwa,mara fara'a,mara fara'a
childish,na yara,kuruciya,kuruciya
chilling,chilling,shakatawa,shakatawa
choke,shaƙa,NA,shaƙa
choked,shake,NA,shake
chokes,shaƙewa,yana  shaka,yana  shaka
choking,shaƙewa,NA,shaƙewa
clash,karo,NA,karo
clouded,hadari,NA,hadari
clueless,mara ma'ana,NA,mara ma'ana
cock,zakara,NA,zakara
cocksucker,zakara,wofi,wofi
cocksuckers,zakara,yan wofi,yan wofi
cocky,cocky,giggiwa,giggiwa
coerced,tilasta,NA,tilasta
collapse,durkushe,NA,durkushe
collapsed,ya fadi,NA,ya fadi
collapses,ya rushe,yana durkushewa,yana durkushewa
collapsing,durkushewa,NA,durkushewa
collide,yi karo,NA,yi karo
collides,yi karo,yana  karo,yana  karo
colliding,karo,NA,karo
collision,karo,NA,karo
collisions,karo,yana  karo,yana  karo
colluding,hada baki,NA,hada baki
combat,yaƙi,NA,yaƙi
combats,fafatawa,yana  yakar,yana  yakar
complacent,m,yarda da kai,yarda da kai
complain,koka,kokawa,kokawa
complained,koka,NA,koka
complains,gunaguni,NA,gunaguni
condemn,la'anta,NA,la'anta
condemnation,la'ana,NA,la'ana
condemned,la'ane,NA,la'ane
condemns,la'anta,yana La'antar,yana La'antar
conflict,rikici,NA,rikici
conflicting,mai karo da juna,NA,mai karo da juna
conflictive,rikici,NA,rikici
conflicts,rikice-rikice,yana cin karo,yana cin karo
confuse,dame,rikicewa,rikicewa
confused,rudewa,rikice,rikice
confusing,m,mai rikitarwa,mai rikitarwa
conspiracy,makirci,NA,makirci
constrained,takura,NA,takura
contagion,yaduwa,NA,yaduwa
contagions,yaduwa,yana yadawa,yana yadawa
contagious,mai yaɗuwa,NA,mai yaɗuwa
contempt,raini,NA,raini
contemptuous,raini,NA,raini
contemptuously,raini,NA,raini
contend,jayayya,NA,jayayya
contender,contender,dan gwagwarmaya,dan gwagwarmaya
contending,gwagwarmaya,NA,gwagwarmaya
contentious,mai rikici,NA,mai rikici
contestable,m,mai jayayya,mai jayayya
controversial,mai rigima,NA,mai rigima
controversially,mai rikitarwa,NA,mai rikitarwa
cornered,kusurwa,NA,kusurwa
corpse,gawa,NA,gawa
costly,m,mai farashi,mai farashi
cover-up,sutura,NA,sutura
coward,matsoraci,NA,matsoraci
cowardly,matsoraci,a tsorace,a tsorace
cramp,matsi,NA,matsi
crap,abun banza,NA,abun banza
crash,fadi,NA,fadi
crazier,mahaukaci,NA,mahaukaci
craziest,wawa,babban mahaukaci,babban mahaukaci
crazy,mahaukaci,NA,mahaukaci
crestfallen,karwann,NA,karwann
cried,kuka,NA,kuka
cries,kuka,yana kuka,yana kuka
crime,laifi,NA,laifi
criminal,mai laifi,NA,mai laifi
criminals,masu laifi,NA,masu laifi
crisis,rikici,NA,rikici
critic,mai suka,NA,mai suka
criticism,zargi,NA,zargi
criticize,soki,NA,soki
criticized,soki,NA,soki
criticizes,ya soki,yana lsukar,yana lsukar
criticizing,zargi,suka,suka
critics,masu sukar,NA,masu sukar
cruel,mugunta,mugu,mugu
cruelty,mugunta,NA,mugunta
crush,murkushe,NA,murkushe
crushed,niƙa,nike,nike
crushes,murkushe,yana murkushe,yana murkushe
crushing,murkushewa,NA,murkushewa
cry,yi kuka,NA,yi kuka
crying,kuka,NA,kuka
cunt,al'aura,NA,al'aura
curse,la'ana,NA,la'ana
cut,yanke,NA,yanke
cuts,yanke,yana  yanke,yana  yanke
cutting,yankan,yankewa,yankewa
cynic,mai zagi,NA,mai zagi
cynical,mai zurfin tunani,NA,mai zurfin tunani
cynicism,zagi,NA,zagi
damage,lalacewa,NA,lalacewa
damages,diyya,NA,diyya
damn,Tsine,NA,Tsine
damned,la'ane,NA,la'ane
damnit,la'anta,tir,tir
danger,hadari,NA,hadari
darkest,mafi duhu,NA,mafi duhu
darkness,duhu,NA,duhu
dead,ya mutu,NA,ya mutu
deadlock,makulli,NA,makulli
deafening,kurma,NA,kurma
death,mutuwa,NA,mutuwa
debt,bashi,NA,bashi
deceit,yaudara,NA,yaudara
deceitful,mayaudari,NA,mayaudari
deceive,yaudara,NA,yaudara
deceived,yaudare,NA,yaudare
deceives,yaudara,yana yaudarar,yana yaudarar
deceiving,yaudara,NA,yaudara
deception,yaudara,NA,yaudara
defeated,ci,lallasa,lallasa
defect,aibi,NA,aibi
defects,lahani,NA,lahani
defenseless,mara kariya,NA,mara kariya
defer,a jinkirta,jinkirta,jinkirta
deferring,jinkirta,jinkirtawa,jinkirtawa
defiant,mai taurin kai,NA,mai taurin kai
deficit,kasawa,NA,kasawa
degrade,kaskantar,NA,kaskantar
degraded,kaskantacce,NA,kaskantacce
degrades,ƙasƙanci,yana kaskantarwa,yana kaskantarwa
dehumanize,dehumanize,zub da mutunci,zub da mutunci
dehumanized,ba mutumtaka,zub da mutunci,zub da mutunci
dehumanizes,dehumanizes,cin mutunci,cin mutunci
dehumanizing,lalata mutane,cin mutunci,cin mutunci
deject,ƙi,NA,ƙi
dejected,raunannu,NA,raunannu
dejecting,yaudara,NA,yaudara
dejects,kasa,yana yin kasa,yana yin kasa
delay,jinkiri,NA,jinkiri
delayed,jinkiri,jinkirta,jinkirta
demand,nema,NA,nema
demanded,nema,NA,nema
demanding,nema,NA,nema
demands,nema,yana nema,yana nema
demonstration,zanga-zanga,NA,zanga-zanga
demoralized,karai,kashe jiki,kashe jiki
denied,ƙaryata,musanta,musanta
denier,mai musun,NA,mai musun
deniers,masu ƙaryatãwa,NA,masu ƙaryatãwa
denies,ya ƙaryata,yana  musantawa,yana  musantawa
denounce,la'anta,NA,la'anta
denounces,la'anta,yana  laa'anta,yana  laa'anta
deny,ƙaryatãwa,NA,ƙaryatãwa
denying,musu,yin musu,yin musu
depressed,tawayar,NA,tawayar
depressing,depressing,mai tawayarwa,mai tawayarwa
derail,derail,dakilewa,dakilewa
derailed,lalata,NA,lalata
derails,derails,yana dakilewa,yana dakilewa
deride,izgili,NA,izgili
derided,izgili,NA,izgili
derides,izgili,yana  izgili,yana  izgili
deriding,izgili,yin izgili,yin izgili
derision,derision,ban dariya,ban dariya
despair,yanke kauna,NA,yanke kauna
despairing,yanke ƙauna,NA,yanke ƙauna
despairs,yanke tsammani,yana yanke kauna,yana yanke kauna
desperately,cike take,hajaran- majaran,hajaran- majaran
despondent,yanke ƙauna,NA,yanke ƙauna
destroy,halaka,NA,halaka
destroyed,halaka,NA,halaka
destroying,lalata,NA,lalata
destroys,halaka,Yana lalata,Yana lalata
destruction,hallaka,NA,hallaka
destructive,mai hallakaswa,NA,mai hallakaswa
detached,ware,NA,ware
detain,tsare,tsare,tsare
detained,tsare,NA,tsare
detention,tsarewa,NA,tsarewa
devastate,lalace,lalatawa,lalatawa
devastated,lalace,NA,lalace
devastating,mai ɓarna,NA,mai ɓarna
dick,dick,azzakari,azzakari
dickhead,dickhead,banza,banza
die,mutu,NA,mutu
died,ya mutu,matacce,matacce
difficult,wuya,NA,wuya
diffident,rarrabe,NA,rarrabe
dilemma,mawuyacin hali,NA,mawuyacin hali
dipshit,tsoma bakin ciki,NA,tsoma bakin ciki
dire,dire,muhimmi,muhimmi
direful,m,ujila,ujila
dirt,datti,NA,datti
dirtier,datti,mai datti Kwarai,mai datti Kwarai
dirtiest,mafi datti,NA,mafi datti
dirty,datti,mai datti,mai datti
disabling,kashewa,mai kasawa,mai kasawa
disadvantage,hasara,rashin dama,rashin dama
disadvantaged,rashin talauci,rashin dama,rashin dama
disappear,bace,bata,bata
disappeared,bace,NA,bace
disappears,vuya,yana buya,yana buya
disappoint,yanke tsammani,ba da kunya,ba da kunya
disappointed,masanan basu ji dadin,kunyatar,kunyatar
disappointing,m,kunyatar,kunyatar
disappointment,jin cizon yatsa,NA,jin cizon yatsa
disappointments,jin cizon yatsa,NA,jin cizon yatsa
disappoints,damuwa,yana  kunyatarwa,yana  kunyatarwa
disaster,bala'i,NA,bala'i
disasters,masifu,NA,masifu
disastrous,masifa,mai masifa,mai masifa
disbelieve,kafirta,NA,kafirta
discard,yar da,NA,yar da
discarded,a jefar,jefar,jefar
discarding,yarwa,NA,yarwa
discards,yarwa,yana watsarwa,yana watsarwa
disconsolate,katsewa,NA,katsewa
disconsolation,disconsolation,katsewa,katsewa
discontented,rashin jin daɗi,NA,rashin jin daɗi
discord,sabani,NA,sabani
discounted,rangwame,NA,rangwame
discouraged,karaya,NA,karaya
discredited,wulakantattu,NA,wulakantattu
disdain,raina,NA,raina
disgrace,wulakanci,NA,wulakanci
disgraced,wulakanci,NA,wulakanci
disguise,canza kama,bad-da- bami,bad-da- bami
disguised,sake kama,bad-da-bami,bad-da-bami
disguises,sake kamani,yana bad-da- bami,yana bad-da- bami
disguising,sake kamawa,yin bad-da-bami,yin bad-da-bami
disgust,ƙyama,NA,ƙyama
disgusted,ƙyama,NA,ƙyama
disgusting,abin ƙyama,NA,abin ƙyama
disheartened,karaya,NA,karaya
dishonest,rashin gaskiya,NA,rashin gaskiya
disillusioned,karaya,NA,karaya
disinclined,mara kyau,NA,mara kyau
dislike,ƙi,NA,ƙi
dismal,mara kyau,NA,mara kyau
dismayed,firgita,NA,firgita
disorder,rashin lafiya,NA,rashin lafiya
disorganized,rashin tsari,NA,rashin tsari
disoriented,rikicewa,NA,rikicewa
disparage,disparage,kaskantarwa,kaskantarwa
disparaged,disparage,kaskantarwa,kaskantarwa
disparages,disparages,yana kaskantarwa,yana kaskantarwa
disparaging,disparaging,kaskantarwa,kaskantarwa
displeased,bacin rai,NA,bacin rai
dispute,jayayya,NA,jayayya
disputed,jayayya,NA,jayayya
disputes,rigima,yana jayayya,yana jayayya
disputing,jayayya,NA,jayayya
disqualified,rashin cancanta,NA,rashin cancanta
disquiet,tashin hankali,NA,tashin hankali
disregard,rashin kulawa,NA,rashin kulawa
disregarded,rashin kulawa,NA,rashin kulawa
disregarding,rashin kulawa,NA,rashin kulawa
disregards,rashin kulawa,yana rashin kula,yana rashin kula
disrespect,rashin girmamawa,NA,rashin girmamawa
disrespected,rashin girmamawa,NA,rashin girmamawa
disruption,rushewa,NA,rushewa
disruptions,rushewa,rurrusawa,rurrusawa
disruptive,mai hargitsi,NA,mai hargitsi
dissatisfied,rashin gamsuwa,NA,rashin gamsuwa
distort,gurbata,NA,gurbata
distorted,gurbata,NA,gurbata
distorting,gurbata,NA,gurbata
distorts,gurbata,yana gurbatawa,yana gurbatawa
distract,shagala,NA,shagala
distracted,shagala,NA,shagala
distraction,shagala,NA,shagala
distracts,shagala,yana shagala,yana shagala
distress,damuwa,NA,damuwa
distressed,wahala,NA,wahala
distresses,damuwa,yana damuwa,yana damuwa
distressing,damuwa,NA,damuwa
distrust,rashin amincewa,NA,rashin amincewa
distrustful,amana,mara amana,mara amana
disturb,damemu,damu,damu
disturbed,dame,NA,dame
disturbing,damuwa,NA,damuwa
disturbs,damuwa,yana damuwa,yana damuwa
dithering,ditinging,NA,ditinging
dizzy,jiri,NA,jiri
dodging,dodging,nokewa,nokewa
dodgy,dodgy,nokakke,nokakke
does not work,ba ya aiki,NA,ba ya aiki
dolorous,cin gindi,NA,cin gindi
dont like,kar a so,ba a so,ba a so
doom,halaka,NA,halaka
doomed,wanzuwa,NA,wanzuwa
doubt,shakka,NA,shakka
doubted,shakka,NA,shakka
doubtful,m,mai shakku,mai shakku
doubting,shakku,NA,shakku
doubts,shakku,yana shakku,yana shakku
douche,douche,wanka,wanka
douchebag,douchebag,mara kirki,mara kirki
downcast,kaskantar da kai,NA,kaskantar da kai
downhearted,karaya,NA,karaya
downside,ƙasa,NA,ƙasa
drag,jawo,NA,jawo
dragged,jan,NA,jan
drags,drags,yana ja,yana ja
drained,drained,jikewa,jikewa
dread,tsreadro,tsoro,tsoro
dreaded,fargaba,NA,fargaba
dreadful,mai ban tsoro,NA,mai ban tsoro
dreading,tsoro,NA,tsoro
dreary,mai ban tsoro,NA,mai ban tsoro
droopy,droopy,mara karfin guiwa,mara karfin guiwa
drop,sauke,NA,sauke
drown,nutsar,NA,nutsar
drowned,nutsar da shi,NA,nutsar da shi
drowns,nutsar,yana nutsarwa,yana nutsarwa
drunk,buguwa,NA,buguwa
dubious,dubious,mara tabbas,mara tabbas
dud,dud,matshi,matshi
dull,maras ban sha'awa,dolo,dolo
dumb,bebe,NA,bebe
dumbass,dumbass,banza,banza
dump,juji,NA,juji
dumped,zubar,NA,zubar
dumps,juji,yana zubarwa,yana zubarwa
dupe,dupe,damfara,damfara
duped,duped,damfare,damfare
dysfunction,tabarbarewa,NA,tabarbarewa
eerie,m,mai figitarwa,mai figitarwa
eery,kowane,NA,kowane
embarrass,abin kunya,NA,abin kunya
embarrassed,jin kunya,NA,jin kunya
embarrasses,kunya,NA,kunya
embarrassing,abin kunya,NA,abin kunya
embarrassment,kunya,NA,kunya
embittered,ɓacin rai,NA,ɓacin rai
emergency,gaggawa,NA,gaggawa
emptiness,fanko,NA,fanko
empty,fanko,NA,fanko
enemies,makiya,NA,makiya
enemy,makiyi,NA,makiyi
ennui,ennui,damuwa,damuwa
enrage,fusata,NA,fusata
enraged,fusata,NA,fusata
enrages,fusata,yana/tana fusata,yana/tana fusata
enraging,bacin rai,NA,bacin rai
enslave,bawa,bautar,bautar
enslaved,bayi,bautar,bautar
enslaves,bayi,bautar,bautar
envies,hassada,yana hassada,yana hassada
envious,hassada,mai hassada,mai hassada
envy,hassada,NA,hassada
envying,hassada,yin hassada,yin hassada
erroneous,kuskure,mai kuskure,mai kuskure
error,kuskure,NA,kuskure
errors,kurakurai,NA,kurakurai
escape,tserewa,NA,tserewa
escapes,tsere,NA,tsere
escaping,tserewa,NA,tserewa
eviction,korewa,NA,korewa
evil,mugunta,mugu,mugu
exaggerate,wuce gona da iri,NA,wuce gona da iri
exaggerated,ƙari,kambama,kambama
exaggerates,ƙari,yana kambamawa,yana kambamawa
exaggerating,ƙari,kambamawa,kambamawa
exclude,ware,NA,ware
excluded,ban da,ware,ware
exclusion,wariya,NA,wariya
excuse,uziri,NA,uziri
exempt,kebe,NA,kebe
exhausted,gajiya,NA,gajiya
expel,kore,NA,kore
expelled,kora,NA,kora
expelling,kora,NA,kora
expels,kora,yana kora,yana kora
exploit,amfani,danniya,danniya
exploited,amfani,danne,danne
exploiting,amfani,yin danniya,yin danniya
exploits,amfani,yana dannewa,yana dannewa
expose,fallasa,NA,fallasa
exposed,fallasa,NA,fallasa
exposes,fallasa,yana fallasawa,yana fallasawa
exposing,bayyanawa,NA,bayyanawa
fad,fad,shauki,shauki
fag,fag,abin ashsha,abin ashsha
faggot,fagot,mai neman maza,mai neman maza
faggots,fagot,mai neman maza,mai neman maza
fail,kasa,NA,kasa
failed,kasa,NA,kasa
failing,kasawa,NA,kasawa
fails,ya kasa,ya kasa,ya kasa
failure,rashin cin nasara,NA,rashin cin nasara
failures,kasawa,NA,kasawa
fainthearted,kasala,NA,kasala
fake,na karya,NA,na karya
fakes,karyar,NA,karyar
faking,faking,na jabu,na jabu
fallen,fadi,NA,fadi
falling,faduwa,NA,faduwa
falsified,gurbata,NA,gurbata
falsify,gurbata,NA,gurbata
farce,farce,wasan kwaikwayo mai sanya dariya,wasan kwaikwayo mai sanya dariya
fascist,ɗan fasist,NA,ɗan fasist
fatalities,mutuwa,NA,mutuwa
fatality,mutuwa,NA,mutuwa
fatigue,gajiya,NA,gajiya
fatigued,gajiya,NA,gajiya
fatigues,fatigues,ya gaji,ya gaji
fatiguing,gajiya,NA,gajiya
fear,tsoro,NA,tsoro
fearful,tsoro,matsoraci,matsoraci
fearing,jin tsoro,NA,jin tsoro
fearsome,abin tsoro,NA,abin tsoro
fed up,ƙoshi,NA,ƙoshi
feeble,marasa ƙarfi,NA,marasa ƙarfi
felonies,felonies,mayan laifuka,mayan laifuka
felony,babban laifi,NA,babban laifi
fiasco,fiasco,gazawa,gazawa
fidgety,fidgety,fargaba,fargaba
fight,yaƙi,fada,fada
fire,wuta,NA,wuta
fired,kora,NA,kora
firing,harbe-harbe,NA,harbe-harbe
flees,ya gudu,ya/ta gudu,ya/ta gudu
flop,flop,kasashshe,kasashshe
flops,flops,ya kasa,ya kasa
flu,mura,NA,mura
flustered,aka tambaya,NA,aka tambaya
fool,wawa,NA,wawa
foolish,wawa,NA,wawa
fools,wawaye,NA,wawaye
forced,tilasta,NA,tilasta
foreclosure,takunkumi,NA,takunkumi
foreclosures,waɗanda ake yi wa aiki,NA,waɗanda ake yi wa aiki
forget,manta,NA,manta
forgetful,mai mantuwa,NA,mai mantuwa
forgotten,manta,mantacce,mantacce
frantic,mai saurin tashin hankali,NA,mai saurin tashin hankali
fraud,zamba,NA,zamba
frauds,zamba,yana zamba,yana zamba
fraudster,mai zamba,Dan damfara,Dan damfara
fraudsters,'yan damfara,NA,'yan damfara
fraudulence,zamba,NA,zamba
fraudulent,zamba,NA,zamba
frenzy,hauka,NA,hauka
fright,tsorace,NA,tsorace
frightened,firgita,NA,firgita
frightening,tsoratarwa,NA,tsoratarwa
frowning,yamutsa fuska,fuskar shanu,fuskar shanu
frustrate,takaici,fusata,fusata
frustrated,takaici,fusata,fusata
frustrates,takaici,ya fusata,ya fusata
frustrating,takaici,abin fusatarwa,abin fusatarwa
frustration,takaici,fusatarwa,fusatarwa
fuck,fuck,ci gindi,ci gindi
fucked,fucked,ci gindi,ci gindi
fucker,mai lalata,maci gindi,maci gindi
fuckers,'yan damfara,maciya gindi,maciya gindi
fuckface,karafarini,cin fuska,cin fuska
fuckhead,fuckhead,cin kai,cin kai
fucking,cin gindi,NA,cin gindi
fucktard,karasowa,NA,karasowa
fud,fud,fargaba,fargaba
fuked,shanawa,NA,shanawa
fuking,fuking,shanawa,shanawa
fuming,fuming,hayaki,hayaki
funeral,jana'iza,NA,jana'iza
funerals,jana'izar,NA,jana'izar
furious,fusata,NA,fusata
gag,gag,zugi,zugi
gagged,zugi,NA,zugi
ghost,fatalwa,NA,fatalwa
giddy,giddy,jiri,jiri
gloom,duhu,NA,duhu
gloomy,ciki,NA,ciki
glum,glum,gazawa,gazawa
goddamn,allahn,assha,assha
grave,kabari,NA,kabari
gray,launin toka-toka,NA,launin toka-toka
greed,kwadayi,hadama,hadama
greedy,mai hadama,NA,mai hadama
green wash,koren wanka,yada karya,yada karya
green washing,wankan kore,yada karya,yada karya
greenwash,wankin kore,yada karya,yada karya
greenwasher,injin wanki,yada karya,yada karya
greenwashers,injin wanki,yada karya,yada karya
greenwashing,wankan kore,yada karya,yada karya
grey,launin toka-toka,NA,launin toka-toka
grief,baƙin ciki,NA,baƙin ciki
grieved,yi baƙin ciki,NA,yi baƙin ciki
gross,babban,NA,babban
guilt,laifi,NA,laifi
guilty,laifi,NA,laifi
gullibility,rashin fahimta,NA,rashin fahimta
gullible,m,mara fahimta,mara fahimta
gun,bindiga,NA,bindiga
hacked,an yi hacked,kutse,kutse
hapless,mara dadi,NA,mara dadi
haplessness,rashin aiki,NA,rashin aiki
hard,wuya,NA,wuya
hardship,wahala,NA,wahala
