word,machine_translation,human_translation,machine_translation_updated,emotion,emotion_intensity_score
loathsome,irira,ìríra,ìríra,anger,0.857
attack,kolu,kọlù,kọlù,anger,0.853
hell,apaadi,ọ̀run àpáàdì,ọ̀run àpáàdì,anger,0.853
murderous,apànìyàn,apànìyàn,apànìyàn,anger,0.853
malice,arankàn,òdì,òdì,anger,0.852
terrorism,ipanilaya,ìpániláyà,ìpániláyà,anger,0.851
beating,lilu,lílù,lílù,anger,0.849
pissingmeoff,pissingmeoff,ń bí mi nínú,ń bí mi nínú,anger,0.848
desecration,ibajẹ,ìbàjẹ́,ìbàjẹ́,anger,0.848
outrage,ibinu,ìbínú,ìbínú,anger,0.848
irate,ibinu,ìbínú,ìbínú,anger,0.844
tumultuous,rudurudu,rúdurùdu,rúdurùdu,anger,0.844
destroying,ìparun,ìparun,ìparun,anger,0.844
violent,iwa -ipa,ìwà-ìpá,ìwà-ìpá,anger,0.844
stab,gún,gún,gún,anger,0.844
infuriate,binu,bínú,bínú,anger,0.844
slaughter,pipa,pípa,pípa,anger,0.844
abomination,irira,ìríra,ìríra,anger,0.844
obliterate,parun,parun,parun,anger,0.843
dumbbitch,dumbbitch,Aṣẹ́wó òṣì,Aṣẹ́wó òṣì,anger,0.841
belligerent,oníjàgídíjàgan,oníjàgídíjàgan,oníjàgídíjàgan,anger,0.841
detest,irira,ìríra,ìríra,anger,0.838
hostilities,igbogunti,àwọn ìgbóguntì,àwọn ìgbóguntì,anger,0.837
prick,prick,kúlú,kúlú,anger,0.835
cruelty,ìkà,ìkà,ìkà,anger,0.833
horrid,horrid,burújù,burújù,anger,0.833
rampage,rampage,faraya,faraya,anger,0.833
rabid,rabid,ṣiwèrè,ṣiwèrè,anger,0.833
torture,ìdálóró,ìdálóró,ìdálóró,anger,0.833
satanic,sataniki,ti èṣù,ti èṣù,anger,0.828
hate,ikorira,ìkóríra,ìkóríra,anger,0.828
hating,ikorira,ìkóríra,ìkóríra,anger,0.828
tyrannical,alagidi,alágídí,alágídí,anger,0.828
demonic,eṣu,èṣù,èṣù,anger,0.828
ragemode,ragemode,ipò ìrunú,ipò ìrunú,anger,0.828
despicable,ẹlẹgàn,ẹlẹ̀gaǹ,ẹlẹ̀gaǹ,anger,0.828
ruinous,iparun,ìparun,ìparun,anger,0.825
condemn,da lẹbi,dá lẹ̀bi,dá lẹ̀bi,anger,0.825
extermination,ìparun,ìparun,ìparun,anger,0.824
riots,rudurudu,rúdurùdu,rúdurùdu,anger,0.824
dickhead,dickhead,òpònú,òpònú,anger,0.824
angry,binu,bínú,bínú,anger,0.824
demolish,wó lulẹ̀,wó lulẹ̀,wó lulẹ̀,anger,0.824
livid,livid,Ìbínú fùfù,Ìbínú fùfù,anger,0.821
madman,aṣiwere,aṣiwèrè,aṣiwèrè,anger,0.82
vindictive,ẹsan,ẹ̀san,ẹ̀san,anger,0.819
ferocity,ferocity,ìrorò,ìrorò,anger,0.818
terrorist,apanilaya,apániláyà,apániláyà,anger,0.818
venomous,oró,oró,oró,anger,0.818
threaten,halẹ,halẹ̀,halẹ̀,anger,0.818
hateyou,korira re,Kórìra rẹ,Kórìra rẹ,anger,0.818
effyou,effyou,ìsọkúsọ,ìsọkúsọ,anger,0.818
abhor,korira,kórira,kórira,anger,0.816
carnage,ipakupa,Okú púpọ̀,Okú púpọ̀,anger,0.814
savage,iwa ika,rorò,rorò,anger,0.814
atrocity,iwa ika,ìṣe búburú,ìṣe búburú,anger,0.814
fuming,fuming,ìrunú,ìrunú,anger,0.812
pissedoff,inu bibi,bínú,bínú,anger,0.812
pissesmeoff,pissesmeoff,Mú inú bí mi,Mú inú bí mi,anger,0.812
fierce,imuna,gbóná,gbóná,anger,0.812
abuse,ilokulo,ìlòkulò,ìlòkulò,anger,0.812
barbaric,ẹranko,ẹranko,ẹranko,anger,0.812
berserk,aṣeju,àṣejù,àṣejù,anger,0.812
fucksake,fucksake,bínú,bínú,anger,0.812
vendetta,vendetta,gbẹ̀san,gbẹ̀san,anger,0.812
angrytweet,binu,ọ̀rọ̀ ìbínú,ọ̀rọ̀ ìbínú,anger,0.812
destroyer,apanirun,apanirun,apanirun,anger,0.812
tyrant,alade,NA,alade,anger,0.812
anger,ibinu,ìbínú,ìbínú,anger,0.811
pieceofshit,nkan isere,ǹkan ìṣeré,ǹkan ìṣeré,anger,0.81
slam,slam,fi agbára tì,fi agbára tì,anger,0.803
punching,lilu,lílù,lílù,anger,0.803
homicide,ipaniyan,ìpànìyàn,ìpànìyàn,anger,0.803
punched,lù,lù,lù,anger,0.803
bitch,bishi,aṣẹ́wó,aṣẹ́wó,anger,0.803
fights,ìjà,ìjà,ìjà,anger,0.803
destructive,apanirun,apanirun,apanirun,anger,0.797
ruthless,aláìláàánú,aláìláàánú,aláìláàánú,anger,0.797
villainous,buburu,búburú,búburú,anger,0.797
slap,gbá,gbá,gbá,anger,0.791
destroyed,run,rún,rún,anger,0.788
ragetweet,ragetweet,ọrọ ìbínú,ọrọ ìbínú,anger,0.788
slaughterhouse,agbo ẹran,NA,agbo ẹran,anger,0.788
retaliatory,igbẹsan,ìgbẹ̀san,ìgbẹ̀san,anger,0.788
yelling,nkigbe,ńkígbe,ńkígbe,anger,0.788
riot,rogbodiyan,rògbòdìyàn,rògbòdìyàn,anger,0.788
punishing,ijiya,ìjìyà,ìjìyà,anger,0.788
growthefuckup,dagba ifamọra,dàgbà ìfàmọ́ra,dàgbà ìfàmọ́ra,anger,0.788
diabolical,diabolical,lọ́wọ́ ayé,lọ́wọ́ ayé,anger,0.788
clash,figagbaga,figagbága,figagbága,anger,0.783
manslaughter,ipaniyan,ìpànìyàn,ìpànìyàn,anger,0.783
hellish,apaadi,àpáàdì,àpáàdì,anger,0.781
bloody,itajesile,ìtàjẹ̀sílẹ̀,ìtàjẹ̀sílẹ̀,anger,0.781
loath,ikorira,Ìkórìra,Ìkórìra,anger,0.781
quarrel,ìjà,ìjà,ìjà,anger,0.781
detonation,ìbọn,Yínyin ìbọn,Yínyin ìbọn,anger,0.781
sinister,ẹlẹṣẹ,ẹlẹ́ṣẹ̀,ẹlẹ́ṣẹ̀,anger,0.781
fumin,fumin,ìrunú,ìrunú,anger,0.779
hateeee,korira,Kórìra,Kórìra,anger,0.779
treacherous,arekereke,àrékérekè,àrékérekè,anger,0.779
accusing,ẹsùn,ẹsùn,ẹsùn,anger,0.779
madder,aṣiwere,aṣiwèrè,aṣiwèrè,anger,0.773
retaliate,gbesan,gbẹ̀san,gbẹ̀san,anger,0.773
revulsion,ifilọlẹ,Ìfilọ́lẹ̀,Ìfilọ́lẹ̀,anger,0.773
horrific,oburewa,burẹ́wà,burẹ́wà,anger,0.773
scorn,ẹgan,ẹ̀gàn,ẹ̀gàn,anger,0.769
bomb,bombu,àdó olóró,àdó olóró,anger,0.766
deplorable,ìbànújẹ́,ìbànújẹ́,ìbànújẹ́,anger,0.766
anarchist,anarchist,adárúdurùdusílẹ̀,adárúdurùdusílẹ̀,anger,0.765
devastation,iparun,ìparun,ìparun,anger,0.765
resent,binu,bínú,bínú,anger,0.765
firestorm,ijona ina,ìjóná iná,ìjóná iná,anger,0.765
contemptible,ẹgan,ẹ̀gàn,ẹ̀gàn,anger,0.764
shittest,ẹlẹtan,ẹlẹ̀tàn,ẹlẹ̀tàn,anger,0.76
smash,fọ,fọ́,fọ́,anger,0.758
deadly,oloro,olóró,olóró,anger,0.758
soangry,soangry,bínú púpọ̀,bínú púpọ̀,anger,0.758
rant,ariwo,ariwo,ariwo,anger,0.758
cruel,ìka,ìkà,ìkà,anger,0.758
outburst,ariwo,ariwo,ariwo,anger,0.757
snarl,ipọnju,ìpọ́njú,ìpọ́njú,anger,0.754
crazed,crazed,sínwín,sínwín,anger,0.75
dontmesswithme,dontmesswithme,Má mú inú bí mi,Má mú inú bí mi,anger,0.75
profane,alaimọ,aláìmọ́,aláìmọ́,anger,0.75
aggravating,aggravating,Sọ dì bàjẹ́,Sọ dì bàjẹ́,anger,0.75
douchebags,douchebags,ọ̀dẹ̀,ọ̀dẹ̀,anger,0.75
offend,ṣẹ,Sẹ̀,Sẹ̀,anger,0.75
horror,ibanuje,ìbànújẹ́,ìbànújẹ́,anger,0.75
revolting,sote,ṣe ọ̀tẹ̀,ṣe ọ̀tẹ̀,anger,0.75
despise,gàn,gàn,gàn,anger,0.75
vulgarity,iwa palapala,Ìwà pálapàla,Ìwà pálapàla,anger,0.75
growling,igbe,igbe,igbe,anger,0.75
stfu,stfu,gbẹ́nu dákẹ́,gbẹ́nu dákẹ́,anger,0.75
molestation,ipaniyan,ìyọlẹ́nu,ìyọlẹ́nu,anger,0.742
fuckedoff,aṣiwere,kúrò níbí ọ̀dẹ̀,kúrò níbí ọ̀dẹ̀,anger,0.742
erupt,erupt,sú,sú,anger,0.742
violence,iwa -ipa,Ìwà-ìpá,Ìwà-ìpá,anger,0.742
horrible,oburewa,óburẹ́wà,óburẹ́wà,anger,0.742
screaming,ikigbe,Ìkígbe,Ìkígbe,anger,0.742
threat,irokeke,ìrọ́kẹ̀kẹ́,ìrọ́kẹ̀kẹ́,anger,0.742
bastards,ale,àlè,àlè,anger,0.741
revenge,igbẹsan,Ìgbẹ̀san,Ìgbẹ̀san,anger,0.738
menacing,idẹruba,Ìdẹ́rùbà,Ìdẹ́rùbà,anger,0.735
crushing,fifun pa,Fífún pa,Fífún pa,anger,0.735
damn,Gbaga,gbaga,gbaga,anger,0.735
catastrophe,ajalu,àjálù,àjálù,anger,0.735
demon,ànjọ̀nú,àǹjọ̀nú,àǹjọ̀nú,anger,0.735
argue,jiyan,jiyàn,jiyàn,anger,0.734
fedup,feedup,tojú ṣú,tojú ṣú,anger,0.734
vehement,igara,ìgara,ìgara,anger,0.734
thrash,ipọnju,ìpọ́njú,ìpọ́njú,anger,0.734
warfare,ogun,ogun,ogun,anger,0.734
revolt,ṣọtẹ,ṣọ̀tẹ̀,ṣọ̀tẹ̀,anger,0.734
flog,nà,nà,nà,anger,0.734
deplore,banujẹ,Banújẹ́,Banújẹ́,anger,0.734
persecute,inunibini si,Inúnibíni sí,Inúnibíni sí,anger,0.734
riotous,rudurudu,rúdurùdu,rúdurùdu,anger,0.734
altercation,altercation,àríyànjiyàn,àríyànjiyàn,anger,0.729
warlike,ogun bi,Bíi ogun,Bíi ogun,anger,0.728
mutiny,ipaniyan,ìpànìyàn,ìpànìyàn,anger,0.727
shitday,ojo ojo,Ọjọ́ búrubú,Ọjọ́ búrubú,anger,0.727
sabotage,sabotage,Ṣe àkóbá fún,Ṣe àkóbá fún,anger,0.727
castrate,castrate,tẹ̀ ní ọ̀dá,tẹ̀ ní ọ̀dá,anger,0.727
strike,idasesile,lù,lù,anger,0.721
malevolent,aṣebiakọ,Nínú búburú,Nínú búburú,anger,0.721
disaster,ajalu,àjálù,àjálù,anger,0.721
disastrous,ajalu,àjálù,àjálù,anger,0.72
disdain,kẹgàn,Kẹ́gàn,Kẹ́gàn,anger,0.719
choke,pa,pa,pa,anger,0.719
arseholes,arseholes,afọ́kungbému,afọ́kungbému,anger,0.719
devil,bìlísì,bìlísì,bìlísì,anger,0.719
scream,paruwo,pariwo,pariwo,anger,0.719
spiteful,lilu,lílù,lílù,anger,0.719
bastarding,bastarding,bàjẹ́,bàjẹ́,anger,0.719
scorching,gbigbona,Ń jóni,Ń jóni,anger,0.719
horseshit,horseshit,àsé,àsé,anger,0.719
treachery,arekereke,àrékérekè,àrékérekè,anger,0.719
slay,Pa,pa,pa,anger,0.719
brutal,ìka,ìkà,ìkà,anger,0.719
tumult,ariwo,ariwo,ariwo,anger,0.719
madden,aṣiwere,aṣiwèrè,aṣiwèrè,anger,0.719
aggravates,aggravates,Sọ di búburú,Sọ di búburú,anger,0.719
vermin,kokoro,Ohun ìrákò ìríra,Ohun ìrákò ìríra,anger,0.719
anarchism,anarchism,àilófin,àilófin,anger,0.714
mutilation,ipaniyan,ìpànìyàn,ìpànìyàn,anger,0.714
mangle,mangle,fìyàjẹ,fìyàjẹ,anger,0.714
criminal,odaran,ọ̀daràn,ọ̀daràn,anger,0.714
punch,Punch,Ìṣẹ́,Ìṣẹ́,anger,0.713
denunciation,ìdálẹ́bi,ìdálẹ́bi,ìdálẹ́bi,anger,0.713
holocaust,ipaniyan,ìpànìyàn,ìpànìyàn,anger,0.712
blasphemous,ọrọ odi,ọ̀rọ̀ òdì,ọ̀rọ̀ òdì,anger,0.712
battled,jagun,jagun,jagun,anger,0.712
dumbasses,dumbasses,ọ̀dẹ̀,ọ̀dẹ̀,anger,0.712
fatal,apaniyan,La ikú lọ,La ikú lọ,anger,0.712
virulence,virulence,tikú,tikú,anger,0.712
dontlikeyou,maṣe fẹran rẹ,máṣe fẹ́ràn rẹ,máṣe fẹ́ràn rẹ,anger,0.712
hurting,farapa,farapa,farapa,anger,0.712
crucifixion,agbelebu,àgbélèbú,àgbélèbú,anger,0.712
deranged,ti bajẹ,ti bàjẹ́,ti bàjẹ́,anger,0.706
evil,ibi,ibi,ibi,anger,0.706
irritated,hihun,híhún,híhún,anger,0.706
atrocious,oniwa buburu,Oníwà búburú,Oníwà búburú,anger,0.706
assassin,apaniyan,apànìyàn,apànìyàn,anger,0.703
intimidation,idẹruba,Ìdẹ́rùbà,Ìdẹ́rùbà,anger,0.703
persecution,inunibini,inúnibíni,inúnibíni,anger,0.703
slayer,apaniyan,apànìyàn,apànìyàn,anger,0.703
kidnap,kidnap,jígbé,jígbé,anger,0.703
dicks,dicks,èébú,èébú,anger,0.703
scolding,ibawi,ìbáwí,ìbáwí,anger,0.703
aggravated,buru si,Sọ di búburú,Sọ di búburú,anger,0.703
aggression,ifinran,Ìfínràn,Ìfínràn,anger,0.702
armed,ni ihamọra,Ní hìhámọ́ra,Ní hìhámọ́ra,anger,0.7
poison,majele,Májèlé,Májèlé,anger,0.697
snarling,ariwo,ariwo,ariwo,anger,0.697
venom,oró,oró,oró,anger,0.697
battle,ogun,ogun,ogun,anger,0.697
disgruntled,disgruntled,bínú fùfù,bínú fùfù,anger,0.693
assailant,apaniyan,apanìyàn,apanìyàn,anger,0.691
insidious,alaigbọran,Aláìgbọràn,Aláìgbọràn,anger,0.691
resentment,ìkóríra,ìkóríra,ìkóríra,anger,0.691
contemptuous,ẹgan,ẹ̀gàn,ẹ̀gàn,anger,0.69
lynch,lynch,pànìyà,pànìyà,anger,0.69
lunatic,aṣiwere,aṣiwèrè,aṣiwèrè,anger,0.688
mad,asiwere,ya wèrè,ya wèrè,anger,0.688
peeved,peeved,bínú,bínú,anger,0.688
bully,ipanilaya,ìpániĺayà,ìpániĺayà,anger,0.688
temper,ibinu,ìbínú,ìbínú,anger,0.688
infanticide,ipaniyan ọmọ,ìpànìyàn ọmọ,ìpànìyàn ọmọ,anger,0.688
curse,eegun,èègún,èègún,anger,0.688
domination,akoso,àkóso,àkóso,anger,0.688
imprisonment,ẹwọn,ẹ̀wọ̀n,ẹ̀wọ̀n,anger,0.688
terrible,ẹru,ẹ̀rù,ẹ̀rù,anger,0.688
disparage,disparage,yànjẹ,yànjẹ,anger,0.688
makesmemad,makememad,mú mi ya wèrè,mú mi ya wèrè,anger,0.688
volatility,iyipada,ìyípadà,ìyípadà,anger,0.687
eradication,imukuro,ìmúkúrò,ìmúkúrò,anger,0.685
scoundrel,ẹlẹgbin,ẹlẹ́gbìn,ẹlẹ́gbìn,anger,0.682
eradicate,paarẹ,parẹ́,parẹ́,anger,0.682
tantrum,ibinu,ibínú,ibínú,anger,0.682
devastate,iparun,ìparun,ìparun,anger,0.682
agitation,ibanuje,Ìbànújẹ́,Ìbànújẹ́,anger,0.68
aggressively,ibinu,tì bínú tì bínú,tì bínú tì bínú,anger,0.68
irritates,binu,bínú,bínú,anger,0.676
dictatorship,apanirun,apanirun,apanirun,anger,0.676
profanity,aibuku,àìmọ́,àìmọ́,anger,0.673
dastardly,dastardly,bíi búburú,bíi búburú,anger,0.672
expletive,expletive,ìbúra,ìbúra,anger,0.672
wreak,ibajẹ,ìbàjẹ́,ìbàjẹ́,anger,0.672
contempt,ẹgan,ẹ̀gàn,ẹ̀gàn,anger,0.672
crime,ilufin,ìrúfin,ìrúfin,anger,0.672
poisonous,majele,májèlé,májèlé,anger,0.672
nasty,ẹgbin,ẹ̀gbin,ẹ̀gbin,anger,0.672
aggravation,irẹwẹsi,Ìrẹ̀wẹ̀sì,Ìrẹ̀wẹ̀sì,anger,0.672
condemnation,ìdálẹ́bi,ìdálẹ́bi,ìdálẹ́bi,anger,0.672
egregious,egregious,burú jáì,burú jáì,anger,0.672
shove,gbon,tì síwájú,tì síwájú,anger,0.672
shoot,iyaworan,ìyàwòrán,ìyàwòrán,anger,0.672
shot,ìbọn,ìbọn,ìbọn,anger,0.672
crushed,itemole,Ìtẹ̀mọ́lẹ̀,Ìtẹ̀mọ́lẹ̀,anger,0.672
corrupting,ibajẹ,Ìbàjẹ́,Ìbàjẹ́,anger,0.672
harmful,ipalara,ìpalára,ìpalára,anger,0.672
cruelly,ìkà,ìkà,ìkà,anger,0.672
maniac,maniac,òkúndùn,òkúndùn,anger,0.67
irritable,irritable,gbónára,gbónára,anger,0.667
shooting,iyaworan,ìyàwòrán,ìyàwòrán,anger,0.667
odious,ẹlẹgbin,ẹlẹ́gbin,ẹlẹ́gbin,anger,0.667
shout,kigbe,kígbe,kígbe,anger,0.667
eruption,eruption,ìtújáde,ìtújáde,anger,0.667
cutthroat,ọgbẹ ọgbẹ,Gé ọkàn,Gé ọkàn,anger,0.667
kick,tapa,tàpá,tàpá,anger,0.667
hateeveryone,gbogbo eniyan,Kórìra gbogbo ènìyàn,Kórìra gbogbo ènìyàn,anger,0.667
hit,lu,lù,lù,anger,0.667
fight,ja,jà,jà,anger,0.667
enemy,ota,ọ̀tá,ọ̀tá,anger,0.667
combat,ija,ìjà,ìjà,anger,0.667
aggressive,ibinu,ìbínú,ìbínú,anger,0.667
punished,jiya,jìyà,jìyà,anger,0.662
yell,kigbe,kígbe,kígbe,anger,0.661
ambush,ibùba,ibùbá,ibùbá,anger,0.661
harass,wahala,wàhálà,wàhálà,anger,0.659
gore,gore,dúmbù,dúmbù,anger,0.656
expel,le jade,lé jáde,lé jáde,anger,0.656
malignant,buburu,búburú,búburú,anger,0.656
destruction,ìparun,ìparun,ìparun,anger,0.656
aggressor,onijagidijagan,oníjàgídíjàgan,oníjàgídíjàgan,anger,0.656
incense,turari,tùràrí,tùràrí,anger,0.656
grudge,kikorò,kíkorò,kíkorò,anger,0.656
antichrist,Dajjal,Aṣòdìsí krístì,Aṣòdìsí krístì,anger,0.656
cranky,cranky,rí bákan,rí bákan,anger,0.653
reprisal,igbẹsan,Ìgbẹ̀san,Ìgbẹ̀san,anger,0.652
slave,ẹrú,ẹrú,ẹrú,anger,0.652
growl,igbe,igbe,igbe,anger,0.652
offended,ṣẹ,ṣẹ̀,ṣẹ̀,anger,0.652
clashing,figagbaga,figagbága,figagbága,anger,0.652
insulting,itiju,ìtìjú,ìtìjú,anger,0.652
insurrection,iṣọtẹ,Ìṣọ̀tẹ̀,Ìṣọ̀tẹ̀,anger,0.652
spank,nà,nà,nà,anger,0.652
animosity,ikorira,ìkòrírá,ìkòrírá,anger,0.652
denounce,ibaniwi,ìbániwí,ìbániwí,anger,0.652
growls,igbe,igbe,igbe,anger,0.649
executioner,apaniyan,apànìyàn,apànìyàn,anger,0.644
twat,twat,ọ̀dẹ̀,ọ̀dẹ̀,anger,0.644
doomsday,ọjọ iparun,ọjọ́ ibi,ọjọ́ ibi,anger,0.643
bombard,bombu,kóobòó,kóobòó,anger,0.641
feud,ija,ìjà,ìjà,anger,0.641
accused,ẹsun,ẹ̀sùn,ẹ̀sùn,anger,0.641
arson,sisun,fi ilé jóná,fi ilé jóná,anger,0.641
daemon,daemon,àjọ̀nú,àjọ̀nú,anger,0.641
shackle,ẹwọn,ẹ̀wọ̀n,ẹ̀wọ̀n,anger,0.641
indignant,ibinu,ìbínú,ìbínú,anger,0.641
obscenity,ohun airi,Ohun àìrí,Ohun àìrí,anger,0.641
spat,tutọ,tutọ́,tutọ́,anger,0.641
havoc,iparun,ìparun,ìparun,anger,0.641
grr,grr,kùn,kùn,anger,0.641
inexcusable,alaigbọwọ,aláìgbọ̀wọ́,aláìgbọ̀wọ́,anger,0.641
expulsion,imukuro,ìmúkúrò,ìmúkúrò,anger,0.641
reprimand,ibawi,ìbáwí,ìbáwí,anger,0.641
somad,somad,bínú gan-an,bínú gan-an,anger,0.637
poisoned,majele,májèlé,májèlé,anger,0.636
kicking,gbigba,gbígbá,gbígbá,anger,0.636
wound,ọgbẹ,ọgbẹ́,ọgbẹ́,anger,0.636
batter,batter,bàjẹ́,bàjẹ́,anger,0.636
frustrated,ibanuje,Ìbànújẹ́,Ìbànújẹ́,anger,0.636
hanging,adiye,mì jolojolo,mì jolojolo,anger,0.636
disgusting,ìríra,ìríra,ìríra,anger,0.636
spanking,liluho,lílù,lílù,anger,0.636
suicidal,igbẹmi ara ẹni,Ìgbẹ̀mí ara ẹni,Ìgbẹ̀mí ara ẹni,anger,0.636
anarchy,rudurudu,rúdudùru,rúdudùru,anger,0.636
glaring,didan,dídán,dídán,anger,0.636
combatant,onija,oníjà,oníjà,anger,0.636
wrecked,ti bajẹ,ti bàjẹ́,ti bàjẹ́,anger,0.633
inflict,kọlu,Kọlù,Kọlù,anger,0.633
grievous,ibanuje,Ìbànújẹ́,Ìbànújẹ́,anger,0.632
cheat,iyanjẹ,Ìyànjẹ,Ìyànjẹ,anger,0.63
prosecute,ṣe idajọ,ṣe ìdájọ́,ṣe ìdájọ́,anger,0.63
agitated,binu,bínú,bínú,anger,0.63
enslaved,ẹrú,Mú lẹ́rú,Mú lẹ́rú,anger,0.625
scourge,ẹgba,ẹgba,ẹgba,anger,0.625
raid,igbogun ti,Ìgbógun tì,Ìgbógun tì,anger,0.625
suffocation,imukuro,ìmúkúrò,ìmúkúrò,anger,0.625
defamatory,itiju,ìtìjú,ìtìjú,anger,0.625
indict,fi ẹsun kan,fi ẹ̀sùn kàn,fi ẹ̀sùn kàn,anger,0.625
cursing,eegun,èègún,èègún,anger,0.625
provocation,imunibinu,ìmúnibínú,ìmúnibínú,anger,0.625
harassing,imunibinu,ìmúni bínú,ìmúni bínú,anger,0.625
injure,farapa,farapa,farapa,anger,0.625
betray,fi hàn,fi hàn,fi hàn,anger,0.625
thundering,àrá,àrá,àrá,anger,0.625
strife,ìjà,ìjà,ìjà,anger,0.625
arsehole,arsehole,onísọkúsọ,onísọkúsọ,anger,0.624
jerk,oloriburuku,olóríburúkú,olóríburúkú,anger,0.621
retaliation,igbẹsan,Ìgbẹ̀san,Ìgbẹ̀san,anger,0.621
fiend,fiend,ọ̀tá,ọ̀tá,anger,0.621
theft,ole,olè,olè,anger,0.621
insane,were,wèrè,wèrè,anger,0.621
irritate,binu,bínú,bínú,anger,0.621
deprivation,alaini,aláìní,aláìní,anger,0.621
convict,ẹlẹṣẹ,ẹlẹ́ṣẹ̀,ẹlẹ́ṣẹ̀,anger,0.621
cussed,cussed,múni bínú,múni bínú,anger,0.619
turmoil,rudurudu,rúdurùru,rúdurùru,anger,0.618
smack,lù,lù,lù,anger,0.615
retribution,ẹsan,ẹ̀san,ẹ̀san,anger,0.614
adverse,ikolu,ìkọlù,ìkọlù,anger,0.609
battery,batiri,bátìrì,bátìrì,anger,0.609
