word,machine_translation,human_translation,machine_translation_updated,emotion,emotion_intensity_score
riots,ọgba aghara,NA,ọgba aghara,anger,0.824
dickhead,dickhead,onye iberibe,onye iberibe,anger,0.824
angry,were iwe,NA,were iwe,anger,0.824
demolish,kwatuo,NA,kwatuo,anger,0.824
livid,livid,oke iwe,oke iwe,anger,0.821
madman,onye ara,NA,onye ara,anger,0.82
vindictive,imegwara,NA,imegwara,anger,0.819
ferocity,ferocity,oke iwe,oke iwe,anger,0.818
terrorist,onye na -eyi ọha egwu,NA,onye na -eyi ọha egwu,anger,0.818
venomous,nsi,NA,nsi,anger,0.818
threaten,egwu,iyi egwu,iyi egwu,anger,0.818
hateyou,kpọrọ gị asị,NA,kpọrọ gị asị,anger,0.818
effyou,efu,efyu,efyu,anger,0.818
abhor,akparị,ịkpọ asi,ịkpọ asi,anger,0.816
carnage,ogbugbu,NA,ogbugbu,anger,0.814
savage,obi tara mmiri,aka ike,aka ike,anger,0.814
atrocity,arụrụala,NA,arụrụala,anger,0.814
fuming,na -agba ume,oke iwe,oke iwe,anger,0.812
pissedoff,were ya iwe,NA,were ya iwe,anger,0.812
pissesmeoff,obi ụtọ,na-ewem iwe,na-ewem iwe,anger,0.812
fierce,dị egwu,ike ike,ike ike,anger,0.812
abuse,mmegbu,NA,mmegbu,anger,0.812
barbaric,arụrụala,NA,arụrụala,anger,0.812
berserk,arụ ọrụ,onyeagha,onyeagha,anger,0.812
fucksake,fucksake,nzuzu,nzuzu,anger,0.812
vendetta,vendetta,ọgbaghara,ọgbaghara,anger,0.812
angrytweet,iwe iwe,NA,iwe iwe,anger,0.812
destroyer,onye mbibi,NA,onye mbibi,anger,0.812
tyrant,onye ọchịchị aka ike,NA,onye ọchịchị aka ike,anger,0.812
anger,iwe,NA,iwe,anger,0.811
pieceofshit,ibe ibe,enweghị ugwu,enweghị ugwu,anger,0.81
slam,slam,ikwachi n'ike,ikwachi n'ike,anger,0.803
punching,ịkụ ọkpọ,NA,ịkụ ọkpọ,anger,0.803
homicide,igbu ọchụ,NA,igbu ọchụ,anger,0.803
punched,ọkpọ,NA,ọkpọ,anger,0.803
bitch,nkịta,anụọhịa,anụọhịa,anger,0.803
fights,ịlụ ọgụ,NA,ịlụ ọgụ,anger,0.803
destructive,na -ebibi ihe,NA,na -ebibi ihe,anger,0.797
ruthless,obi tara mmiri,NA,obi tara mmiri,anger,0.797
villainous,onye ọjọọ,jọrọ njọ,jọrọ njọ,anger,0.797
slap,tie aka,NA,tie aka,anger,0.791
destroyed,bibiri,NA,bibiri,anger,0.788
ragetweet,ragetweet****,ragetweet,ragetweet,anger,0.788
slaughterhouse,ụlọ ogbugbu,NA,ụlọ ogbugbu,anger,0.788
retaliatory,mmegwara,NA,mmegwara,anger,0.788
yelling,iti mkpu,NA,iti mkpu,anger,0.788
riot,ọgba aghara,NA,ọgba aghara,anger,0.788
punishing,na -ata ahụhụ,NA,na -ata ahụhụ,anger,0.788
growthefuckup,na -eto eto,NA,na -eto eto,anger,0.788
diabolical,nke mmụọ,ndị mmụọ ọjọọ,ndị mmụọ ọjọọ,anger,0.788
clash,nsogbu,NA,nsogbu,anger,0.783
manslaughter,igbu mmadu,NA,igbu mmadu,anger,0.783
hellish,hellish,ndị mmụọ ọjọọ,ndị mmụọ ọjọọ,anger,0.781
bloody,ọbara,NA,ọbara,anger,0.781
loath,asọpụrụ,unwilling,unwilling,anger,0.781
quarrel,esemokwu,NA,esemokwu,anger,0.781
detonation,mwepu,igbawa,igbawa,anger,0.781
sinister,ihe ojoo,ihe ọjọọ,ihe ọjọọ,anger,0.781
hateeee,asịeee,ịkpo oke asị,ịkpo oke asị,anger,0.779
treacherous,onye aghụghọ,NA,onye aghụghọ,anger,0.779
accusing,na -ebo ebubo,NA,na -ebo ebubo,anger,0.779
madder,onye ara,NA,onye ara,anger,0.773
retaliate,imegwara,NA,imegwara,anger,0.773
revulsion,ntughari,ntụgharị,ntụgharị,anger,0.773
horrific,egwu,iyi egwu,iyi egwu,anger,0.773
scorn,nlelị,NA,nlelị,anger,0.769
bomb,bombu,bọmbụ,bọmbụ,anger,0.766
deplorable,ihe ojoo,ihe ihere,ihe ihere,anger,0.766
anarchist,onye anarchist,onye ọda iwu,onye ọda iwu,anger,0.765
devastation,mbibi,NA,mbibi,anger,0.765
resent,iwe iwe,obi ilu,obi ilu,anger,0.765
firestorm,mgbanyụ ọkụ,NA,mgbanyụ ọkụ,anger,0.765
contemptible,eleda anya,NA,eleda anya,anger,0.764
shittest,nke kacha njọ,NA,nke kacha njọ,anger,0.76
smash,gbajie,imebisi,imebisi,anger,0.758
deadly,na -egbu egbu,NA,na -egbu egbu,anger,0.758
soangry,soangry,nnukwu iwe,nnukwu iwe,anger,0.758
rant,mkpu,NA,mkpu,anger,0.758
cruel,obi ojoo,obi ọjọọ,obi ọjọọ,anger,0.758
outburst,oké iwe,NA,oké iwe,anger,0.757
snarl,snara,snarl,snarl,anger,0.754
crazed,na -agụsi ike,ịpu ara,ịpu ara,anger,0.75
dontmesswithme,echefula m,ejilam gwuo egwu,ejilam gwuo egwu,anger,0.75
profane,rụrụ arụ,NA,rụrụ arụ,anger,0.75
aggravating,na -akawanye njọ,NA,na -akawanye njọ,anger,0.75
offend,mejọọ,NA,mejọọ,anger,0.75
horror,egwu,NA,egwu,anger,0.75
revolting,na -enughari,NA,na -enughari,anger,0.75
despise,nleda anya,NA,nleda anya,anger,0.75
vulgarity,omume rụrụ arụ,NA,omume rụrụ arụ,anger,0.75
growling,na -eti mkpu,NA,na -eti mkpu,anger,0.75
stfu,stfu,stifu,stifu,anger,0.75
molestation,mmeko nwoke,NA,mmeko nwoke,anger,0.742
fuckedoff,iberibe,NA,iberibe,anger,0.742
erupt,gbawaa,NA,gbawaa,anger,0.742
violence,ime ihe ike,NA,ime ihe ike,anger,0.742
horrible,jọgburu onwe ya,NA,jọgburu onwe ya,anger,0.742
screaming,iti mkpu,NA,iti mkpu,anger,0.742
threat,egwu,NA,egwu,anger,0.742
bastards,bastards,agụghị akwụkwọ,agụghị akwụkwọ,anger,0.741
revenge,imegwara,NA,imegwara,anger,0.738
menacing,na -eyi egwu,NA,na -eyi egwu,anger,0.735
crushing,na -etipịa,NA,na -etipịa,anger,0.735
damn,Ụchụ,NA,Ụchụ,anger,0.735
catastrophe,ọdachi,NA,ọdachi,anger,0.735
demon,mmụọ ọjọọ,NA,mmụọ ọjọọ,anger,0.735
argue,arụ ụka,NA,arụ ụka,anger,0.734
fedup,o JULA m,o julam,o julam,anger,0.734
vehement,nsogbu,NA,nsogbu,anger,0.734
thrash,thrash,egbukpọ,egbukpọ,anger,0.734
warfare,agha,NA,agha,anger,0.734
revolt,nnupụisi,NA,nnupụisi,anger,0.734
flog,tie ihe,NA,tie ihe,anger,0.734
deplore,inwe mwute,NA,inwe mwute,anger,0.734
persecute,na -akpagbu,NA,na -akpagbu,anger,0.734
riotous,ọgba aghara,NA,ọgba aghara,anger,0.734
altercation,esemokwu,NA,esemokwu,anger,0.729
warlike,dị ka agha,NA,dị ka agha,anger,0.728
mutiny,mpako,NA,mpako,anger,0.727
shitday,ụbọchị ihi ụra,NA,ụbọchị ihi ụra,anger,0.727
sabotage,sabotage,sabotaji,sabotaji,anger,0.727
castrate,na -akụ,mkpebi,mkpebi,anger,0.727
strike,tie ihe,NA,tie ihe,anger,0.721
malevolent,na -eme ihe ọjọọ,NA,na -eme ihe ọjọọ,anger,0.721
disaster,ọdachi,NA,ọdachi,anger,0.721
disastrous,ọdachi,NA,ọdachi,anger,0.72
disdain,nleda anya,NA,nleda anya,anger,0.719
choke,ịkpagbu,NA,ịkpagbu,anger,0.719
arseholes,olulu mmiri,NA,olulu mmiri,anger,0.719
devil,ekwensu,NA,ekwensu,anger,0.719
scream,tie mkpu,NA,tie mkpu,anger,0.719
spiteful,obi ilu,NA,obi ilu,anger,0.719
bastarding,mpako,NA,mpako,anger,0.719
scorching,na -ere ọkụ,NA,na -ere ọkụ,anger,0.719
horseshit,horseshit,ehi,ehi,anger,0.719
treachery,aghụghọ,NA,aghụghọ,anger,0.719
slay,gbuo,NA,gbuo,anger,0.719
brutal,obi ojoo,obi ọjọọ,obi ọjọọ,anger,0.719
tumult,ọgba aghara,NA,ọgba aghara,anger,0.719
madden,onye ara,NA,onye ara,anger,0.719
aggravates,na -akawanye njọ,NA,na -akawanye njọ,anger,0.719
vermin,ụmụ ahụhụ,NA,ụmụ ahụhụ,anger,0.719
anarchism,anarchism,anakizm,anakizm,anger,0.714
mutilation,ibi ugwu,NA,ibi ugwu,anger,0.714
mangle,mangle,igbu,igbu,anger,0.714
criminal,onye omekome,NA,onye omekome,anger,0.714
punch,ntụmadị,ọkpọ,ọkpọ,anger,0.713
denunciation,nkatọ,NA,nkatọ,anger,0.713
holocaust,Oké mgbukpọ,NA,Oké mgbukpọ,anger,0.712
blasphemous,nkwulu,NA,nkwulu,anger,0.712
battled,lụrụ ọgụ,NA,lụrụ ọgụ,anger,0.712
dumbasses,dumbasses,onye iberibe,onye iberibe,anger,0.712
fatal,na -egbu egbu,NA,na -egbu egbu,anger,0.712
virulence,ọrịa,NA,ọrịa,anger,0.712
dontlikeyou,adịghị amasị gị,NA,adịghị amasị gị,anger,0.712
hurting,na -afụ ụfụ,NA,na -afụ ụfụ,anger,0.712
crucifixion,n'obe,NA,n'obe,anger,0.712
deranged,mebiri,NA,mebiri,anger,0.706
evil,ihe ọjọọ,NA,ihe ọjọọ,anger,0.706
irritated,mgbakasị,NA,mgbakasị,anger,0.706
atrocious,obi ojoo,obi ọjọọ,obi ọjọọ,anger,0.706
assassin,ogbu mmadu,ogbu mmadụ,ogbu mmadụ,anger,0.703
intimidation,mmaja,iwakpo anya,iwakpo anya,anger,0.703
persecution,mkpagbu,NA,mkpagbu,anger,0.703
slayer,ogbu mmadu,NA,ogbu mmadu,anger,0.703
kidnap,tọọrọ,NA,tọọrọ,anger,0.703
dicks,dicks,arọ,arọ,anger,0.703
scolding,ịba mba,NA,ịba mba,anger,0.703
aggravated,ka njọ,NA,ka njọ,anger,0.703
aggression,mwakpo,mbuso agha,mbuso agha,anger,0.702
armed,jikere,NA,jikere,anger,0.7
poison,nsi,NA,nsi,anger,0.697
snarling,na -eti mkpu,NA,na -eti mkpu,anger,0.697
venom,nsi,NA,nsi,anger,0.697
battle,agha,NA,agha,anger,0.697
disgruntled,ewe iwe,NA,ewe iwe,anger,0.693
assailant,mwakpo,NA,mwakpo,anger,0.691
insidious,aghụghọ,NA,aghụghọ,anger,0.691
resentment,iwe,NA,iwe,anger,0.691
contemptuous,nlelị,NA,nlelị,anger,0.69
lynch,gbuo,NA,gbuo,anger,0.69
lunatic,onye ara,NA,onye ara,anger,0.688
mad,ara,NA,ara,anger,0.688
peeved,peepe,iwe,iwe,anger,0.688
bully,iji ike emegbu mmadụ,NA,iji ike emegbu mmadụ,anger,0.688
temper,iwe iwe,NA,iwe iwe,anger,0.688
infanticide,igbu nwa,NA,igbu nwa,anger,0.688
curse,ọbụbụ ọnụ,NA,ọbụbụ ọnụ,anger,0.688
domination,ọchịchị,NA,ọchịchị,anger,0.688
imprisonment,mkporo,mkpọrọ,mkpọrọ,anger,0.688
terrible,egwu,NA,egwu,anger,0.688
disparage,nlelị,NA,nlelị,anger,0.688
makesmemad,emememad,ịpụ ara,ịpụ ara,anger,0.688
volatility,volatility,ogwe,ogwe,anger,0.687
eradication,mkpochapu,mkpochapụ,mkpochapụ,anger,0.685
scoundrel,onye njo,onye njọ,onye njọ,anger,0.682
eradicate,ikpochapu,ikpochpụ,ikpochpụ,anger,0.682
tantrum,iwe iwe,NA,iwe iwe,anger,0.682
devastate,emebi,NA,emebi,anger,0.682
agitation,mgbakasị ahụ,ọgba aghara,ọgba aghara,anger,0.68
aggressively,n'ike,NA,n'ike,anger,0.68
irritates,na -ewe iwe,NA,na -ewe iwe,anger,0.676
dictatorship,ọchịchị aka ike,NA,ọchịchị aka ike,anger,0.676
profanity,okwu rere ure,NA,okwu rere ure,anger,0.673
dastardly,dastardly,enweghị obi ike,enweghị obi ike,anger,0.672
expletive,ihe ngosi,NA,ihe ngosi,anger,0.672
wreak,mebie,igwụ egwu,igwụ egwu,anger,0.672
contempt,nlelị,NA,nlelị,anger,0.672
crime,mpụ,NA,mpụ,anger,0.672
poisonous,nsi,NA,nsi,anger,0.672
nasty,mkpari,NA,mkpari,anger,0.672
aggravation,njo,njọ,njọ,anger,0.672
condemnation,ikpe,NA,ikpe,anger,0.672
egregious,dị egwu,mkpokọta,mkpokọta,anger,0.672
shove,kpalie,NA,kpalie,anger,0.672
shoot,gbaa,NA,gbaa,anger,0.672
shot,gbara,NA,gbara,anger,0.672
crushed,anuahade,gburu,gburu,anger,0.672
corrupting,na -emerụ emerụ,NA,na -emerụ emerụ,anger,0.672
harmful,na -emerụ ahụ,NA,na -emerụ ahụ,anger,0.672
cruelly,obi ọjọọ,NA,obi ọjọọ,anger,0.672
maniac,maniac,onye ara,onye ara,anger,0.67
irritable,mgbakasị ahụ,NA,mgbakasị ahụ,anger,0.667
shooting,agbapụ,NA,agbapụ,anger,0.667
odious,jọgburu onwe ya,NA,jọgburu onwe ya,anger,0.667
shout,tie mkpu,NA,tie mkpu,anger,0.667
eruption,mgbawa,NA,mgbawa,anger,0.667
cutthroat,akpịrị ịkpọ nkụ,NA,akpịrị ịkpọ nkụ,anger,0.667
kick,igba,NA,igba,anger,0.667
hateeveryone,onye ọ bụla,kpọrọ onye ọbụla asi,kpọrọ onye ọbụla asi,anger,0.667
hit,kụrụ,NA,kụrụ,anger,0.667
fight,lụọ ọgụ,NA,lụọ ọgụ,anger,0.667
enemy,onye iro,NA,onye iro,anger,0.667
combat,ọgụ,NA,ọgụ,anger,0.667
aggressive,na -eme ihe ike,NA,na -eme ihe ike,anger,0.667
punished,tara ahụhụ,NA,tara ahụhụ,anger,0.662
yell,tie mkpu,NA,tie mkpu,anger,0.661
ambush,n ambru nbì,ọnya,ọnya,anger,0.661
harass,mmanye egwu,NA,mmanye egwu,anger,0.659
gore,egwu,ọbara,ọbara,anger,0.656
expel,chụpụ,NA,chụpụ,anger,0.656
malignant,dị njọ,NA,dị njọ,anger,0.656
destruction,mbibi,NA,mbibi,anger,0.656
aggressor,onye mwakpo,NA,onye mwakpo,anger,0.656
incense,ihe nsure ọkụ,NA,ihe nsure ọkụ,anger,0.656
grudge,iwe,NA,iwe,anger,0.656
antichrist,onye na -emegide Kraịst,NA,onye na -emegide Kraịst,anger,0.656
cranky,cranky,agbakasị,agbakasị,anger,0.653
reprisal,mmegwara,NA,mmegwara,anger,0.652
slave,ohu,NA,ohu,anger,0.652
growl,ime mkpu,NA,ime mkpu,anger,0.652
offended,mejọrọ,NA,mejọrọ,anger,0.652
clashing,na -atụkọta ọnụ,NA,na -atụkọta ọnụ,anger,0.652
insulting,mkparị,NA,mkparị,anger,0.652
insurrection,nnupụisi,NA,nnupụisi,anger,0.652
spank,spank,ịpịa,ịpịa,anger,0.652
animosity,ibu iro,NA,ibu iro,anger,0.652
denounce,ịkatọ,NA,ịkatọ,anger,0.652
growls,ime mkpu,NA,ime mkpu,anger,0.649
executioner,onye ogbugbu,NA,onye ogbugbu,anger,0.644
twat,twat,adọkpụpụ,adọkpụpụ,anger,0.644
doomsday,ụbọchị mbibi,NA,ụbọchị mbibi,anger,0.643
bombard,ogbunigwe,NA,ogbunigwe,anger,0.641
feud,esem -okwu,NA,esem -okwu,anger,0.641
accused,onye eboro ebubo,NA,onye eboro ebubo,anger,0.641
arson,oku oku,NA,oku oku,anger,0.641
shackle,nkpa olu,NA,nkpa olu,anger,0.641
indignant,were iwe,NA,were iwe,anger,0.641
obscenity,ihe rụrụ arụ,NA,ihe rụrụ arụ,anger,0.641
spat,gbụpụ,NA,gbụpụ,anger,0.641
havoc,mbibi,NA,mbibi,anger,0.641
inexcusable,enweghị mgbaghara,NA,enweghị mgbaghara,anger,0.641
expulsion,nchụpụ,NA,nchụpụ,anger,0.641
reprimand,mba,NA,mba,anger,0.641
poisoned,nsi,NA,nsi,anger,0.636
kicking,na -agba ụkwụ,NA,na -agba ụkwụ,anger,0.636
wound,ọnya,NA,ọnya,anger,0.636
batter,ogbe,NA,ogbe,anger,0.636
frustrated,nkụda mmụọ,NA,nkụda mmụọ,anger,0.636
hanging,nghọta,NA,nghọta,anger,0.636
disgusting,na -asọ oyi,NA,na -asọ oyi,anger,0.636
spanking,na -agbasa,NA,na -agbasa,anger,0.636
suicidal,igbu onwe onye,NA,igbu onwe onye,anger,0.636
anarchy,ogba aghara,NA,ogba aghara,anger,0.636
glaring,na -enwu enwu,NA,na -enwu enwu,anger,0.636
combatant,onye agha,NA,onye agha,anger,0.636
wrecked,mebiri,NA,mebiri,anger,0.633
inflict,imerụ,NA,imerụ,anger,0.633
grievous,dị njọ,NA,dị njọ,anger,0.632
cheat,igwu wayo,NA,igwu wayo,anger,0.63
prosecute,kpee ikpe,NA,kpee ikpe,anger,0.63
agitated,were iwe,NA,were iwe,anger,0.63
swastika,swastika,uhie,uhie,anger,0.627
enslaved,ohu,NA,ohu,anger,0.625
scourge,ihe otiti,NA,ihe otiti,anger,0.625
raid,mwakpo,NA,mwakpo,anger,0.625
suffocation,iwepu,mtọgbu,mtọgbu,anger,0.625
defamatory,nkwutọ,NA,nkwutọ,anger,0.625
indict,bo ebubo,ima ikpe,ima ikpe,anger,0.625
cursing,ọbụbụ ọnụ,NA,ọbụbụ ọnụ,anger,0.625
provocation,mkpasu iwe,NA,mkpasu iwe,anger,0.625
harassing,na -enye nsogbu,NA,na -enye nsogbu,anger,0.625
injure,mmerụ ahụ,NA,mmerụ ahụ,anger,0.625
betray,arara nye,NA,arara nye,anger,0.625
thundering,égbè eluigwe,NA,égbè eluigwe,anger,0.625
strife,esemokwu,NA,esemokwu,anger,0.625
arsehole,oghere,NA,oghere,anger,0.624
jerk,egwu,NA,egwu,anger,0.621
retaliation,mmegwara,NA,mmegwara,anger,0.621
fiend,fiend,ekwensu,ekwensu,anger,0.621
theft,izu ohi,NA,izu ohi,anger,0.621
insane,ara,NA,ara,anger,0.621
irritate,kpasuo iwe,NA,kpasuo iwe,anger,0.621
deprivation,mwepu,nnapụ ihe,nnapụ ihe,anger,0.621
convict,ikpe,NA,ikpe,anger,0.621
cussed,kwụrụ ọtọ,enweghị njegharị,enweghị njegharị,anger,0.619
turmoil,ọgba aghara,NA,ọgba aghara,anger,0.618
smack,malite,tieaka,tieaka,anger,0.615
retribution,ntaramahụhụ,mmehie,mmehie,anger,0.614
adverse,oghom,ọghọm,ọghọm,anger,0.609
battery,batrị,NA,batrị,anger,0.609
twats,twats,ọgazị,ọgazị,anger,0.609
collision,nkukota,nkukọta,nkukọta,anger,0.609
injurious,na -emerụ ahụ,NA,na -emerụ ahụ,anger,0.609
rebellion,nnupu isi,NA,nnupu isi,anger,0.609
slavery,ịgba ohu,NA,ịgba ohu,anger,0.609
gang,òtù ọjọọ,NA,òtù ọjọọ,anger,0.609
irritability,mgbakasị,NA,mgbakasị,anger,0.609
bitterly,ilu,NA,ilu,anger,0.609
oppressor,onye mmegbu,NA,onye mmegbu,anger,0.609
antagonism,mmegide,NA,mmegide,anger,0.609
intolerable,anagideghi ihe,NA,anagideghi ihe,anger,0.609
disgraced,ihere,NA,ihere,anger,0.608
diatribe,diatribe,ịjụ ihe,ịjụ ihe,anger,0.606
sickening,na -arịa ọrịa,NA,na -arịa ọrịa,anger,0.606
ranting,na -achị ọchị,itimkpu,itimkpu,anger,0.606
asshole,Ike,NA,Ike,anger,0.606
irks,irks,iwe,iwe,anger,0.606
irritating,na -akpasu iwe,NA,na -akpasu iwe,anger,0.606
discrimination,ịkpa oke,NA,ịkpa oke,anger,0.606
bombardment,ogbunigwe,NA,ogbunigwe,anger,0.606
thug,onye ohi,NA,onye ohi,anger,0.606
antagonistic,na -emegide,NA,na -emegide,anger,0.606
revolution,mgbanwe,NA,mgbanwe,anger,0.606
blast,mgbawa,NA,mgbawa,anger,0.606
frustrate,nkụda mmụọ,NA,nkụda mmụọ,anger,0.604
tension,obi erughị ala,NA,obi erughị ala,anger,0.603
manipulation,aghụghọ,NA,aghụghọ,anger,0.603
oppression,mmegbu,NA,mmegbu,anger,0.603
hurtful,na -afụ ụfụ,NA,na -afụ ụfụ,anger,0.603
insult,mkparị,NA,mkparị,anger,0.603
tiredofit,ike gwụrụ,NA,ike gwụrụ,anger,0.603
bigot,onye isi ike,NA,onye isi ike,anger,0.603
disgust,na -asọ oyi,NA,na -asọ oyi,anger,0.602
spite,n'agbanyeghị,NA,n'agbanyeghị,anger,0.6
intrusive,intrusive,ime tafịa,ime tafịa,anger,0.598
harshness,isi ike,NA,isi ike,anger,0.597
slur,slur,ihichapụ,ihichapụ,anger,0.596
bitterness,ilu,NA,ilu,anger,0.594
tempest,oké ifufe,NA,oké ifufe,anger,0.594
miserable,nhụsianya,NA,nhụsianya,anger,0.594
morbidity,ọrịa,NA,ọrịa,anger,0.594
assail,mwakpo,NA,mwakpo,anger,0.594
puncture,mgbapu,oghere,oghere,anger,0.594
invasion,mbuso agha,NA,mbuso agha,anger,0.594
