word,machine_translation,human_translation,machine_translation_updated,emotion,emotion_intensity_score
atrocity,zalunci,NA,zalunci,anger,0.814
fuming,kumbura,NA,kumbura,anger,0.812
pissedoff,ji haushi,NA,ji haushi,anger,0.812
pissesmeoff,pissesmeoff,ya ɓata min rai,ya ɓata min rai,anger,0.812
fierce,m,mai ƙarfi,mai ƙarfi,anger,0.812
abuse,zagi,NA,zagi,anger,0.812
barbaric,dabbanci,NA,dabbanci,anger,0.812
berserk,hauka,NA,hauka,anger,0.812
fucksake,fucksake,ɓacin rai,ɓacin rai,anger,0.812
vendetta,makwabta,gaba,gaba,anger,0.812
angrytweet,fushi,NA,fushi,anger,0.812
destroyer,mai halakarwa,NA,mai halakarwa,anger,0.812
tyrant,azzalumi,NA,azzalumi,anger,0.812
anger,fushi,NA,fushi,anger,0.811
pieceofshit,yanki na datti,NA,yanki na datti,anger,0.81
slam,slam,rufe da ƙarfi,rufe da ƙarfi,anger,0.803
punching,naushi,NA,naushi,anger,0.803
homicide,kisan kai,NA,kisan kai,anger,0.803
punched,naushi,NA,naushi,anger,0.803
bitch,karkiya,karya,karya,anger,0.803
fights,fada,faɗa,faɗa,anger,0.803
destructive,mai halakarwa,NA,mai halakarwa,anger,0.797
ruthless,marasa tausayi,NA,marasa tausayi,anger,0.797
villainous,mugu,NA,mugu,anger,0.797
slap,mari,NA,mari,anger,0.791
destroyed,halaka,NA,halaka,anger,0.788
ragetweet,ragetweet,tweet na fushi,tweet na fushi,anger,0.788
slaughterhouse,mayanka,NA,mayanka,anger,0.788
retaliatory,ramuwar gayya,NA,ramuwar gayya,anger,0.788
yelling,ihu,NA,ihu,anger,0.788
riot,tarzoma,NA,tarzoma,anger,0.788
punishing,azabtarwa,NA,azabtarwa,anger,0.788
growthefuckup,girma,NA,girma,anger,0.788
diabolical,diabolical,siffar ibilis,siffar ibilis,anger,0.788
clash,karo,NA,karo,anger,0.783
manslaughter,kisan kai,NA,kisan kai,anger,0.783
hellish,wuta,NA,wuta,anger,0.781
bloody,na jini,NA,na jini,anger,0.781
loath,raina,NA,raina,anger,0.781
quarrel,rigima,NA,rigima,anger,0.781
detonation,fashewa,NA,fashewa,anger,0.781
sinister,mugu,NA,mugu,anger,0.781
fumin,fumin,matsanancin haushi,matsanancin haushi,anger,0.779
hateeee,ƙiyayya,NA,ƙiyayya,anger,0.779
treacherous,mayaudari,NA,mayaudari,anger,0.779
accusing,zargi,NA,zargi,anger,0.779
madder,mahaukaci,NA,mahaukaci,anger,0.773
retaliate,ramuwar gayya,NA,ramuwar gayya,anger,0.773
revulsion,tayar da hankali,NA,tayar da hankali,anger,0.773
horrific,m,na tsoratarwa,na tsoratarwa,anger,0.773
scorn,rena,NA,rena,anger,0.769
bomb,bam,NA,bam,anger,0.766
deplorable,abin ƙyama,NA,abin ƙyama,anger,0.766
anarchist,anarchist,mai ra'ayin shafe gwamnati,mai ra'ayin shafe gwamnati,anger,0.765
devastation,barna,ɓarna,ɓarna,anger,0.765
resent,fushi,NA,fushi,anger,0.765
firestorm,gobara,NA,gobara,anger,0.765
contemptible,abin ƙyama,NA,abin ƙyama,anger,0.764
shittest,shirme,NA,shirme,anger,0.76
smash,fasa,NA,fasa,anger,0.758
deadly,m,na haddasa mutuwa,na haddasa mutuwa,anger,0.758
soangry,soangry,fushi ƙwarai,fushi ƙwarai,anger,0.758
rant,rantsuwa,NA,rantsuwa,anger,0.758
cruel,zalunci,NA,zalunci,anger,0.758
outburst,fita waje,NA,fita waje,anger,0.757
snarl,kumbura,NA,kumbura,anger,0.754
crazed,hauka,NA,hauka,anger,0.75
dontmesswithme,ba tare da ni ba,NA,ba tare da ni ba,anger,0.75
profane,ƙazanta,NA,ƙazanta,anger,0.75
aggravating,m,yin muni,yin muni,anger,0.75
douchebags,douchebags,ƙaramar allura,ƙaramar allura,anger,0.75
offend,yi laifi,NA,yi laifi,anger,0.75
horror,tsoro,NA,tsoro,anger,0.75
revolting,tawaye,NA,tawaye,anger,0.75
despise,raina,NA,raina,anger,0.75
vulgarity,alfasha,NA,alfasha,anger,0.75
growling,kuka,NA,kuka,anger,0.75
stfu,stfu,rufe baki,rufe baki,anger,0.75
molestation,cin zarafi,NA,cin zarafi,anger,0.742
fuckedoff,fuckedoff,ɓace,ɓace,anger,0.742
erupt,fashe,NA,fashe,anger,0.742
violence,tashin hankali,NA,tashin hankali,anger,0.742
horrible,m,mai razanawa,mai razanawa,anger,0.742
screaming,ihu,NA,ihu,anger,0.742
threat,barazana,NA,barazana,anger,0.742
bastards,banza,NA,banza,anger,0.741
revenge,fansa,NA,fansa,anger,0.738
menacing,tsoratarwa,NA,tsoratarwa,anger,0.735
crushing,murkushewa,murƙushewa,murƙushewa,anger,0.735
damn,Tsine,tsine,tsine,anger,0.735
catastrophe,bala'i,NA,bala'i,anger,0.735
demon,aljani,NA,aljani,anger,0.735
argue,jayayya,NA,jayayya,anger,0.734
fedup,ciyarwa,NA,ciyarwa,anger,0.734
vehement,zafi,NA,zafi,anger,0.734
thrash,bugawa,NA,bugawa,anger,0.734
warfare,yaƙi,NA,yaƙi,anger,0.734
revolt,tawaye,NA,tawaye,anger,0.734
flog,bulala,NA,bulala,anger,0.734
deplore,baƙin ciki,NA,baƙin ciki,anger,0.734
persecute,tsanantawa,NA,tsanantawa,anger,0.734
riotous,rudani,ruɗani,ruɗani,anger,0.734
altercation,sabani,saɓani,saɓani,anger,0.729
warlike,warlike,son yaƙi,son yaƙi,anger,0.728
mutiny,tawaye,NA,tawaye,anger,0.727
shitday,ranar soyayya,NA,ranar soyayya,anger,0.727
sabotage,sabotage,maƙarƙashiya,maƙarƙashiya,anger,0.727
castrate,jifa,NA,jifa,anger,0.727
strike,yajin aiki,NA,yajin aiki,anger,0.721
malevolent,mugu,NA,mugu,anger,0.721
disaster,bala'i,NA,bala'i,anger,0.721
disastrous,m,mai bala'i,mai bala'i,anger,0.72
disdain,rainawa,NA,rainawa,anger,0.719
choke,shaƙa,NA,shaƙa,anger,0.719
arseholes,arseholes,wawa,wawa,anger,0.719
devil,shaidan,shaiɗan,shaiɗan,anger,0.719
scream,ihu,NA,ihu,anger,0.719
spiteful,m,sharri,sharri,anger,0.719
bastarding,cin mutunci,NA,cin mutunci,anger,0.719
scorching,zafi,NA,zafi,anger,0.719
horseshit,doki,shirme,shirme,anger,0.719
treachery,ha'inci,NA,ha'inci,anger,0.719
slay,kashe,NA,kashe,anger,0.719
brutal,m,maras imani,maras imani,anger,0.719
tumult,tashin hankali,NA,tashin hankali,anger,0.719
madden,mahaukaci,NA,mahaukaci,anger,0.719
aggravates,kara tsanantawa,ƙara tsanantawa,ƙara tsanantawa,anger,0.719
vermin,kwari,NA,kwari,anger,0.719
anarchism,anarchism,ra'ayin wargaza gwamnati,ra'ayin wargaza gwamnati,anger,0.714
mutilation,yankewa,NA,yankewa,anger,0.714
mangle,mangle,lalatawa,lalatawa,anger,0.714
criminal,mai laifi,NA,mai laifi,anger,0.714
punch,naushi,NA,naushi,anger,0.713
denunciation,la'anta,NA,la'anta,anger,0.713
holocaust,kisan kiyashi,NA,kisan kiyashi,anger,0.712
blasphemous,sabo,saɓo,saɓo,anger,0.712
battled,yaƙi,NA,yaƙi,anger,0.712
dumbasses,dumbasses,mai raini,mai raini,anger,0.712
fatal,m,na ajali,na ajali,anger,0.712
virulence,virulence,zafin gaba,zafin gaba,anger,0.712
dontlikeyou,kada ku so,NA,kada ku so,anger,0.712
hurting,ciwo,NA,ciwo,anger,0.712
crucifixion,giciye,NA,giciye,anger,0.712
deranged,deranged,hauka,hauka,anger,0.706
evil,mugunta,NA,mugunta,anger,0.706
irritated,haushi,NA,haushi,anger,0.706
atrocious,m,mamugunci,mamugunci,anger,0.706
assassin,kisa,mai kisan kai,mai kisan kai,anger,0.703
intimidation,tsoratarwa,NA,tsoratarwa,anger,0.703
persecution,fitina,NA,fitina,anger,0.703
slayer,mai kisan kai,NA,mai kisan kai,anger,0.703
kidnap,sacewa,NA,sacewa,anger,0.703
dicks,dicks,masu ban haushi,masu ban haushi,anger,0.703
scolding,tsawatawa,NA,tsawatawa,anger,0.703
aggravated,ya tsananta,NA,ya tsananta,anger,0.703
aggression,zalunci,NA,zalunci,anger,0.702
armed,dauke da makamai,ɗauke da makamai,ɗauke da makamai,anger,0.7
poison,guba,NA,guba,anger,0.697
snarling,kumbura,NA,kumbura,anger,0.697
venom,dafi,NA,dafi,anger,0.697
battle,yaƙi,NA,yaƙi,anger,0.697
disgruntled,rashin jin daɗi,NA,rashin jin daɗi,anger,0.693
assailant,maharin,NA,maharin,anger,0.691
insidious,m,illa mai cutarwa,illa mai cutarwa,anger,0.691
resentment,bacin rai,ɓacin rai,ɓacin rai,anger,0.691
contemptuous,raini,NA,raini,anger,0.69
lynch,kwanciya,kisa ba doka,kisa ba doka,anger,0.69
lunatic,mahaukaci,NA,mahaukaci,anger,0.688
mad,mahaukaci,NA,mahaukaci,anger,0.688
peeved,tsotso,NA,tsotso,anger,0.688
bully,zalunci,NA,zalunci,anger,0.688
temper,fushi,NA,fushi,anger,0.688
infanticide,kashe -kashe,NA,kashe -kashe,anger,0.688
curse,la'ana,NA,la'ana,anger,0.688
domination,mamayewa,NA,mamayewa,anger,0.688
imprisonment,kurkuku,NA,kurkuku,anger,0.688
terrible,m,mai tsanani,mai tsanani,anger,0.688
disparage,rashin mutunci,NA,rashin mutunci,anger,0.688
makesmemad,makememad,yana ba ni haushi,yana ba ni haushi,anger,0.688
volatility,rashin ƙarfi,NA,rashin ƙarfi,anger,0.687
eradication,kawarwa,NA,kawarwa,anger,0.685
scoundrel,dan iska,ɗan iska,ɗan iska,anger,0.682
eradicate,kawar da,NA,kawar da,anger,0.682
tantrum,tashin hankali,NA,tashin hankali,anger,0.682
devastate,ɓarna,NA,ɓarna,anger,0.682
agitation,tashin hankali,NA,tashin hankali,anger,0.68
aggressively,da tashin hankali,NA,da tashin hankali,anger,0.68
irritates,fusata,NA,fusata,anger,0.676
dictatorship,mulkin kama -karya,NA,mulkin kama -karya,anger,0.676
profanity,lalata,NA,lalata,anger,0.673
dastardly,dastardly,mamugunci,mamugunci,anger,0.672
expletive,m,rantsuwa,rantsuwa,anger,0.672
wreak,fashewa,NA,fashewa,anger,0.672
contempt,raini,NA,raini,anger,0.672
crime,aikata laifi,NA,aikata laifi,anger,0.672
poisonous,mai guba,NA,mai guba,anger,0.672
nasty,m,mai sa ƙyama,mai sa ƙyama,anger,0.672
aggravation,tsanantawa,NA,tsanantawa,anger,0.672
condemnation,hukunci,NA,hukunci,anger,0.672
egregious,m,mara kyau sosai,mara kyau sosai,anger,0.672
shove,ture,NA,ture,anger,0.672
shoot,harba,NA,harba,anger,0.672
shot,harbi,NA,harbi,anger,0.672
crushed,murkushe,murƙushe,murƙushe,anger,0.672
corrupting,m,mai lalatarwa,mai lalatarwa,anger,0.672
harmful,mai cutarwa,NA,mai cutarwa,anger,0.672
cruelly,zalunci,NA,zalunci,anger,0.672
maniac,mahaukaci,NA,mahaukaci,anger,0.67
irritable,m,fusata cikin sauƙi,fusata cikin sauƙi,anger,0.667
shooting,harbi,NA,harbi,anger,0.667
odious,m,marar daɗi sosai,marar daɗi sosai,anger,0.667
shout,ihu,NA,ihu,anger,0.667
eruption,fashewa,NA,fashewa,anger,0.667
cutthroat,cuttroat,yanke wuya,yanke wuya,anger,0.667
kick,shura,NA,shura,anger,0.667
hateeveryone,kowa da kowa,NA,kowa da kowa,anger,0.667
hit,buga,NA,buga,anger,0.667
fight,fada,faɗa,faɗa,anger,0.667
enemy,abokin gaba,NA,abokin gaba,anger,0.667
combat,fama,NA,fama,anger,0.667
aggressive,m,mai cin zali,mai cin zali,anger,0.667
punished,azabtar,NA,azabtar,anger,0.662
yell,ihu,NA,ihu,anger,0.661
ambush,kwanton bauna,kwanton ɓauna,kwanton ɓauna,anger,0.661
harass,tursasawa,NA,tursasawa,anger,0.659
gore,gore,zubar da jini,zubar da jini,anger,0.656
expel,korar,NA,korar,anger,0.656
malignant,m,mai mugunta,mai mugunta,anger,0.656
destruction,halaka,NA,halaka,anger,0.656
aggressor,mai zalunci,NA,mai zalunci,anger,0.656
incense,turare,NA,turare,anger,0.656
grudge,fushi,NA,fushi,anger,0.656
antichrist,maƙiyin Kristi,NA,maƙiyin Kristi,anger,0.656
cranky,m,mummunan hali,mummunan hali,anger,0.653
reprisal,ramuwar gayya,NA,ramuwar gayya,anger,0.652
slave,bawa,NA,bawa,anger,0.652
growl,guguwa,NA,guguwa,anger,0.652
offended,yi laifi,NA,yi laifi,anger,0.652
clashing,karo,NA,karo,anger,0.652
insulting,zagi,NA,zagi,anger,0.652
insurrection,fitina,NA,fitina,anger,0.652
spank,spank,mari,mari,anger,0.652
animosity,ƙiyayya,NA,ƙiyayya,anger,0.652
denounce,la'anta,NA,la'anta,anger,0.652
growls,guguwa,NA,guguwa,anger,0.649
executioner,mai aiwatarwa,NA,mai aiwatarwa,anger,0.644
twat,twat,abun ƙyama,abun ƙyama,anger,0.644
doomsday,ranar alkiyama,ranar alƙiyama,ranar alƙiyama,anger,0.643
bombard,bam,NA,bam,anger,0.641
feud,rigima,NA,rigima,anger,0.641
accused,wanda ake zargi,NA,wanda ake zargi,anger,0.641
arson,ƙonawa,NA,ƙonawa,anger,0.641
daemon,aljannu,NA,aljannu,anger,0.641
shackle,dauri,ɗauri,ɗauri,anger,0.641
indignant,m,ɓacin rai,ɓacin rai,anger,0.641
obscenity,batsa,NA,batsa,anger,0.641
spat,tofa,NA,tofa,anger,0.641
havoc,halaka,NA,halaka,anger,0.641
grr,grr,ƙarar ɓacin rai,ƙarar ɓacin rai,anger,0.641
inexcusable,uzuri,NA,uzuri,anger,0.641
expulsion,fitarwa,NA,fitarwa,anger,0.641
reprimand,tsawata,NA,tsawata,anger,0.641
somad,somad,bauta,bauta,anger,0.637
poisoned,guba,NA,guba,anger,0.636
kicking,harbawa,NA,harbawa,anger,0.636
wound,rauni,NA,rauni,anger,0.636
batter,batter,bugu,bugu,anger,0.636
frustrated,takaici,NA,takaici,anger,0.636
hanging,rataye,NA,rataye,anger,0.636
disgusting,abin ƙyama,NA,abin ƙyama,anger,0.636
spanking,bugawa,NA,bugawa,anger,0.636
suicidal,kashe kansa,NA,kashe kansa,anger,0.636
anarchy,rashin zaman lafiya,NA,rashin zaman lafiya,anger,0.636
glaring,haske,NA,haske,anger,0.636
combatant,mayaƙi,NA,mayaƙi,anger,0.636
wrecked,fashe,NA,fashe,anger,0.633
inflict,cutarwa,NA,cutarwa,anger,0.633
grievous,damuwa,NA,damuwa,anger,0.632
cheat,yaudara,NA,yaudara,anger,0.63
prosecute,gurfanar,NA,gurfanar,anger,0.63
agitated,tashin hankali,NA,tashin hankali,anger,0.63
swastika,swastika,alamar swastika,alamar swastika,anger,0.627
enslaved,bautar,NA,bautar,anger,0.625
scourge,bulala,NA,bulala,anger,0.625
raid,kai hari,NA,kai hari,anger,0.625
suffocation,shaƙewa,NA,shaƙewa,anger,0.625
defamatory,cin mutunci,NA,cin mutunci,anger,0.625
indict,tuhumar,tuhuma,tuhuma,anger,0.625
cursing,la'anta,NA,la'anta,anger,0.625
provocation,tsokana,NA,tsokana,anger,0.625
harassing,tursasawa,NA,tursasawa,anger,0.625
injure,rauni,NA,rauni,anger,0.625
betray,cin amana,NA,cin amana,anger,0.625
thundering,tsawa,NA,tsawa,anger,0.625
strife,fitina,NA,fitina,anger,0.625
arsehole,rami,NA,rami,anger,0.624
jerk,jajirce,NA,jajirce,anger,0.621
retaliation,ramuwar gayya,NA,ramuwar gayya,anger,0.621
fiend,fiend,mugun ruhu/aljani,mugun ruhu/aljani,anger,0.621
theft,sata,NA,sata,anger,0.621
insane,mahaukaci,NA,mahaukaci,anger,0.621
irritate,fusata,NA,fusata,anger,0.621
deprivation,hanawa,NA,hanawa,anger,0.621
convict,mai laifi,NA,mai laifi,anger,0.621
cussed,cussed,maras kintsi,maras kintsi,anger,0.619
turmoil,tashin hankali,NA,tashin hankali,anger,0.618
smack,smack,bugu,bugu,anger,0.615
retribution,azaba,NA,azaba,anger,0.614
adverse,m,illa,illa,anger,0.609
battery,baturi,NA,baturi,anger,0.609
twats,twats,wawa,wawa,anger,0.609
collision,karo,NA,karo,anger,0.609
injurious,m,mai haddasa lahani,mai haddasa lahani,anger,0.609
rebellion,tawaye,NA,tawaye,anger,0.609
slavery,bauta,NA,bauta,anger,0.609
gang,ƙungiya,NA,ƙungiya,anger,0.609
irritability,rashin tausayi,NA,rashin tausayi,anger,0.609
bitterly,m,mai ɗaci,mai ɗaci,anger,0.609
oppressor,azzalumi,NA,azzalumi,anger,0.609
antagonism,adawa,NA,adawa,anger,0.609
intolerable,m,kasa juriya,kasa juriya,anger,0.609
disgraced,wulakanci,wulaƙanci,wulaƙanci,anger,0.608
diatribe,diatribe,hari da magana,hari da magana,anger,0.606
sickening,rashin lafiya,NA,rashin lafiya,anger,0.606
ranting,rantsuwa,NA,rantsuwa,anger,0.606
asshole,mahaukaci,NA,mahaukaci,anger,0.606
irks,irks,haushi,haushi,anger,0.606
irritating,m,mai ban haushi,mai ban haushi,anger,0.606
discrimination,nuna bambanci,NA,nuna bambanci,anger,0.606
bombardment,tashin bam,NA,tashin bam,anger,0.606
thug,ɗan daba,NA,ɗan daba,anger,0.606
antagonistic,mai adawa,NA,mai adawa,anger,0.606
revolution,juyin juya hali,NA,juyin juya hali,anger,0.606
blast,fashewa,NA,fashewa,anger,0.606
frustrate,takaici,NA,takaici,anger,0.604
tension,tashin hankali,NA,tashin hankali,anger,0.603
manipulation,magudi,maguɗi,maguɗi,anger,0.603
oppression,zalunci,NA,zalunci,anger,0.603
hurtful,m,mai haifar da damuwa,mai haifar da damuwa,anger,0.603
insult,zagi,NA,zagi,anger,0.603
tiredofit,gajiya,NA,gajiya,anger,0.603
bigot,girman kai,NA,girman kai,anger,0.603
disgust,ƙyama,NA,ƙyama,anger,0.602
spite,mugunta,NA,mugunta,anger,0.6
intrusive,mai kutsawa,NA,mai kutsawa,anger,0.598
harshness,tauri,NA,tauri,anger,0.597
slur,slur,maganar wulaƙanci,maganar wulaƙanci,anger,0.596
bitterness,daci,ɗaci,ɗaci,anger,0.594
tempest,guguwa,NA,guguwa,anger,0.594
miserable,abin bakin ciki,abin baƙin ciki,abin baƙin ciki,anger,0.594
morbidity,cututtuka,NA,cututtuka,anger,0.594
assail,kai hari,NA,kai hari,anger,0.594
puncture,huda,NA,huda,anger,0.594
invasion,mamayewa,NA,mamayewa,anger,0.594
inferno,rashin zafi,NA,rashin zafi,anger,0.594
casualty,wanda aka kashe,NA,wanda aka kashe,anger,0.594
storming,hadari,mai kyau sosai,mai kyau sosai,anger,0.594
wretch,mugu,NA,mugu,anger,0.594
consternation,firgita,NA,firgita,anger,0.592
guillotine,guillotine,injin sare kai,injin sare kai,anger,0.591
forcibly,da karfi,da ƙarfi,da ƙarfi,anger,0.591
overpowering,rinjaye,NA,rinjaye,anger,0.591
immoral,m,rashin ɗa'a,rashin ɗa'a,anger,0.591
guilty,mai laifi,NA,mai laifi,anger,0.591
depraved,lalata,NA,lalata,anger,0.591
raving,raving,yin sumbatu,yin sumbatu,anger,0.591
soannoyed,soannoyed,fusace sosai,fusace sosai,anger,0.588
recalcitrant,m,mai taurin kai,mai taurin kai,anger,0.588
accursed,la'ananne,NA,la'ananne,anger,0.588
screwed,dunƙule,NA,dunƙule,anger,0.588
invader,mai mamayewa,NA,mai mamayewa,anger,0.588
scare,tsorata,NA,tsorata,anger,0.588
indignation,fushi,NA,fushi,anger,0.587
jealousy,kishi,NA,kishi,anger,0.587
vexed,damuwa,NA,damuwa,anger,0.586
confront,yi karo,NA,yi karo,anger,0.582
brute,zalunci,NA,zalunci,anger,0.581
throttle,maƙura,NA,maƙura,anger,0.579
provoking,tsokana,NA,tsokana,anger,0.578
coup,juyin mulki,NA,juyin mulki,anger,0.578
pillage,sacewa,NA,sacewa,anger,0.578
damage,lalacewa,NA,lalacewa,anger,0.578
shutup,rufewa,NA,rufewa,anger,0.578
contentious,mai jayayya,NA,mai jayayya,anger,0.578
shutit,rufe,NA,rufe,anger,0.578
bickering,rigima,NA,rigima,anger,0.578
incarceration,ɗaurin kurkuku,NA,ɗaurin kurkuku,anger,0.578
butcher,mahauci,NA,mahauci,anger,0.578
lash,lash,bulala,bulala,anger,0.578
conflict,rikici,NA,rikici,anger,0.578
blaze,wuta,NA,wuta,anger,0.578
slut,lalata,NA,lalata,anger,0.578
defiant,m,nuna rashin amincewa,nuna rashin amincewa,anger,0.578
wreck,rushewa,NA,rushewa,anger,0.578
revolver,revolver,ƙaramar bindiga,ƙaramar bindiga,anger,0.578
yousuck,yousuck,nuna hassada,nuna hassada,anger,0.578
criminality,laifi,NA,laifi,anger,0.578
cancer,ciwon daji,NA,ciwon daji,anger,0.577
frustration,takaici,NA,takaici,anger,0.576
standoff,tsayawar,NA,tsayawar,anger,0.576
gory,gori,NA,gori,anger,0.576
dontmess,kar ku damu,NA,kar ku damu,anger,0.576
alienation,nisantawa,NA,nisantawa,anger,0.576
gun,bindiga,NA,bindiga,anger,0.576
pernicious,m,mai illa sannu-a-hankali,mai illa sannu-a-hankali,anger,0.576
grope,gira,NA,gira,anger,0.576
